attrib1,attrib2,attrib3,attrib4, attrib5, attrib6, attrib7, attrib8, attrib9, attrib10,Label
0.0978,0.0634,43,0.6265,0.5054,0.1502,0.0798,0.0507,0.1945,0.1461,1
0.3723,0.5354,0.7529,0.2238,0.8424,0.4204,0.5123,0.1349,0.1892,0.51,0
0.4129,0.3803,0.2497,0.4172,1.5137,0.2914,0.5746,0.2354,0.2969,0.8129,1
0.3417,0.6147,0.1807,0.6717,0.4537,0.2645,0.3585,0.1564,0.1203,0.2024,1
0.5834,599,0.2483,413,0.4506,0.2078,0.1035,0.1262,0.1607,0.4799,0
135,0.0441,0.0805,0.4687,0.4005,0.1006,0.0621,0.0518,0.0958,0.4424,1
285,0.0689,0.0488,0.2133,0.4043,0.1422,0.0637,9,0.3439,0.5054,1
0.3612,0.3056,0.2436,0.7864,0.5936,0.2734,0.1265,0.3917,0.2665,0.7388,1
0.3124,0.1792,0.2264,0.3652,0.2806,0.0887,0.0677,0.1624,0.2122,0.3498,0
0.1377,0.0372,0.0507,0.5639,0.4355,0.1391,0.0711,0.5753,0.0602,0.3007,1
0.4688,0.3249,0.4114,0.5425,902,0.3046,0.3091,0.2595,0.2462,0.5351,1
103,0.0211,0.0372,0.1864,0.4099,0.0483,17,0.0504,0.1052,0.1958,1
0.1036,0.0161,0.0731,0.2342,0.8754,0.3126,0.0568,0.1029,0.2012,0.2333,1
0.1358,0.0491,0.0462,0.4251,0.3403,0.1605,0.0716,0.0352,0.0765,0.1411,1
0.4187,0.3286,532,623,0.9034,0.2494,0.3017,0.1869,0.3394,928,1
0.2799,0.1431,0.1615,0.2003,0.2719,0.1254,0.0381,0.1204,0.1269,292,0
0.2427,0.1267,0.0702,0.2069,0.2331,0.1252,0.0196,0.1331,0.1166,0.5279,0
0.0643,0.0525,0.0267,0.2049,0.3796,0.1319,0.3205,0.0599,0.1155,0.2454,1
291,0.2415,0.2127,0.3335,0.8524,261,0.1212,0.0782,275,0.6797,1
0.1311,0.0597,0.0396,0.4565,0.2753,0.0979,0.0885,0.1296,0.3539,0.12,1
0.1015,0.0752,0.0433,0.3554,0.3814,0.1098,0.0758,0.0956,0.0367,0.23,1
0.1563,0.0177,0.0868,0.1912,0.3841,0.0565,0.0299,0.0172,0.0823,0.3788,1
0.4615,466,0.1515,0.4811,0.9632,251,121,0.1091,0.3233,0.6158,1
0.2554,0.8328,0.1154,0.1786,0.2719,0.1499,0.0067,0.1415,0.0884,0.2923,0
0.5558,37,0.0604,0.2371,0.4883,0.0747,0.0236,0.0225,0.2518,0.1774,1
0.0709,0.0734,0.0444,342,332,0.0985,51,0.0436,0.0409,0.1229,1
0.2314,0.2396,133,0.4206,1.2617,0.2925,0.1022,0.1046,0.2647,852,1
0.2256,0.4655,0.1185,0.5242,0.2193,0.1648,0.0012,0.1196,0.1261,359,0
0.1136,0.0037,0.0501,0.1793,0.3593,0.1503,0.4647,0.3147,0.1192,0.2014,1
0.2176,0.2328,0.0552,0.2341,0.4706,0.1634,0.0566,0.0623,0.2386,0.6169,1
272,99,0.0111,0.1689,0.2429,207,0.4023,85,104,0.2355,0
0.1007,0.1259,0.1993,0.4373,0.3981,0.0927,0.0827,37,91,0.1406,1
0.2443,0.0842,0.0441,0.2248,327,0.1568,17,0.1405,0.1826,0.3514,0
0.3077,0.0064,0.0952,1.0284,0.8416,0.1329,0.2583,0.2448,0.0899,0.1589,1
458,0.2594,113,305,0.6282,0.1924,0.0679,0.0776,0.2533,0.9697,1
0.1445,0.0452,0.0296,0.3578,311,0.0787,0.0824,0.0204,0.0541,0.1231,1
0.2952,0.2462,0.1555,0.3293,0.7476,0.1818,0.0758,0.0798,0.2457,0.5498,1
219,0.0993,0.0684,0.2623,0.2125,0.1879,0.3986,112,0.1488,0.2743,0
0.0764,0.0232,0.0488,0.3629,0.4716,0.0913,0.0402,0.3017,0.2255,0.1674,1
0.0989,0.0673,0.0151,0.5726,1.0129,0.1091,46,0.0162,0.0211,0.1841,1
0.2358,0.1154,0.0826,0.1546,0.2381,0.4102,0.0547,0.4289,0.5589,225,0
0.0925,0.0905,0.2716,366,2.0185,0.2619,0.0663,0.2817,0.1297,0.3335,1
0.0918,0.0499,0.0248,0.3668,0.3775,127,0.0671,0.0397,0.0826,0.1899,1
0.6269,0.2381,0.0916,0.2594,0.6394,204,0.0563,0.0521,0.2235,0.5015,1
0.7623,0.2481,123,0.2974,0.5249,0.1665,0.07,65,0.2441,0.7678,1
0.1287,0.0457,0.0225,0.2955,0.3883,0.1368,0.0761,18,0.0459,144,1
0.1073,0.0586,0.1411,0.1748,0.4689,0.1345,0.0162,0.0428,0.2808,0.1544,1
215,0.0605,0.0243,0.1599,0.2516,0.1642,0.05,0.1476,0.1425,0.2677,0
