# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,15800.573508,15800.573508,15800.573508,15800.573508,15800.573508,15800.573508,15800.573508,15800.573508,23668.084488,23668.084488,14932.637059,14932.637059,0.092363,0.052798,0.145162,0.020378,0.050002,0.070380,0.081500,0.050055,0.131555,0.014064,0.049489,0.063553,0.034773,0.006611,0.041384,0.040689,0.004891,0.045580
399,13660.050428,11519.527348,13660.050428,11519.527348,13660.050428,11519.527348,13660.050428,11519.527348,18869.640396,14071.196303,13053.053594,11173.470129,0.179415,0.106613,0.286029,0.026313,0.103273,0.129586,0.164739,0.106082,0.270821,0.016933,0.104514,0.121448,0.068369,0.012579,0.080948,0.078730,0.009173,0.087904
599,12774.281965,11002.745038,12774.281965,11002.745038,12774.281965,11002.745038,12774.281965,11002.745038,15804.566767,9674.419510,11819.652912,9352.851549,0.248045,0.160000,0.408045,0.029803,0.140180,0.169983,0.236675,0.146243,0.382918,0.019890,0.150126,0.170015,0.103169,0.017973,0.121142,0.154128,0.013329,0.167457
799,11652.487429,8287.103822,11652.487429,8287.103822,11652.487429,8287.103822,11652.487429,8287.103822,14022.273913,8675.395350,11020.968130,8624.913782,0.322871,0.203501,0.526371,0.031388,0.180217,0.211605,0.306884,0.187389,0.494273,0.021394,0.191271,0.212664,0.141870,0.024466,0.166335,0.200146,0.018259,0.218404
999,11023.007642,8505.088493,11023.007642,8505.088493,11023.007642,8505.088493,11023.007642,8505.088493,13077.574475,9298.776726,10674.129279,9286.773875,0.393063,0.244946,0.638008,0.033111,0.221981,0.255092,0.376763,0.228902,0.605665,0.023057,0.231033,0.254090,0.181113,0.030161,0.211274,0.246639,0.022681,0.269320
1199,10320.564717,6808.350093,10320.564717,6808.350093,10320.564717,6808.350093,10320.564717,6808.350093,12259.105309,8166.759475,10254.104275,8153.979258,0.470904,0.289837,0.760741,0.041615,0.263700,0.305314,0.455674,0.278826,0.734500,0.028167,0.272422,0.300588,0.221511,0.036085,0.257597,0.295206,0.027270,0.322477
1399,9778.235343,6524.259099,9778.235343,6524.259099,9778.235343,6524.259099,9778.235343,6524.259099,12047.815714,10780.078147,10328.887833,10777.589181,0.528019,0.328860,0.856879,0.042992,0.295001,0.337993,0.513550,0.309976,0.823526,0.029483,0.302446,0.331929,0.260538,0.041115,0.301653,0.342317,0.031319,0.373636
1599,9547.115465,7929.276319,9547.115465,7929.276319,9547.115465,7929.276319,9547.115465,7929.276319,11728.795698,9495.655584,10224.656676,9495.038572,0.596917,0.370896,0.967813,0.044926,0.333843,0.378769,0.583675,0.348333,0.932009,0.031195,0.355741,0.386936,0.297919,0.047212,0.345131,0.387681,0.035990,0.423671
1799,9358.014126,7845.203409,9358.014126,7845.203409,9358.014126,7845.203409,9358.014126,7845.203409,11413.264194,8889.012164,10076.217864,8888.707371,0.667424,0.409788,1.077212,0.046996,0.368546,0.415542,0.658912,0.383077,1.041988,0.033210,0.390626,0.423836,0.316976,0.053322,0.370298,0.420609,0.040757,0.461367
1999,9146.864857,7246.521439,9146.864857,7246.521439,9146.864857,7246.521439,9146.864857,7246.521439,10988.702953,7167.651781,9785.343904,7167.478263,0.740879,0.449905,1.190784,0.049254,0.409359,0.458613,0.733903,0.421161,1.155064,0.035348,0.430005,0.465353,0.345764,0.059888,0.405652,0.466708,0.045789,0.512497
