# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,0.219818,0.219818,0.219818,0.219818,0.219818,0.219818,0.219818,0.219818,0.213073,0.213073,0.199152,0.199152,0.125487,0.077633,0.203121,0.018764,0.077723,0.096487,0.115248,0.074991,0.190240,0.019166,0.080229,0.099395,0.034867,0.007033,0.041900,0.040360,0.004930,0.045291
399,0.199779,0.179741,0.199779,0.179741,0.199779,0.179741,0.199779,0.179741,0.192247,0.171421,0.187935,0.176717,0.248951,0.174185,0.423136,0.035187,0.161241,0.196428,0.224937,0.151051,0.375988,0.025508,0.190598,0.216106,0.068633,0.013346,0.081979,0.076920,0.009150,0.086070
599,0.205434,0.216742,0.205434,0.216742,0.205434,0.216742,0.205434,0.216742,0.183588,0.166270,0.181764,0.169423,0.346400,0.252751,0.599150,0.041523,0.225365,0.266888,0.319216,0.219975,0.539192,0.032993,0.253970,0.286963,0.089828,0.019909,0.109736,0.148561,0.013931,0.162491
799,0.200988,0.187650,0.200988,0.187650,0.200988,0.187650,0.200988,0.187650,0.174755,0.148255,0.174139,0.151262,0.431002,0.316007,0.747008,0.042858,0.282842,0.325699,0.396777,0.277596,0.674373,0.034300,0.312369,0.346669,0.122470,0.025886,0.148357,0.195211,0.018221,0.213432
999,0.198180,0.186948,0.198180,0.186948,0.198180,0.186948,0.198180,0.186948,0.172645,0.164203,0.172207,0.164478,0.504758,0.361712,0.866471,0.045080,0.333582,0.378662,0.466362,0.319613,0.785975,0.036009,0.357028,0.393038,0.147719,0.030896,0.178615,0.234873,0.022010,0.256883
1199,0.194921,0.178624,0.194921,0.178624,0.194921,0.178624,0.194921,0.178624,0.168885,0.150089,0.168511,0.150036,0.582848,0.407293,0.990141,0.052023,0.377614,0.429637,0.543127,0.362543,0.905669,0.044151,0.404237,0.448388,0.181351,0.036574,0.217926,0.288596,0.026395,0.314991
1399,0.191265,0.169334,0.191265,0.169334,0.191265,0.169334,0.191265,0.169334,0.167061,0.156116,0.166748,0.156170,0.652060,0.449749,1.101809,0.053501,0.420618,0.474120,0.612007,0.403090,1.015097,0.045541,0.445194,0.490735,0.211658,0.042410,0.254068,0.342239,0.030989,0.373228
1599,0.186227,0.150956,0.186227,0.150956,0.186227,0.150956,0.186227,0.150956,0.164081,0.143217,0.163792,0.143100,0.742887,0.507863,1.250751,0.055784,0.494993,0.550777,0.701772,0.452696,1.154468,0.047653,0.498399,0.546052,0.238023,0.049704,0.287727,0.401383,0.036712,0.438095
1799,0.185287,0.177768,0.185287,0.177768,0.185287,0.177768,0.185287,0.177768,0.162197,0.147127,0.161923,0.146969,0.807166,0.548731,1.355897,0.057452,0.532743,0.590196,0.765866,0.490575,1.256441,0.049291,0.536002,0.585294,0.265681,0.055269,0.320950,0.455670,0.041168,0.496838
1999,0.182384,0.156260,0.182384,0.156260,0.182384,0.156260,0.182384,0.156260,0.158698,0.127207,0.158436,0.127056,0.873848,0.590828,1.464676,0.059053,0.573258,0.632312,0.830418,0.533322,1.363739,0.053108,0.577540,0.630647,0.290642,0.060382,0.351023,0.506501,0.045179,0.551680
