# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,10305.842731,10305.842731,0.463478,0.046076,0.509554
399,8507.607185,6709.371640,0.947612,0.093567,1.041178
599,7452.052666,5340.943627,1.445464,0.142334,1.587798
799,6715.641783,4506.409136,1.938386,0.191667,2.130053
999,6279.397257,4534.419154,2.454745,0.241877,2.696622
1199,5927.879358,4170.289861,2.962767,0.292521,3.255288
1399,5898.192235,5720.069496,3.485003,0.343842,3.828845
1599,5812.291437,5210.985855,4.009074,0.395732,4.404807
1799,5696.179679,4767.285611,4.535899,0.447749,4.983648
1999,5524.920953,3983.592415,5.065450,0.499934,5.565384
2199,5391.078079,4052.649346,5.610563,0.552498,6.163061
2399,5286.101518,4131.359346,6.146724,0.605343,6.752067
2599,5151.060647,3530.570195,6.696279,0.658516,7.354795
2799,5063.168177,3920.566067,7.239423,0.711754,7.951178
2999,5065.160240,5093.049123,7.784324,0.765313,8.549637
3199,4954.796189,3299.335419,8.374002,0.819359,9.193361
3399,4896.000903,3955.276338,8.930526,0.873517,9.804044
3599,4890.330473,4793.933153,9.497108,0.927743,10.424851
3799,4793.290409,3046.569251,10.061158,0.982194,11.043353
3999,4753.256982,3992.621886,10.615765,1.036813,11.652578
4199,4707.124172,3784.467967,11.196229,1.091736,12.287965
4399,4670.897853,3910.145142,11.767587,1.146654,12.914241
4599,4621.522356,3535.261427,12.342163,1.202121,13.544284
4799,4561.224675,3174.378025,12.960742,1.257763,14.218505
4999,4537.907053,3978.284121,13.541179,1.313334,14.854513
5199,4529.138570,4309.926478,14.124758,1.369077,15.493835
5399,4498.375024,3698.522849,14.718210,1.425287,16.143497
5599,4514.905748,4961.235274,15.309980,1.481310,16.791290
5799,4512.733088,4451.898628,15.947444,1.537966,17.485410
5999,4461.066807,2962.744646,16.537791,1.594578,18.132368
6199,4416.630370,3083.537266,17.141089,1.651650,18.792739
6399,4374.194799,3058.692098,17.746358,1.708573,19.454931
6599,4356.146148,3778.589322,18.416708,1.766108,20.182816
6799,4316.893759,3021.564924,19.042138,1.823615,20.865753
6999,4279.670705,3014.086857,19.655300,1.881110,21.536411
7199,4263.150473,3684.942338,20.278166,1.938892,22.217058
7399,4230.580058,3058.045141,20.969013,1.996870,22.965883
7599,4203.965843,3219.239889,21.609708,2.054883,23.664591
7799,4176.101903,3117.272185,22.245552,2.113204,24.358756
7999,4160.994086,3571.789223,22.944780,2.171065,25.115845
8199,4141.689780,3369.517551,23.588486,2.229473,25.817959
8399,4113.520357,2958.574013,24.224258,2.288093,26.512351
8599,4072.627224,2355.115617,24.862981,2.346998,27.209979
8799,4049.990091,3076.593389,25.578988,2.406205,27.985192
8999,4031.017756,3196.235006,26.225354,2.465060,28.690414
9199,4002.143176,2702.787055,26.869620,2.524250,29.393870
9399,4000.606211,3929.905838,27.517550,2.583654,30.101205
9599,3980.040801,3013.466509,28.257405,2.643458,30.900863
9799,3966.642742,3323.535924,28.910331,2.703017,31.613347
9999,3951.259632,3197.487274,29.570151,2.762776,32.332927
10199,3935.770032,3161.290028,30.228193,2.822830,33.051022
10399,3919.839286,3107.371218,30.972676,2.883176,33.855852
10599,3904.456196,3104.535511,31.649989,2.943595,34.593585
10799,3881.182496,2647.676430,32.306888,3.004024,35.310912
10999,3882.123495,3932.937398,32.986805,3.064570,36.051374
11199,3867.916987,3086.559084,33.754442,3.125421,36.879863
11399,3845.886699,2612.190557,34.442532,3.186387,37.628920
11599,3833.191578,3109.569646,35.128439,3.247015,38.375454
