# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,10689.871790,10689.871790,0.482857,0.049494,0.532352
399,8687.911040,6685.950289,0.977480,0.098088,1.075568
599,7829.830824,6113.670392,1.480571,0.147655,1.628226
799,7123.817328,5005.776839,1.992395,0.198016,2.190411
999,6680.955077,4909.506075,2.511766,0.249197,2.760963
1199,6237.273786,4018.867332,3.034324,0.300670,3.334994
1399,6141.036774,5563.614700,3.558180,0.353060,3.911240
1599,5999.744892,5010.701722,4.084041,0.405847,4.489888
1799,5877.286957,4897.623472,4.622792,0.458644,5.081437
1999,5729.328016,4397.697552,5.154620,0.511703,5.666323
2199,5600.930980,4316.960619,5.693918,0.565137,6.259055
2399,5447.084431,3754.772385,6.241498,0.618939,6.860437
2599,5308.835380,3649.846777,6.788449,0.672953,7.461401
2799,5213.087744,3968.368466,7.345086,0.727108,8.072195
2999,5182.961363,4761.192037,7.933889,0.781693,8.715582
3199,5066.041444,3312.242652,8.512309,0.836430,9.348740
3399,5003.032019,3994.881219,9.079718,0.891298,9.971016
3599,4984.047268,4661.306497,9.628878,0.946333,10.575211
3799,4885.450333,3110.705516,10.193698,1.001624,11.195321
3999,4815.308447,3482.612612,10.775495,1.057287,11.832782
4199,4774.008539,3948.010377,11.349358,1.112983,12.462341
4399,4723.926632,3672.206578,11.925919,1.168893,13.094812
4599,4670.628775,3498.075934,12.503584,1.225123,13.728707
4799,4621.692827,3496.166003,13.136342,1.281714,14.418057
4999,4606.290170,4236.626421,13.734976,1.338194,15.073169
5199,4591.809400,4229.790139,14.337663,1.395098,15.732761
5399,4558.162775,3683.350526,14.910262,1.451992,16.362254
5599,4583.816989,5276.480782,15.573761,1.509117,17.082879
5799,4574.369084,4309.827727,16.171673,1.566468,17.738142
5999,4523.400262,3045.304419,16.783136,1.623931,18.407067
