# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,0.186526,0.186526,0.521468,0.049298,0.570766
399,0.173351,0.160177,1.056147,0.097086,1.153233
599,0.160280,0.134136,1.600137,0.145723,1.745860
799,0.155392,0.140731,2.140929,0.195229,2.336158
999,0.153007,0.143468,2.697787,0.245509,2.943297
1199,0.151504,0.143987,3.258901,0.296189,3.555090
1399,0.150736,0.146128,3.820238,0.347446,4.167683
1599,0.149297,0.139225,4.385581,0.399159,4.784740
1799,0.148615,0.143157,4.970475,0.451206,5.421681
1999,0.146706,0.129527,5.557760,0.503636,6.061397
2199,0.144923,0.127091,6.132365,0.556357,6.688722
2399,0.146174,0.159939,6.724725,0.609323,7.334049
2599,0.145689,0.139865,7.313155,0.662460,7.975616
2799,0.145016,0.136261,7.906039,0.715849,8.621888
2999,0.143512,0.122457,8.537143,0.769770,9.306912
3199,0.142912,0.133923,9.128210,0.823822,9.952033
3399,0.142484,0.135625,9.725629,0.877977,10.603605
3599,0.142026,0.134245,10.325705,0.932292,11.257997
3799,0.141190,0.126145,10.956440,0.987106,11.943546
3999,0.141573,0.148845,11.563878,1.041810,12.605688
4199,0.141025,0.130073,12.176681,1.096603,13.273284
4399,0.140945,0.139266,12.812009,1.151920,13.963929
4599,0.140728,0.135960,13.485752,1.207325,14.693076
4799,0.139790,0.118207,14.096273,1.262951,15.359224
4999,0.138877,0.116965,14.734670,1.318624,16.053294
5199,0.138371,0.125716,15.368006,1.374555,16.742561
5399,0.137386,0.111787,15.986827,1.430635,17.417462
5599,0.136808,0.121182,16.653189,1.487046,18.140235
5799,0.136322,0.122735,17.288641,1.543603,18.832244
5999,0.136261,0.134488,17.927402,1.600295,19.527697
6199,0.136227,0.135218,18.556070,1.656728,20.212798
6399,0.136113,0.132553,19.251882,1.713753,20.965634
6599,0.135745,0.123995,19.904186,1.770494,21.674680
6799,0.135175,0.116336,20.571979,1.827726,22.399706
6999,0.134682,0.117941,21.238369,1.885119,23.123488
7199,0.134246,0.118980,21.966684,1.943012,23.909697
7399,0.134075,0.127935,22.621434,2.000610,24.622045
7599,0.133464,0.110835,23.304555,2.058502,25.363057
7799,0.132652,0.101782,23.973091,2.116528,26.089619
7999,0.132040,0.108190,24.706319,2.175073,26.881392
8199,0.132020,0.131211,25.408260,2.233377,27.641637
8399,0.131788,0.122298,26.069663,2.291751,28.361414
8599,0.131984,0.140217,26.755258,2.349983,29.105241
8799,0.131603,0.115216,27.522146,2.409037,29.931182
8999,0.131404,0.122642,28.176595,2.467720,30.644315
9199,0.131151,0.119746,28.871644,2.526466,31.398110
9399,0.130915,0.120054,29.582857,2.585496,32.168353
9599,0.130486,0.110349,30.356768,2.644785,33.001552
9799,0.130340,0.123339,31.052804,2.704216,33.757020
9999,0.129855,0.106102,31.739076,2.763645,34.502721
10199,0.129434,0.108385,32.423335,2.823333,35.246668
10399,0.129348,0.124963,33.190029,2.883018,36.073047
10599,0.129207,0.121842,33.892740,2.942824,36.835565
10799,0.129243,0.131148,34.604733,3.002444,37.607177
10999,0.128921,0.111534,35.331808,3.062428,38.394236
11199,0.128682,0.115558,36.056792,3.122463,39.179255
11399,0.128948,0.143822,36.847148,3.182965,40.030112
11599,0.129133,0.139672,37.562736,3.243552,40.806289
11799,0.129295,0.138685,38.276257,3.304130,41.580386
11999,0.128930,0.107423,38.984128,3.364618,42.348746
12199,0.128606,0.109166,39.841786,3.425695,43.267482
12399,0.128524,0.123535,40.575402,3.486579,44.061982
12599,0.128298,0.114264,41.318085,3.547483,44.865568
12799,0.127956,0.106389,42.050295,3.608756,45.659050
12999,0.127793,0.117378,42.913477,3.670460,46.583937
13199,0.127639,0.117616,43.642171,3.731547,47.373718
