# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.584723,0.043120,0.627843
399,13660.050428,11519.527348,0.662944,0.086959,0.749903
599,12774.281965,11002.745038,0.741191,0.130521,0.871712
799,11652.487429,8287.103822,0.817760,0.174057,0.991817
999,11023.007642,8505.088493,0.894481,0.217630,1.112111
1199,10320.564717,6808.350093,0.975195,0.261184,1.236378
1399,9778.235343,6524.259099,1.051699,0.304779,1.356478
1599,9547.115465,7929.276319,1.128641,0.348265,1.476906
1799,9154.375579,6012.456493,1.252449,0.392157,1.644605
1999,8574.234248,3352.962268,1.330616,0.438025,1.768641
2199,8069.869999,3026.227502,1.413645,0.481761,1.895407
2399,7569.105437,2060.695266,1.533157,0.525789,2.058947
2599,7179.124420,2499.352207,1.642690,0.570747,2.213436
2799,6831.480278,2312.106439,1.720528,0.614767,2.335295
2999,6574.544998,2977.451077,1.803655,0.658882,2.462537
3199,6334.237351,2729.622648,1.924516,0.703221,2.627737
3399,6133.374728,2919.572759,2.023464,0.747304,2.770768
3599,5970.479056,3201.252632,2.104830,0.790702,2.895533
3799,5829.124427,3284.741107,2.181817,0.834126,3.015943
3999,5699.171068,3230.057239,2.260195,0.877706,3.137901
4199,5575.078420,3093.225457,2.341009,0.921367,3.262376
4399,5447.078212,2759.073847,2.418760,0.965035,3.383796
4599,5353.806076,3301.819082,2.496870,1.008725,3.505595
4799,5240.035726,2623.317683,2.575894,1.052431,3.628325
4999,5164.382182,3348.697120,2.654711,1.096513,3.751224
5199,5085.282769,3107.797444,2.739084,1.140517,3.879601
5399,5013.817832,3155.729472,2.816791,1.184045,4.000836
5599,4942.289689,3011.029833,2.896042,1.228105,4.124147
5799,4911.069868,4036.914868,2.974500,1.272046,4.246546
5999,4854.289199,3207.649796,3.053373,1.315961,4.369334
6199,4798.521402,3125.487516,3.138187,1.359855,4.498042
6399,4741.147216,2962.547439,3.217008,1.403341,4.620348
6599,4702.336803,3460.403574,3.295634,1.447182,4.742816
6799,4662.338549,3342.396181,3.374194,1.491136,4.865330
6999,4607.261773,2734.651398,3.452971,1.534939,4.987909
7199,4552.670945,2641.991944,3.538416,1.578734,5.117150
7399,4499.204347,2574.406822,3.616622,1.622433,5.239055
7599,4447.635374,2539.583379,3.695262,1.666195,5.361457
7799,4410.896945,3014.836661,3.773746,1.709856,5.483602
7999,4377.686126,3082.464185,3.853430,1.753563,5.606992
8199,4332.678100,2532.357034,3.938655,1.797496,5.736152
8399,4295.174854,2757.541798,4.017172,1.841302,5.858473
8599,4260.471414,2802.926927,4.095785,1.885008,5.980793
8799,4221.194839,2532.302084,4.175495,1.928825,6.104321
8999,4199.099943,3226.924523,4.254233,1.972503,6.226735
9199,4171.939618,2949.724995,4.339866,2.016522,6.356388
9399,4149.723766,3127.794563,4.418551,2.060437,6.478989
9599,4124.041529,2916.976412,4.498583,2.104472,6.603055
9799,4107.110908,3294.441085,4.577755,2.148465,6.726220
9999,4082.690471,2886.089057,4.656989,2.192272,6.849261
10199,4050.359537,2433.812843,4.742354,2.236171,6.978525
10399,4018.039162,2369.700060,4.822013,2.280050,7.102063
10599,4004.166829,3282.805500,4.900954,2.324012,7.224967
10799,3971.911043,2262.354393,4.980178,2.367898,7.348076
10999,3951.798982,2865.747686,5.059354,2.411739,7.471092
11199,3927.889454,2612.865427,5.146294,2.455874,7.602168
11399,3900.234096,2351.534014,5.225307,2.500063,7.725370
11599,3879.866967,2718.940652,5.303889,2.543608,7.847497
11799,3865.252597,3017.619112,5.383320,2.587612,7.970932
11999,3835.866998,2102.116659,5.463056,2.631391,8.094446
12199,3810.831698,2308.713723,5.548776,2.675484,8.224260
12399,3788.940594,2453.583214,5.627888,2.719722,8.347610
12599,3763.563027,2190.153871,5.706833,2.763746,8.470579
12799,3744.635445,2552.197811,5.786999,2.808299,8.595298
12999,3725.434753,2496.590430,5.866328,2.852433,8.718761
13199,3702.922055,2239.596730,5.952333,2.896571,8.848904
13399,3691.385518,2929.974058,6.031281,2.940683,8.971964
13599,3669.671125,2214.806806,6.111679,2.984954,9.096633
13799,3653.118907,2527.568084,6.191242,3.029612,9.220853
13999,3633.653269,2290.524243,6.270638,3.073610,9.344248
14199,3619.689276,2642.209779,6.356465,3.117587,9.474052
14399,3602.987200,2417.139804,6.436283,3.161576,9.597859
14599,3589.207990,2597.104865,6.515458,3.205699,9.721157
14799,3572.646695,2363.672134,6.595199,3.249809,9.845007
14999,3555.571921,2292.038671,6.674804,3.295146,9.969950
15199,3541.588500,2492.831905,6.762015,3.339284,10.101299
15399,3530.186859,2663.662145,6.841262,3.383204,10.224466
15599,3524.751278,3106.211511,6.920955,3.427323,10.348279
15799,3507.922283,2195.260713,7.000518,3.471313,10.471831
