# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.595496,0.043490,0.638986
399,13660.050428,11519.527348,0.674387,0.088038,0.762424
599,12774.281965,11002.745038,0.753552,0.132268,0.885820
799,11652.487429,8287.103822,0.830702,0.176322,1.007023
999,11023.007642,8505.088493,0.907676,0.220319,1.127995
1199,10320.564717,6808.350093,0.988472,0.264206,1.252678
1399,9778.235343,6524.259099,1.064876,0.307928,1.372804
1599,9547.115465,7929.276319,1.142065,0.351669,1.493734
1799,9154.375579,6012.456493,1.266123,0.395575,1.661698
1999,8574.234248,3352.962268,1.344104,0.439637,1.783740
2199,8069.869999,3026.227502,1.427333,0.483774,1.911107
2399,7569.105437,2060.695266,1.546879,0.528027,2.074906
2599,7179.124420,2499.352207,1.655761,0.572321,2.228082
2799,6831.480278,2312.106439,1.733994,0.616876,2.350870
2999,6574.544998,2977.451077,1.816862,0.661299,2.478161
3199,6334.237351,2729.622648,1.938087,0.705900,2.643987
3399,6133.374728,2919.572759,2.037111,0.750210,2.787322
3599,5970.479056,3201.252632,2.117035,0.793813,2.910848
3799,5829.124427,3284.741107,2.194557,0.837824,3.032381
3999,5699.171068,3230.057239,2.273151,0.881701,3.154852
4199,5575.078420,3093.225457,2.353980,0.925505,3.279484
4399,5447.078212,2759.073847,2.433845,0.969988,3.403834
4599,5353.806076,3301.819082,2.513012,1.014566,3.527578
4799,5240.035726,2623.317683,2.593120,1.059146,3.652266
4999,5164.382182,3348.697120,2.672619,1.103657,3.776276
5199,5085.282769,3107.797444,2.764960,1.151118,3.916078
5399,5013.817832,3155.729472,2.845257,1.196398,4.041655
