# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,0.223164,0.223164,0.596490,0.043068,0.639559
399,0.204853,0.186541,0.674363,0.086978,0.761341
599,0.203491,0.200769,0.752717,0.130725,0.883442
799,0.195448,0.171317,0.829345,0.174233,1.003578
999,0.190850,0.172460,0.905511,0.217699,1.123210
1199,0.184609,0.153405,0.986009,0.261276,1.247284
1399,0.178364,0.140890,1.061957,0.304624,1.366581
1599,0.173635,0.140531,1.138687,0.348074,1.486761
1799,0.172334,0.161928,1.215523,0.391784,1.607307
1999,0.168455,0.133541,1.292377,0.435343,1.727720
2199,0.168003,0.163486,1.374290,0.478743,1.853034
2399,0.165819,0.141794,1.451201,0.522072,1.973273
2599,0.162543,0.123237,1.528173,0.565669,2.093842
2799,0.162709,0.164864,1.605298,0.609356,2.214654
2999,0.160884,0.135326,1.682387,0.652845,2.335232
3199,0.158772,0.127105,1.765657,0.696461,2.462118
3399,0.158398,0.152413,1.842173,0.739949,2.582121
3599,0.155881,0.113086,1.919152,0.783435,2.702588
3799,0.154251,0.124916,1.996519,0.827261,2.823781
3999,0.153641,0.142046,2.075040,0.871073,2.946114
4199,0.152469,0.129038,2.157468,0.914644,3.072113
4399,0.152604,0.155432,2.234253,0.958070,3.192323
4599,0.152078,0.140510,2.311547,1.001663,3.313210
4799,0.151065,0.127760,2.440034,1.045581,3.485615
4999,0.151265,0.156072,2.518214,1.089362,3.607576
5199,0.151311,0.152444,2.601677,1.133034,3.734711
5399,0.152163,0.174339,2.679868,1.176796,3.856665
5599,0.152173,0.152443,2.759062,1.220472,3.979533
5799,0.151716,0.138920,2.837481,1.264247,4.101729
5999,0.152020,0.160832,2.916148,1.308154,4.224303
6199,0.152470,0.165961,3.001763,1.352305,4.354068
6399,0.153566,0.187542,3.082235,1.396774,4.479009
6599,0.153381,0.147456,3.162760,1.441625,4.604386
6799,0.153560,0.159467,3.242733,1.486072,4.728804
6999,0.154058,0.171010,3.323369,1.530926,4.854295
7199,0.154275,0.161846,3.440246,1.575606,5.015852
7399,0.154078,0.146980,3.520197,1.620114,5.140311
7599,0.153718,0.140404,3.599877,1.664356,5.264233
7799,0.153055,0.127856,3.680124,1.708845,5.388969
7999,0.152928,0.147997,3.761216,1.753387,5.514604
8199,0.152098,0.118892,3.847324,1.798067,5.645391
8399,0.151149,0.112247,3.927312,1.842898,5.770209
8599,0.150076,0.104986,4.008122,1.887791,5.895913
8799,0.149435,0.121870,4.089892,1.932525,6.022417
8999,0.148893,0.125079,4.170503,1.977181,6.147684
9199,0.148804,0.144780,4.257768,2.022350,6.280118
9399,0.148665,0.142252,4.338319,2.067223,6.405542
9599,0.147897,0.111828,4.420132,2.112244,6.532376
9799,0.147265,0.116932,4.501414,2.157245,6.658660
9999,0.146975,0.132750,4.583176,2.202495,6.785671
10199,0.146598,0.127744,4.670387,2.247292,6.917678
10399,0.146156,0.123625,4.752343,2.292382,7.044725
10599,0.145684,0.121115,4.833325,2.337242,7.170567
10799,0.145328,0.126503,4.914462,2.382032,7.296494
10999,0.145579,0.159103,4.995532,2.426836,7.422368
11199,0.145750,0.155164,5.083784,2.471995,7.555779
11399,0.145448,0.128555,5.164279,2.516803,7.681082
11599,0.145807,0.166241,5.245042,2.561600,7.806642
11799,0.145751,0.142526,5.325934,2.606317,7.932250
11999,0.145631,0.138525,5.407756,2.651011,8.058767
12199,0.145601,0.143833,5.494537,2.695511,8.190048
12399,0.145599,0.145430,5.577274,2.739992,8.317266
12599,0.145207,0.120923,5.657722,2.784627,8.442349
12799,0.145175,0.143161,5.738921,2.828933,8.567855
12999,0.145278,0.151860,5.819033,2.873202,8.692234
13199,0.144936,0.122730,5.906212,2.917897,8.824109
13399,0.144596,0.122141,5.986532,2.962589,8.949121
13599,0.144586,0.143945,6.068093,3.007258,9.075351
13799,0.144635,0.147976,6.149125,3.051900,9.201025
13999,0.144271,0.119118,6.229514,3.096484,9.325998
14199,0.144695,0.174391,6.316918,3.141134,9.458052
14399,0.144908,0.160056,6.398114,3.185677,9.583791
14599,0.144924,0.146069,6.478652,3.230258,9.708910
14799,0.144621,0.122468,6.559632,3.274907,9.834539
14999,0.144764,0.155382,6.640143,3.319299,9.959441
15199,0.144891,0.154411,6.728622,3.364040,10.092662
15399,0.144848,0.141549,6.809202,3.409990,10.219192
15599,0.144823,0.142937,6.890018,3.454822,10.344841
15799,0.145217,0.175924,6.971250,3.499683,10.470932
15999,0.145516,0.169132,7.053172,3.544517,10.597689
16199,0.145405,0.136490,7.140787,3.589281,10.730069
16399,0.145611,0.162361,7.220983,3.633702,10.854685
16599,0.145678,0.151120,7.302013,3.678612,10.980624
16799,0.145627,0.141430,7.384266,3.723666,11.107933
16999,0.145601,0.143422,7.465256,3.768307,11.233563
17199,0.145556,0.141743,7.553268,3.813310,11.366578
17399,0.145598,0.149200,7.634325,3.858032,11.492358
17599,0.145626,0.148015,7.716223,3.902677,11.618900
17799,0.145654,0.148169,7.797064,3.947176,11.744239
17999,0.145578,0.138780,7.877783,3.991564,11.869347
18199,0.145725,0.158956,7.965973,4.036396,12.002368
18399,0.145920,0.163708,8.047785,4.081057,12.128843
18599,0.146031,0.156252,8.128677,4.125577,12.254254
18799,0.146133,0.155573,8.209739,4.170165,12.379904
18999,0.146244,0.156635,8.291360,4.215093,12.506453
19199,0.146414,0.162614,8.380346,4.259952,12.640299
19399,0.146356,0.140827,8.461527,4.304840,12.766367
19599,0.146632,0.173358,8.542440,4.349615,12.892055
19799,0.146648,0.148198,8.623589,4.394276,13.017865
19999,0.146759,0.157792,8.706200,4.439217,13.145417
20199,0.146723,0.143111,8.794365,4.484169,13.278534
20399,0.146561,0.130231,8.875177,4.528879,13.404056
20599,0.146726,0.163558,8.956228,4.573615,13.529843
20799,0.146794,0.153715,9.038536,4.618243,13.656779
20999,0.146649,0.131578,9.120134,4.662943,13.783077
21199,0.146974,0.181129,9.207908,4.707723,13.915631
21399,0.146923,0.141489,9.288591,4.752384,14.040974
21599,0.146905,0.145006,9.370162,4.797027,14.167189
21799,0.146934,0.150112,9.451313,4.841821,14.293134
21999,0.147065,0.161303,9.532384,4.886448,14.418831
22199,0.147171,0.158809,9.620537,4.931061,14.551598
22399,0.147372,0.169645,9.702122,4.975649,14.677771
22599,0.147555,0.168090,9.782823,5.020204,14.803027
22799,0.147794,0.174843,9.864048,5.064861,14.928909
22999,0.147755,0.143336,9.945283,5.109414,15.054696
23199,0.147882,0.162422,10.063971,5.154171,15.218142
23399,0.147792,0.137366,10.144558,5.198756,15.343314
23599,0.148023,0.175043,10.225230,5.243423,15.468653
23799,0.147973,0.142114,10.306258,5.288273,15.594532
23999,0.147966,0.147127,10.388257,5.332766,15.721023
24199,0.147830,0.131510,10.475283,5.377603,15.852886
24399,0.147964,0.164184,10.555558,5.422096,15.977654
24599,0.147946,0.145676,10.636231,5.466526,16.102757
24799,0.148081,0.164713,10.718212,5.511153,16.229365
24999,0.148043,0.143358,10.799672,5.555871,16.355544
25199,0.147939,0.134877,10.886712,5.600188,16.486899
