# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.519059,0.042745,0.561805
399,13660.050428,11519.527348,0.523092,0.085101,0.608193
599,12774.281965,11002.745038,0.527325,0.127305,0.654630
799,11652.487429,8287.103822,0.529470,0.169219,0.698689
999,11023.007642,8505.088493,0.531707,0.211074,0.742780
1199,10320.564717,6808.350093,0.537994,0.253009,0.791003
1399,9778.235343,6524.259099,0.540162,0.294592,0.834754
1599,9547.115465,7929.276319,0.542430,0.336329,0.878759
1799,9358.014126,7845.203409,0.544818,0.378178,0.922996
1999,9146.864857,7246.521439,0.547325,0.419894,0.967219
2199,8788.276262,5202.390316,0.554773,0.461725,1.016498
2399,8512.867211,5483.367650,0.556963,0.503483,1.060447
2599,8246.842787,5054.549701,0.559240,0.545306,1.104546
2799,8122.678558,6508.543572,0.561630,0.587129,1.148760
2999,8024.799771,6654.496759,0.564177,0.628926,1.193103
3199,7805.629682,4518.078343,0.571659,0.670771,1.242430
3399,7651.122892,5179.014247,0.573820,0.712549,1.286369
3599,7572.437540,6234.786572,0.576101,0.754352,1.330453
3799,7417.161318,4622.189308,0.578487,0.796243,1.374729
3999,7293.982969,4953.594344,0.580994,0.838088,1.419082
4199,7175.138798,4798.255380,0.588349,0.879993,1.468342
4399,7041.286359,4230.385139,0.590520,0.921765,1.512285
4599,6939.151929,4692.194473,0.592806,0.963734,1.556540
4799,6798.563306,3565.024977,0.595198,1.005630,1.600828
4999,6699.296321,4316.888665,0.597704,1.047446,1.645150
5199,6596.164115,4017.858971,0.605233,1.089474,1.694708
5399,6493.821962,3832.925987,0.607418,1.131402,1.738820
5599,6434.594895,4835.464090,0.609718,1.173180,1.782898
5799,6367.013934,4474.747012,0.612134,1.215181,1.827314
5999,6277.404336,3678.725998,0.614654,1.257068,1.871722
6199,6184.536973,3398.516088,0.622076,1.298992,1.921068
6399,6095.810579,3345.292361,0.624255,1.340954,1.965209
6599,6006.069402,3134.351740,0.626542,1.382831,2.009372
6799,5923.010026,3182.050609,0.628952,1.424883,2.053835
6999,5852.569240,3457.582520,0.631446,1.466904,2.098350
7199,5772.002240,2952.157260,0.639050,1.508805,2.147855
7399,5706.735060,3357.116578,0.641224,1.550773,2.191997
7599,5644.443671,3339.662269,0.643492,1.592539,2.236031
7799,5580.819239,3163.090829,0.645866,1.634441,2.280307
7999,5534.119695,3712.837491,0.648337,1.676253,2.324590
8199,5468.420431,2840.449856,0.655958,1.718258,2.374217
8399,5408.545365,2953.667639,0.658131,1.760180,2.418311
8599,5339.326231,2432.122622,0.660422,1.802050,2.462472
8799,5287.341566,3052.000967,0.662809,1.843904,2.506713
8999,5236.879845,3016.564118,0.665311,1.885899,2.551210
9199,5172.470721,2274.060141,0.673151,1.927882,2.601033
9399,5123.518969,2871.738382,0.675302,1.969664,2.644965
9599,5069.222208,2517.274428,0.677578,2.011566,2.689144
9799,5038.603634,3568.912096,0.679964,2.053446,2.733410
9999,4989.280271,2572.435500,0.682463,2.095353,2.777816
10199,4943.686545,2664.000230,0.690035,2.137326,2.827361
10399,4903.024433,2829.256731,0.692208,2.180573,2.872781
10599,4857.585201,2494.745119,0.694488,2.222495,2.916983
10799,4807.818526,2170.184771,0.696898,2.264466,2.961365
10999,4769.882080,2721.313954,0.699390,2.306400,3.005790
11199,4732.447497,2673.545468,0.707086,2.348566,3.055653
11399,4685.773836,2072.048822,0.709260,2.390512,3.099772
11599,4655.550127,2932.798686,0.711531,2.432385,3.143917
11799,4616.475790,2350.164271,0.713909,2.474347,3.188256
11999,4581.258328,2503.428049,0.716414,2.516299,3.232713
12199,4541.829090,2176.074831,0.724417,2.558323,3.282741
12399,4509.447535,2534.172638,0.726586,2.600303,3.326889
12599,4476.224628,2416.404420,0.728869,2.642206,3.371075
12799,4445.118580,2485.437578,0.731262,2.684432,3.415694
12999,4413.181482,2369.207169,0.733762,2.726512,3.460274
13199,4380.225866,2238.110836,0.741523,2.768620,3.510143
13399,4348.129513,2229.770245,0.743699,2.810722,3.554421
13599,4321.141849,2512.968361,0.745996,2.852770,3.598766
13799,4289.601183,2144.835867,0.748429,2.895222,3.643651
13999,4257.832234,2065.774747,0.750995,2.938010,3.689005
14199,4227.172309,2080.977574,0.759079,2.981263,3.740343
14399,4194.950234,1907.182888,0.761290,3.024169,3.785459
14599,4168.709749,2279.394836,0.763623,3.067343,3.830966
14799,4137.828354,1883.486566,0.766096,3.111359,3.877455
14999,4110.050142,2054.462431,0.768636,3.154570,3.923206
15199,4084.513199,2169.242501,0.776856,3.198424,3.975280
15399,4056.508590,1928.158236,0.779123,3.242227,4.021350
15599,4030.838518,2054.243031,0.781466,3.285022,4.066487
15799,4005.422521,2022.974734,0.783960,3.328788,4.112748
15999,3986.148855,2463.529271,0.786523,3.372163,4.158686
16199,3952.998390,1300.961143,0.821431,3.416227,4.237658
16399,3921.890653,1402.164008,0.823700,3.460218,4.283918
16599,3890.601263,1324.871265,0.826065,3.503444,4.329509
