# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.540737,0.042230,0.582967
399,13660.050428,11519.527348,0.544698,0.084065,0.628764
599,12774.281965,11002.745038,0.548850,0.125864,0.674714
799,11652.487429,8287.103822,0.550934,0.167430,0.718364
999,11023.007642,8505.088493,0.553136,0.209120,0.762255
1199,10320.564717,6808.350093,0.559445,0.250591,0.810036
1399,9778.235343,6524.259099,0.561596,0.291967,0.853563
1599,9547.115465,7929.276319,0.563849,0.333278,0.897126
1799,9358.014126,7845.203409,0.566238,0.374638,0.940876
1999,9146.864857,7246.521439,0.568744,0.415945,0.984688
2199,8788.276262,5202.390316,0.576032,0.457395,1.033427
2399,8512.867211,5483.367650,0.578199,0.498806,1.077005
2599,8246.842787,5054.549701,0.580440,0.540188,1.120628
2799,8122.678558,6508.543572,0.582784,0.581585,1.164369
2999,8024.799771,6654.496759,0.585273,0.622945,1.208217
3199,7805.629682,4518.078343,0.592655,0.664400,1.257055
3399,7651.122892,5179.014247,0.594813,0.705669,1.300482
3599,7572.437540,6234.786572,0.597053,0.747039,1.344091
3799,7417.161318,4622.189308,0.599411,0.788548,1.387959
3999,7293.982969,4953.594344,0.601924,0.829888,1.431812
4199,7175.138798,4798.255380,0.609217,0.871309,1.480526
4399,7041.286359,4230.385139,0.611385,0.912581,1.523965
4599,6939.151929,4692.194473,0.613657,0.953967,1.567625
4799,6798.563306,3565.024977,0.616013,0.995406,1.611419
4999,6699.296321,4316.888665,0.618522,1.036934,1.655456
5199,6596.164115,4017.858971,0.626053,1.078416,1.704469
5399,6493.821962,3832.925987,0.628227,1.119733,1.747960
5599,6434.594895,4835.464090,0.630511,1.161048,1.791559
5799,6367.013934,4474.747012,0.632905,1.202453,1.835358
5999,6277.404336,3678.725998,0.635420,1.243878,1.879298
6199,6184.536973,3398.516088,0.642800,1.285394,1.928193
6399,6095.810579,3345.292361,0.644945,1.326915,1.971860
6599,6006.069402,3134.351740,0.647211,1.368374,2.015585
6799,5923.010026,3182.050609,0.649596,1.409844,2.059440
6999,5852.569240,3457.582520,0.652091,1.451462,2.103553
7199,5772.002240,2952.157260,0.659748,1.493001,2.152749
7399,5706.735060,3357.116578,0.661918,1.534577,2.196495
7599,5644.443671,3339.662269,0.664197,1.576011,2.240207
7799,5580.819239,3163.090829,0.666574,1.617390,2.283964
7999,5534.119695,3712.837491,0.669064,1.658858,2.327923
8199,5468.420431,2840.449856,0.676672,1.700561,2.377234
8399,5408.545365,2953.667639,0.678831,1.742198,2.421029
8599,5339.326231,2432.122622,0.681091,1.783625,2.464716
8799,5287.341566,3052.000967,0.683472,1.825329,2.508801
8999,5236.879845,3016.564118,0.685962,1.866903,2.552865
9199,5172.470721,2274.060141,0.693642,1.908461,2.602102
9399,5123.518969,2871.738382,0.695794,1.949960,2.645754
9599,5069.222208,2517.274428,0.698057,1.991511,2.689569
9799,5038.603634,3568.912096,0.700454,2.033175,2.733629
9999,4989.280271,2572.435500,0.702957,2.074740,2.777697
10199,4943.686545,2664.000230,0.710483,2.116386,2.826869
10399,4903.024433,2829.256731,0.712654,2.157973,2.870627
10599,4857.585201,2494.745119,0.714947,2.200253,2.915200
10799,4807.818526,2170.184771,0.717361,2.242699,2.960059
10999,4769.882080,2721.313954,0.719911,2.285091,3.005002
11199,4732.447497,2673.545468,0.727715,2.327752,3.055467
11399,4685.773836,2072.048822,0.729914,2.371714,3.101628
11599,4655.550127,2932.798686,0.732227,2.414218,3.146445
11799,4616.475790,2350.164271,0.734639,2.456937,3.191576
11999,4581.258328,2503.428049,0.737230,2.500190,3.237420
12199,4541.829090,2176.074831,0.745389,2.543646,3.289035
12399,4509.447535,2534.172638,0.747597,2.586021,3.333619
12599,4476.224628,2416.404420,0.749908,2.628341,3.378249
12799,4445.118580,2485.437578,0.752399,2.671700,3.424098
12999,4413.181482,2369.207169,0.754962,2.714115,3.469076
13199,4380.225866,2238.110836,0.762925,2.757244,3.520169
13399,4348.129513,2229.770245,0.765164,2.800269,3.565433
13599,4321.141849,2512.968361,0.767464,2.842616,3.610080
13799,4289.601183,2144.835867,0.769870,2.884991,3.654861
13999,4257.832234,2065.774747,0.772459,2.928460,3.700919
14199,4227.172309,2080.977574,0.780448,2.971314,3.751762
14399,4194.950234,1907.182888,0.782693,3.014443,3.797137
14599,4168.709749,2279.394836,0.785010,3.056941,3.841951
14799,4137.828354,1883.486566,0.787462,3.099409,3.886871
14999,4110.050142,2054.462431,0.790073,3.142774,3.932847
15199,4084.513199,2169.242501,0.798126,3.185610,3.983736
15399,4056.508590,1928.158236,0.800378,3.228665,4.029043
15599,4030.838518,2054.243031,0.802692,3.271201,4.073893
15799,4005.422521,2022.974734,0.805165,3.325483,4.130648
15999,3986.148855,2463.529271,0.807735,3.368259,4.175994
16199,3952.998390,1300.961143,0.842410,3.412123,4.254533
16399,3921.890653,1402.164008,0.844640,3.455751,4.300391
16599,3890.601263,1324.871265,0.846940,3.498674,4.345615
16799,3862.175874,1502.868604,0.849370,3.541610,4.390979
16999,3834.704097,1527.074766,0.851897,3.584837,4.436733
17199,3808.752577,1602.873402,0.860727,3.628468,4.489195
17399,3781.092206,1402.300270,0.862906,3.670991,4.533897
17599,3753.780652,1377.675530,0.865202,3.713467,4.578669
17799,3727.262030,1393.623273,0.867646,3.756349,4.623995
17999,3703.715437,1608.068606,0.870232,3.799333,4.669564
18199,3674.451351,1040.683601,0.877925,3.842520,4.720444
18399,3648.763767,1311.193619,0.880161,3.886017,4.766177
18599,3623.076604,1259.857690,0.882458,3.928654,4.811112
18799,3597.377279,1207.340062,0.884892,3.971561,4.856453
18999,3577.293738,1689.440798,0.887506,4.015294,4.902800
19199,3555.490766,1484.208491,0.895450,4.058185,4.953636
19399,3535.745507,1640.200640,0.897707,4.101663,4.999369
19599,3512.097504,1218.241147,0.899988,4.144336,5.044325
19799,3492.796949,1601.342554,0.902419,4.187210,5.089629
19999,3471.279234,1341.025452,0.904965,4.230442,5.135407
20199,3448.530877,1173.695196,0.912999,4.274297,5.187296
20399,3427.285304,1281.482470,0.915205,4.317153,5.232358
20599,3407.084038,1346.554898,0.917548,4.359973,5.277521
20799,3389.520321,1580.457423,0.919995,4.403546,5.323541
20999,3369.263180,1262.520516,0.922515,4.446386,5.368901
21199,3351.791075,1517.220114,0.930433,4.489673,5.420106
