# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,0.227545,0.227545,0.525388,0.042588,0.567976
399,0.210758,0.193970,0.529327,0.084684,0.614011
599,0.192911,0.157219,0.533546,0.127020,0.660566
799,0.187455,0.171087,0.535689,0.168958,0.704646
999,0.187466,0.187509,0.537953,0.211046,0.748999
1199,0.182836,0.159687,0.544272,0.252989,0.797261
1399,0.181103,0.170705,0.546455,0.294801,0.841256
1599,0.177092,0.149017,0.548752,0.336581,0.885334
1799,0.174615,0.154792,0.551158,0.378603,0.929761
1999,0.171853,0.146994,0.553685,0.420497,0.974182
2199,0.171902,0.172396,0.561087,0.462207,1.023294
2399,0.172503,0.179119,0.563263,0.503851,1.067114
2599,0.171469,0.159061,0.565546,0.545507,1.111053
2799,0.171744,0.175316,0.567951,0.587222,1.155173
2999,0.170990,0.160431,0.570489,0.628987,1.199476
3199,0.170018,0.155438,0.577910,0.670725,1.248635
3399,0.167966,0.135139,0.580091,0.712495,1.292586
3599,0.166539,0.142267,0.582385,0.754320,1.336705
3799,0.165711,0.150813,0.584773,0.796123,1.380896
3999,0.163715,0.125793,0.587264,0.837834,1.425098
4199,0.162652,0.141391,0.594750,0.879651,1.474401
4399,0.160968,0.125593,0.596940,0.921567,1.518507
4599,0.160179,0.142842,0.599252,0.963292,1.562543
4799,0.159508,0.144073,0.601690,1.005106,1.606796
4999,0.158635,0.137678,0.604204,1.046923,1.651127
5199,0.158287,0.149592,0.611679,1.088869,1.700549
5399,0.158466,0.163125,0.613884,1.130888,1.744772
5599,0.158101,0.148232,0.616190,1.173030,1.789219
5799,0.158637,0.173656,0.618620,1.215096,1.833716
5999,0.158920,0.167130,0.621168,1.257323,1.878491
6199,0.158553,0.147530,0.628826,1.299284,1.928110
6399,0.158137,0.145226,0.631014,1.340989,1.972003
6599,0.157425,0.134669,0.633319,1.382717,2.016036
6799,0.156543,0.127436,0.635741,1.424469,2.060210
6999,0.155817,0.131124,0.638287,1.466272,2.104559
7199,0.155200,0.133608,0.645980,1.508068,2.154048
7399,0.155026,0.148740,0.648154,1.549761,2.197915
7599,0.154704,0.142805,0.650463,1.591543,2.242006
7799,0.154576,0.149708,0.652879,1.633270,2.286149
7999,0.154453,0.149657,0.655401,1.675050,2.330450
8199,0.154072,0.138847,0.663001,1.716848,2.379848
8399,0.154359,0.166111,0.665173,1.758499,2.423672
8599,0.153844,0.132201,0.667470,1.800230,2.467700
8799,0.154012,0.161274,0.669906,1.841933,2.511839
8999,0.154390,0.171006,0.672453,1.883721,2.556174
9199,0.154147,0.143196,0.680222,1.925689,2.605911
9399,0.154513,0.171382,0.682428,1.967689,2.650116
9599,0.154338,0.146070,0.684728,2.011139,2.695867
9799,0.153892,0.132492,0.687163,2.053122,2.740284
9999,0.153278,0.123184,0.689713,2.095132,2.784845
10199,0.153095,0.143972,0.697513,2.137044,2.834557
10399,0.152989,0.147602,0.699702,2.179007,2.878709
10599,0.152650,0.135021,0.701998,2.220870,2.922867
10799,0.152406,0.139472,0.704436,2.262810,2.967246
10999,0.152947,0.182155,0.706970,2.304762,3.011732
11199,0.152938,0.152438,0.714739,2.349632,3.064371
11399,0.153376,0.177868,0.716928,2.391536,3.108464
11599,0.152867,0.123898,0.719239,2.433508,3.152747
11799,0.152969,0.158876,0.721662,2.475418,3.197079
11999,0.152836,0.144964,0.724216,2.517369,3.241585
12199,0.152560,0.135995,0.732069,2.559351,3.291420
12399,0.152579,0.153749,0.734264,2.601231,3.335495
12599,0.152173,0.127026,0.736561,2.643065,3.379626
12799,0.151530,0.111013,0.738984,2.684991,3.423975
12999,0.151343,0.139379,0.741501,2.726830,3.468331
13199,0.151090,0.134652,0.749422,2.768645,3.518067
13399,0.151421,0.173256,0.751617,2.810441,3.562058
13599,0.151305,0.143539,0.753915,2.852259,3.606174
13799,0.151528,0.166684,0.756332,2.894181,3.650514
13999,0.151271,0.133561,0.758842,2.936106,3.694948
14199,0.150982,0.130732,0.766758,2.978180,3.744938
14399,0.150971,0.150147,0.768955,3.020079,3.789035
14599,0.150919,0.147196,0.771262,3.061864,3.833126
14799,0.151160,0.168767,0.773683,3.103752,3.877435
14999,0.150927,0.133675,0.776232,3.145669,3.921902
15199,0.150996,0.156196,0.784189,3.187605,3.971794
15399,0.150888,0.142679,0.786376,3.229576,4.015952
15599,0.150883,0.150450,0.788695,3.271655,4.060351
15799,0.150911,0.153149,0.791106,3.313615,4.104721
15999,0.151242,0.177339,0.793636,3.355677,4.149313
16199,0.151044,0.135209,0.827358,3.397972,4.225330
16399,0.150755,0.127397,0.829534,3.440024,4.269557
16599,0.150399,0.121204,0.831831,3.482123,4.313954
16799,0.150269,0.139452,0.834266,3.524330,4.358596
16999,0.150092,0.135237,0.836793,3.566506,4.403299
17199,0.150380,0.174831,0.844526,3.608730,4.453256
