# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,15800.573508,15800.573508,0.623970,0.043463,0.667433
399,13660.050428,11519.527348,0.703201,0.087900,0.791101
599,12774.281965,11002.745038,0.782665,0.132079,0.914744
799,11652.487429,8287.103822,0.860258,0.176206,1.036464
999,11023.007642,8505.088493,0.937554,0.220311,1.157866
1199,10320.564717,6808.350093,1.019384,0.264614,1.283998
1399,9778.235343,6524.259099,1.096422,0.308641,1.405062
1599,9404.737289,6790.250908,1.218332,0.352876,1.571208
1799,8790.183510,3873.753278,1.296277,0.396871,1.693148
1999,8230.360453,3191.952941,1.408566,0.441399,1.849966
2199,7675.558340,2127.537207,1.489819,0.485882,1.975700
2399,7206.301867,2044.480675,1.594867,0.530421,2.125288
2599,6800.645485,1932.768899,1.678101,0.575037,2.253137
2799,6447.738009,1859.940823,1.756594,0.619529,2.376123
2999,6169.592384,2275.553635,1.903764,0.664256,2.568020
3199,5963.506017,2872.210508,1.985199,0.708706,2.693906
3399,5807.394858,3309.616306,2.066144,0.754224,2.820368
3599,5673.976448,3405.863484,2.144482,0.798535,2.943017
3799,5531.026594,2957.929215,2.223100,0.842933,3.066034
3999,5394.781117,2806.117057,2.305315,0.887087,3.192402
4199,5268.738616,2747.888600,2.383233,0.930794,3.314027
4399,5146.666330,2583.148321,2.461632,0.974822,3.436454
4599,5037.045827,2625.394761,2.540414,1.018945,3.559359
4799,4929.612359,2458.642601,2.619434,1.062752,3.682186
4999,4874.325356,3547.437290,2.702033,1.107057,3.809090
5199,4818.864148,3432.333933,2.780026,1.151054,3.931081
5399,4767.121476,3421.812009,2.858927,1.195354,4.054281
5599,4718.088825,3394.207241,2.939064,1.239714,4.178778
5799,4647.818217,2680.241194,3.018808,1.284327,4.303135
5999,4581.219566,2649.858684,3.101319,1.328543,4.429862
6199,4520.194292,2689.436075,3.179639,1.372377,4.552017
6399,4445.102955,2117.271500,3.259392,1.416588,4.675980
6599,4403.029263,3056.671138,3.338112,1.460261,4.798373
6799,4357.748090,2863.469388,3.417480,1.504497,4.921977
6999,4307.088303,2584.655532,3.500067,1.548722,5.048790
7199,4249.236442,2224.421293,3.579677,1.592876,5.172554
7399,4217.024407,3057.391144,3.658622,1.637005,5.295626
7599,4173.892724,2578.020453,3.737395,1.680780,5.418175
7799,4130.503314,2481.705758,3.816752,1.724975,5.541726
7999,4083.071327,2233.223843,3.901582,1.769900,5.671482
8199,4049.617611,2711.468945,3.982566,1.815076,5.797642
8399,4014.552484,2576.882278,4.063597,1.860309,5.923906
8599,3969.593582,2081.319707,4.145340,1.905795,6.051135
8799,3938.160098,2586.520305,4.227926,1.951206,6.179132
8999,3902.041885,2312.840487,4.315430,1.996756,6.312186
9199,3866.915569,2286.231374,4.396614,2.042004,6.438618
9399,3835.362931,2383.941552,4.477983,2.087374,6.565357
9599,3808.480685,2545.015125,4.560648,2.132866,6.693515
9799,3779.392480,2383.158659,4.642610,2.178230,6.820840
9999,3745.895537,2104.545304,4.730387,2.223608,6.953995
10199,3710.988804,1965.652198,4.811235,2.268550,7.079784
10399,3682.919886,2251.405053,4.893286,2.313562,7.206848
10599,3667.628320,2872.466881,4.975297,2.358929,7.334226
10799,3641.469652,2255.060224,5.057342,2.404258,7.461600
10999,3623.424380,2648.979717,5.145401,2.449762,7.595163
11199,3610.762536,2914.361105,5.227783,2.494985,7.722767
11399,3597.255462,2840.859336,5.309134,2.540083,7.849217
11599,3579.001539,2538.527903,5.391229,2.585544,7.976773
11799,3552.711451,2027.886334,5.473404,2.630873,8.104278
11999,3529.220910,2143.279019,5.561818,2.676195,8.238013
12199,3507.233307,2187.977158,5.643027,2.721391,8.364417
12399,3494.514046,2718.639093,5.724579,2.766736,8.491314
12599,3480.426816,2607.018576,5.805973,2.811754,8.617727
12799,3465.856874,2547.950540,5.889203,2.857112,8.746314
12999,3450.848247,2490.296056,5.977284,2.902564,8.879848
13199,3433.155378,2283.118906,6.058182,2.947489,9.005671
13399,3413.849298,2139.648035,6.140290,2.993001,9.133290
13599,3400.491881,2505.544975,6.222571,3.038061,9.260632
13799,3385.737030,2382.407144,6.304927,3.083490,9.388417
13999,3367.395873,2101.856051,6.393139,3.128894,9.522033
14199,3352.230321,2290.641636,6.475209,3.174523,9.649732
14399,3338.696814,2377.817825,6.557625,3.219708,9.777333
14599,3328.846879,2619.651569,6.639250,3.264783,9.904032
14799,3313.201208,2171.067258,6.721362,3.311139,10.032501
14999,3297.466628,2133.107705,6.810018,3.356896,10.166913
15199,3288.570916,2621.392503,6.892467,3.402347,10.294814
15399,3274.079880,2172.761097,6.974266,3.447798,10.422064
15599,3261.187859,2268.502250,7.056659,3.493432,10.550090
15799,3246.602152,2108.917024,7.139213,3.539123,10.678336
15999,3233.810149,2223.241908,7.229222,3.584985,10.814207
16199,3222.100944,2285.364535,7.310771,3.630239,10.941010
16399,3207.246097,2004.003518,7.393265,3.676000,11.069265
16599,3195.643644,2244.242525,7.475153,3.721264,11.196418
16799,3187.988821,2552.638513,7.558855,3.766861,11.325716
16999,3176.535969,2214.496398,7.647595,3.812418,11.460013
17199,3166.522386,2315.367808,7.730061,3.858274,11.588335
17399,3153.450604,2029.277358,7.812261,3.903764,11.716025
17599,3144.641491,2378.248647,7.895888,3.949617,11.845506
17799,3134.619578,2252.691272,7.978582,3.995256,11.973838
17999,3122.455643,2039.865397,8.067989,4.040985,12.108974
18199,3110.587738,2042.476280,8.150279,4.086675,12.236955
18399,3099.959338,2132.774949,8.233824,4.132487,12.366311
18599,3085.619960,1766.397157,8.316315,4.178174,12.494488
18799,3077.566555,2328.599859,8.398885,4.223703,12.622588
18999,3070.515552,2407.721280,8.488575,4.269506,12.758081
19199,3057.681699,1838.465734,8.576999,4.315080,12.892079
19399,3048.316772,2149.283712,8.659292,4.360659,13.019951
19599,3037.275654,1966.287282,8.741712,4.406069,13.147782
19799,3029.135846,2231.434623,8.824298,4.451412,13.275710
19999,3022.203226,2335.873834,8.914967,4.497093,13.412060
20199,3011.358684,1926.904528,8.996717,4.542547,13.539263
20399,3004.571501,2319.065938,9.079025,4.588024,13.667048
20599,2995.735175,2094.430005,9.161375,4.633591,13.794966
20799,2984.190268,1795.064820,9.245059,4.679605,13.924664
20999,2972.370734,1743.139151,9.355828,4.725014,14.080842
21199,2962.069071,1880.394508,9.439534,4.770012,14.209546
21399,2950.119925,1683.510485,9.524458,4.815416,14.339874
21599,2938.771700,1724.511548,9.638566,4.860678,14.499244
21799,2929.521352,1930.483764,9.720090,4.905783,14.625873
21999,2917.814801,1641.800809,9.806706,4.950910,14.757616
22199,2909.064789,1946.563390,9.887982,4.995932,14.883914
22399,2901.999791,2117.785089,9.976589,5.041361,15.017950
22599,2891.051840,1664.881296,10.058266,5.086761,15.145026
22799,2881.183919,1766.108888,10.140104,5.131986,15.272091
22999,2872.600379,1894.076816,10.222332,5.177312,15.399644
23199,2862.055103,1649.348308,10.305126,5.222423,15.527549
23399,2852.393616,1731.661136,10.393733,5.267512,15.661245
23599,2845.647390,2056.338995,10.475636,5.312893,15.788530
23799,2836.907429,1805.591979,10.557375,5.358128,15.915504
23999,2829.065638,1895.892544,10.640716,5.403571,16.044287
24199,2824.235675,2244.640120,10.772736,5.449005,16.221740
24399,2826.050487,3045.642725,10.857672,5.494158,16.351831
24599,2822.800331,2426.281246,10.938788,5.539145,16.477932
24799,2826.870902,3327.551127,11.021232,5.584137,16.605368
24999,2824.939096,2585.395142,11.103599,5.629645,16.733245
25199,2824.372342,2753.528123,11.185488,5.674884,16.860372
25399,2821.488774,2458.159176,11.271463,5.720112,16.991575
25599,2822.061555,2894.804744,11.354264,5.765576,17.119840
25799,2825.449466,3259.102124,11.435759,5.810623,17.246381
25999,2822.667019,2463.731371,11.517673,5.855654,17.373327
26199,2823.065999,2874.933411,11.599326,5.900527,17.499852
26399,2820.917300,2539.437672,11.686639,5.945765,17.632404
26599,2817.393430,2352.242672,11.767984,5.990728,17.758712
26799,2812.368698,2144.079317,11.849378,6.035755,17.885133
26999,2808.841208,2336.157491,11.931102,6.080563,18.011665
27199,2808.961431,2825.191599,12.013888,6.125356,18.139245
27399,2806.547452,2478.246261,12.099618,6.170219,18.269837
27599,2803.020248,2319.793328,12.181031,6.215147,18.396177
27799,2802.375836,2713.446927,12.262537,6.260220,18.522756
27999,2796.313898,1953.704564,12.345239,6.305131,18.650370
28199,2792.914391,2316.983341,12.427160,6.350087,18.777247
28399,2789.512597,2309.859720,12.512548,6.394981,18.907530
28599,2785.386024,2199.412685,12.593169,6.439653,19.032822
28799,2782.463993,2364.613527,12.675068,6.484296,19.159364
28999,2777.630424,2081.596448,12.756930,6.529430,19.286360
29199,2773.211570,2132.477704,12.838530,6.574282,19.412812
29399,2770.775202,2415.065515,12.924327,6.619352,19.543679
29599,2766.529450,2142.403933,13.006873,6.664440,19.671313
29799,2765.440750,2604.313135,13.088291,6.709359,19.797650
29999,2761.644184,2195.955854,13.169820,6.754169,19.923989
30199,2758.664554,2311.720123,13.251665,6.798988,20.050653
30399,2754.249747,2087.613805,13.338278,6.843880,20.182159
30599,2751.412160,2320.098974,13.419715,6.888892,20.308607
30799,2745.507636,1842.115384,13.500918,6.933649,20.434566
30999,2742.372420,2259.549214,13.582275,6.978549,20.560824
31199,2738.573575,2149.752649,13.665092,7.023445,20.688536
31399,2736.124342,2354.043933,13.751110,7.068363,20.819472
31599,2733.609705,2338.811710,13.832843,7.113562,20.946405
31799,2731.503304,2398.691898,13.914988,7.159001,21.073989
31999,2726.633465,1952.329138,13.997650,7.204060,21.201710
32199,2724.197782,2334.488478,14.079743,7.249076,21.328819
32399,2719.307727,1932.008861,14.168113,7.294558,21.462671
32599,2716.510665,2263.386602,14.249862,7.339758,21.589620
32799,2711.851345,1952.382212,14.332540,7.384947,21.717487
32999,2710.330029,2460.834186,14.414868,7.430451,21.845318
33199,2710.184971,2686.250486,14.497181,7.475805,21.972987
33399,2706.212236,2046.738148,14.586058,7.521119,22.107178
33599,2704.815612,2471.579424,14.668439,7.566082,22.234521
33799,2700.752563,2018.160386,14.750291,7.611385,22.361677
33999,2697.271027,2108.891377,14.832062,7.656498,22.488559
34199,2695.978039,2476.170111,14.914114,7.701479,22.615593
34399,2691.760760,1970.605959,15.004037,7.746572,22.750609
34599,2687.904220,2024.579460,15.085860,7.791840,22.877700
34799,2685.367548,2246.523234,15.167411,7.837002,23.004413
34999,2679.937420,1735.095192,15.249279,7.882164,23.131443
35199,2676.364728,2051.143535,15.332630,7.927296,23.259926
35399,2674.995033,2433.928731,15.422345,7.972853,23.395197
35599,2671.213845,2001.943592,15.503878,8.017943,23.521821
35799,2668.123124,2117.974869,15.585863,8.063158,23.649022
35999,2667.549596,2564.887997,15.668869,8.108276,23.777146
36199,2665.702755,2333.271448,15.751054,8.153380,23.904434
36399,2661.350559,1873.603067,15.840098,8.198696,24.038794
36599,2658.259601,2095.705206,15.922637,8.244356,24.166993
36799,2653.275880,1741.254850,16.005585,8.289760,24.295345
36999,2649.770360,2004.754837,16.088045,8.335061,24.423106
37199,2647.506007,2228.600616,16.170438,8.380314,24.550752
37399,2645.439616,2261.090855,16.260361,8.425836,24.686196
37599,2642.784726,2146.320429,16.343566,8.471383,24.814950
37799,2640.842586,2275.720257,16.425437,8.516493,24.941930
37999,2638.828170,2258.103542,16.507482,8.561519,25.069002
38199,2637.349559,2356.413338,16.589610,8.606562,25.196172
38399,2634.945574,2175.784569,16.679923,8.651818,25.331741
38599,2630.188652,1716.859587,16.761214,8.697040,25.458254
38799,2627.950006,2195.891360,16.843148,8.742112,25.585260
38999,2627.606948,2561.053664,16.925292,8.787144,25.712436
39199,2622.295585,1586.579713,17.009057,8.832438,25.841495
39399,2619.045583,1982.045322,17.098402,8.877587,25.975988
39599,2616.291713,2073.779183,17.179843,8.922502,26.102345
39799,2614.046245,2169.443671,17.261993,8.967574,26.229567
39999,2611.368360,2078.469149,17.345736,9.012873,26.358609
40199,2609.171157,2169.730657,17.428220,9.057984,26.486204
40399,2606.745119,2119.111479,17.517855,9.103483,26.621338
40599,2607.008027,2660.115478,17.632952,9.149026,26.781978
40799,2606.230163,2448.323627,17.717754,9.194087,26.911841
40999,2604.646431,2281.565292,17.801840,9.239048,27.040888
41199,2604.062166,2484.287775,17.883537,9.284171,27.167709
41399,2601.415405,2056.182667,17.965212,9.329197,27.294409
41599,2599.119006,2123.764270,18.050960,9.374130,27.425090
41799,2595.517813,1846.469777,18.133412,9.419562,27.552974
41999,2592.977119,2061.972108,18.215219,9.464474,27.679693
42199,2590.461430,2062.166754,18.297302,9.509484,27.806786
42399,2590.527613,2604.492077,18.380450,9.554383,27.934833
42599,2585.973363,1620.472372,18.465841,9.599394,28.065235
42799,2582.204847,1779.511054,18.547590,9.644456,28.192046
42999,2579.053135,1904.586686,18.629715,9.689513,28.319228
43199,2575.625575,1838.700204,18.712578,9.734426,28.447005
43399,2573.435767,2100.437176,18.795430,9.779735,28.575165
43599,2571.330768,2114.546018,18.880576,9.824438,28.705014
43799,2566.918693,1605.086378,18.962434,9.869450,28.831885
43999,2563.819464,1885.088242,19.045279,9.914345,28.959624
44199,2561.680127,2091.026110,19.167081,9.959381,29.126462
44399,2559.216631,2014.784052,19.249325,10.004675,29.254000
44599,2557.248796,2120.389288,19.336928,10.049935,29.386863
44799,2554.174570,1868.622261,19.419178,10.094992,29.514170
44999,2551.235007,1892.772776,19.500626,10.140068,29.640694
45199,2548.831728,2008.094023,19.582334,10.185041,29.767374
45399,2545.922596,1888.458878,19.664088,10.229951,29.894039
45599,2543.199964,1925.162316,19.753579,10.275239,30.028819
45799,2540.030639,1817.424545,19.834946,10.320278,30.155225
45999,2536.956450,1832.967164,19.916805,10.365362,30.282167
46199,2532.727967,1560.176845,19.998548,10.410385,30.408933
46399,2529.581396,1802.723528,20.081872,10.455602,30.537474
46599,2526.474050,1805.569837,20.170482,10.500634,30.671115
46799,2522.586597,1616.809952,20.251770,10.545655,30.797425
46999,2521.424605,2249.518590,20.334051,10.591064,30.925115
47199,2519.180691,1991.860877,20.416774,10.636102,31.052877
47399,2515.408241,1625.110177,20.499043,10.681336,31.180380
47599,2512.531229,1830.679195,20.587605,10.726428,31.314033
47799,2509.006580,1670.140154,20.669145,10.771428,31.440573
47999,2504.768514,1491.870810,20.752512,10.816896,31.569409
48199,2500.791615,1546.335743,20.834624,10.861964,31.696589
48399,2497.386848,1676.838162,20.916825,10.907082,31.823907
48599,2492.987468,1428.337403,21.006268,10.952678,31.958947
48799,2492.340001,2335.005567,21.123117,10.997834,32.120951
48999,2489.005225,1675.319748,21.207260,11.042811,32.250071
49199,2488.590912,2387.084392,21.288597,11.087864,32.376461
49399,2486.020001,1853.575800,21.370285,11.132862,32.503147
49599,2486.101531,2506.239476,21.456257,11.178080,32.634337
49799,2484.385656,2058.848684,21.537802,11.223176,32.760979
49999,2481.514298,1766.546140,21.619474,11.268136,32.887610
50199,2604.300646,33300.887659,21.729296,11.312629,33.041925
50399,2675.618346,20576.361060,21.883402,11.358261,33.241663
50599,2716.756440,13083.555974,22.010967,11.403590,33.414557
50799,2759.646594,13610.855574,22.130543,11.449150,33.579694
50999,2797.479036,12406.919303,22.215637,11.494473,33.710110
51199,2838.601315,13324.782595,22.295855,11.539484,33.835339
51399,2868.390124,10494.325192,22.397181,11.584661,33.981842
51599,2901.117579,11312.073613,22.481340,11.629665,34.111005
51799,2931.766534,10839.196789,22.560887,11.674454,34.235342
51999,2958.560256,9898.134407,22.641888,11.719528,34.361416
52199,2996.415096,12838.673457,22.758482,11.765104,34.523585
52399,3027.834119,11228.198946,22.843868,11.810493,34.654361
52599,3059.666663,11399.793278,22.929394,11.855848,34.785242
52799,3088.957943,10792.564656,23.010312,11.901032,34.911345
52999,3114.876071,9957.261847,23.090809,11.946249,35.037058
53199,3147.787251,11869.249793,23.177289,11.991499,35.168788
53399,3174.211591,10203.086256,23.258110,12.036789,35.294899
53599,3198.323369,9636.167905,23.339498,12.081986,35.421484
53799,3222.459093,9690.833228,23.420319,12.127189,35.547508
53999,3252.552484,11347.674537,23.501327,12.172349,35.673676
54199,3280.676363,10874.123676,23.588849,12.217573,35.806422
54399,3306.777757,10380.255736,23.670113,12.262576,35.932689
54599,3321.064995,7207.193740,23.750918,12.307663,36.058581
54799,3346.619196,10322.915854,23.831767,12.352732,36.184499
54999,3374.226213,10938.548988,23.913078,12.397964,36.311042
55199,3396.475948,9515.153080,24.001682,12.443252,36.444934
55399,3420.784376,10129.910370,24.082688,12.488605,36.571292
55599,3444.004938,9876.100694,24.163542,12.533794,36.697336
55799,3462.735751,8669.901684,24.244688,12.579042,36.823730
55999,3480.284731,8376.450204,24.326881,12.624330,36.951211
56199,3501.274146,9378.310414,24.415005,12.669547,37.084552
56399,3526.588764,10639.996452,24.518615,12.714775,37.233390
56599,3536.296798,6273.962420,24.602122,12.759863,37.361985
56799,3544.111474,5755.664764,24.683366,12.804902,37.488268
56999,3561.328830,8451.057996,24.763975,12.849928,37.613903
57199,3570.455612,6171.588309,24.848463,12.895242,37.743705
57399,3585.831698,7983.392421,24.928895,12.940185,37.869079
57599,3600.431522,7790.580998,25.010491,12.985180,37.995671
57799,3616.659626,8290.353416,25.092223,13.030567,38.122790
57999,3627.193145,6671.380219,25.173409,13.075383,38.248792
58199,3642.607059,8112.642052,25.260565,13.120542,38.381107
58399,3655.751164,7480.685884,25.342606,13.165787,38.508393
58599,3667.196049,7009.102518,25.423725,13.210932,38.634657
58799,3677.670453,6746.670828,25.504909,13.255979,38.760888
58999,3690.437317,7443.895353,25.586407,13.301073,38.887480
59199,3703.610177,7589.603654,25.675024,13.346558,39.021582
59399,3714.994913,7084.876883,25.756410,13.391945,39.148355
59599,3722.376554,5914.723852,25.837584,13.437019,39.274604
59799,3729.479306,5846.099485,25.919423,13.482465,39.401888
59999,3738.250681,6360.891636,26.057028,13.528033,39.585061
60199,3750.308517,7367.659599,26.144567,13.573435,39.718002
60399,3761.313356,7073.769771,26.225535,13.618597,39.844132
60599,3771.185983,6752.719417,26.306803,13.663780,39.970583
60799,3780.737807,6674.940382,26.425294,13.708819,40.134113
60999,3790.078297,6629.587246,26.506336,13.753855,40.260190
61199,3798.020830,6220.493390,26.590530,13.799022,40.389552
61399,3808.040552,6874.075484,26.671797,13.844407,40.516203
61599,3818.849483,7137.191291,26.753798,13.889423,40.643220
61799,3829.004401,6956.719036,26.835416,13.934655,40.770071
61999,3837.947785,6601.453521,26.917091,13.979877,40.896968
62199,3848.465895,7109.079920,27.002424,14.025013,41.027437
62399,3858.603037,7011.254246,27.083993,14.069968,41.153961
62599,3865.680194,6073.753178,27.202190,14.115157,41.317347
62799,3873.734309,6394.672437,27.288652,14.160488,41.449139
62999,3882.637208,6678.147345,27.369776,14.205767,41.575543
63199,3891.210437,6591.777550,27.457999,14.250986,41.708985
63399,3895.366209,5208.590285,27.538942,14.295995,41.834937
63599,3902.935097,6302.272516,27.620132,14.341078,41.961210
63799,3908.512851,5682.238623,27.701755,14.386327,42.088082
63999,3917.289712,6717.108364,27.784329,14.431688,42.216017
64199,3923.261965,5834.382856,27.872897,14.476916,42.349813
64399,3930.416530,6227.031933,27.953862,14.522153,42.476016
64599,3932.705287,4669.685039,28.035143,14.567371,42.602513
64799,3936.769074,5249.372494,28.117826,14.612808,42.730634
64999,3940.997138,5310.889918,28.199319,14.657923,42.857242
65199,3947.686923,6121.866965,28.288157,14.703234,42.991391
65399,3952.934136,5663.525425,28.369130,14.748224,43.117355
65599,3958.097804,5646.617460,28.451340,14.793404,43.244744
65799,3965.198176,6294.120156,28.532952,14.838598,43.371550
65999,3971.829275,6153.460867,28.614512,14.883767,43.498279
66199,3977.884996,5976.272834,28.703052,14.928984,43.632036
66399,3992.350066,8780.288190,28.816707,14.974179,43.790887
66599,4005.673638,8429.099534,28.897454,15.019280,43.916734
66799,4018.858404,8409.385632,28.981139,15.064405,44.045545
66999,4031.999906,8421.261296,29.061971,15.109404,44.171375
67199,4044.626127,8274.410355,29.147642,15.154649,44.302292
67399,4058.018382,8557.815950,29.228521,15.199578,44.428099
67599,4070.475897,8268.658553,29.309529,15.244610,44.554139
67799,4084.118406,8695.286528,29.390634,15.289438,44.680072
67999,4096.453345,8277.997651,29.472804,15.334360,44.807164
68199,4108.140766,8081.863930,29.558076,15.379238,44.937314
68399,4119.439435,7972.285344,29.639041,15.424364,45.063405
68599,4129.813996,7677.913909,29.720258,15.469501,45.189759
68799,4143.375532,8794.982303,29.802400,15.514679,45.317079
68999,4160.281808,9976.040831,29.883711,15.559615,45.443326
69199,4172.461436,8374.432982,29.969292,15.604581,45.573873
69399,4179.654429,6668.430077,30.050555,15.649730,45.700286
69599,4191.127771,8172.377588,30.132634,15.694831,45.827465
69799,4202.648714,8211.936861,30.214505,15.740027,45.954532
69999,4213.069670,7849.983192,30.296363,15.785128,46.081491
70199,4225.953840,8735.413536,30.382490,15.830489,46.212980
70399,4236.031678,7773.352880,30.464691,15.875629,46.340320
70599,4247.969308,8450.014933,30.546101,15.920780,46.466881
70799,4259.173988,8214.426124,30.627666,15.965809,46.593476
70999,4266.499683,6859.795517,30.709588,16.010959,46.720547
71199,4275.193773,7361.595963,30.796252,16.056090,46.852343
71399,4283.626321,7285.613233,30.877599,16.101171,46.978771
71599,4291.753158,7193.033898,30.959099,16.146339,47.105438
71799,4301.611324,7830.834838,31.080703,16.191183,47.271886
71999,4312.078602,8069.831419,31.163225,16.236391,47.399615
72199,4317.883226,6407.547805,31.250989,16.281409,47.532398
72399,4324.277224,6632.510634,31.332532,16.326589,47.659122
72599,4329.985384,6396.339028,31.414662,16.371990,47.786652
72799,4338.941888,7590.152932,31.497291,16.417046,47.914336
72999,4348.029825,7656.039102,31.579184,16.462063,48.041247
73199,4355.543199,7097.924693,31.668321,16.507380,48.175701
