# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,15800.573508,15800.573508,0.601112,0.043947,0.645059
399,13660.050428,11519.527348,0.680351,0.088693,0.769044
599,12774.281965,11002.745038,0.759926,0.133089,0.893015
799,11652.487429,8287.103822,0.840062,0.177353,1.017415
999,11023.007642,8505.088493,0.917514,0.221579,1.139093
1199,10320.564717,6808.350093,0.999419,0.266110,1.265529
1399,9778.235343,6524.259099,1.076238,0.310218,1.386456
1599,9404.737289,6790.250908,1.198533,0.354644,1.553178
1799,8790.183510,3873.753278,1.276799,0.399277,1.676076
1999,8230.360453,3191.952941,1.388990,0.443726,1.832716
2199,7675.558340,2127.537207,1.470650,0.488584,1.959235
2399,7206.301867,2044.480675,1.575599,0.533579,2.109179
2599,6800.645485,1932.768899,1.659447,0.578699,2.238146
2799,6447.738009,1859.940823,1.738281,0.623496,2.361776
2999,6169.592384,2275.553635,1.886065,0.668274,2.554339
3199,5963.506017,2872.210508,1.967669,0.712916,2.680585
3399,5807.394858,3309.616306,2.048819,0.757505,2.806324
3599,5673.976448,3405.863484,2.127349,0.801951,2.929300
3799,5531.026594,2957.929215,2.206360,0.846635,3.052996
3999,5394.781117,2806.117057,2.288789,0.891238,3.180027
4199,5268.738616,2747.888600,2.367419,0.935758,3.303177
4399,5146.666330,2583.148321,2.447923,0.980498,3.428421
4599,5037.045827,2625.394761,2.527073,1.025176,3.552248
4799,4929.612359,2458.642601,2.607441,1.070116,3.677556
4999,4874.325356,3547.437290,2.691690,1.115505,3.807195
5199,4818.864148,3432.333933,2.772310,1.160924,3.933234
5399,4767.121476,3421.812009,2.853305,1.206375,4.059680
5599,4718.088825,3394.207241,2.935028,1.251748,4.186776
5799,4647.818217,2680.241194,3.016093,1.297064,4.313157
5999,4581.219566,2649.858684,3.100439,1.342269,4.442708
6199,4520.194292,2689.436075,3.181048,1.387670,4.568718
6399,4445.102955,2117.271500,3.262801,1.433094,4.695895
6599,4403.029263,3056.671138,3.343602,1.478331,4.821932
6799,4357.748090,2863.469388,3.424762,1.523701,4.948462
6999,4307.088303,2584.655532,3.509123,1.569141,5.078265
7199,4249.236442,2224.421293,3.590584,1.614513,5.205097
7399,4217.024407,3057.391144,3.671485,1.659872,5.331357
7599,4173.892724,2578.020453,3.752519,1.705176,5.457695
7799,4130.503314,2481.705758,3.833634,1.750532,5.584166
7999,4083.071327,2233.223843,3.919940,1.796240,5.716180
8199,4049.617611,2711.468945,4.000811,1.841615,5.842426
8399,4014.552484,2576.882278,4.081825,1.886919,5.968744
8599,3969.593582,2081.319707,4.163220,1.932237,6.095457
8799,3938.160098,2586.520305,4.245565,1.977668,6.223232
8999,3902.041885,2312.840487,4.332081,2.022968,6.355049
9199,3866.915569,2286.231374,4.412984,2.068170,6.481154
9399,3835.362931,2383.941552,4.494075,2.113434,6.607509
9599,3808.480685,2545.015125,4.576224,2.158818,6.735042
9799,3779.392480,2383.158659,4.658430,2.204604,6.863034
9999,3745.895537,2104.545304,4.745886,2.250025,6.995911
10199,3710.988804,1965.652198,4.827130,2.295466,7.122596
10399,3682.919886,2251.405053,4.909476,2.340885,7.250362
10599,3667.628320,2872.466881,4.991645,2.386496,7.378141
10799,3641.469652,2255.060224,5.073226,2.431876,7.505103
10999,3623.424380,2648.979717,5.160952,2.477367,7.638319
11199,3610.762536,2914.361105,5.243464,2.523254,7.766717
11399,3597.255462,2840.859336,5.325395,2.568759,7.894154
11599,3579.001539,2538.527903,5.407673,2.614564,8.022237
11799,3552.711451,2027.886334,5.489803,2.660172,8.149975
