# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,0.251808,0.251808,0.586241,0.042990,0.629231
399,0.224567,0.197326,0.665020,0.087095,0.752115
599,0.205069,0.166073,0.744439,0.131102,0.875541
799,0.191374,0.150287,0.821944,0.174870,0.996814
999,0.184305,0.156032,0.899406,0.218622,1.118028
1199,0.179929,0.158046,0.980227,0.261958,1.242185
1399,0.178902,0.172745,1.057043,0.305526,1.362569
1599,0.175439,0.151192,1.134121,0.348722,1.482843
1799,0.174628,0.168145,1.211394,0.392257,1.603651
1999,0.171415,0.142492,1.288775,0.435715,1.724490
2199,0.169231,0.147396,1.371416,0.479101,1.850517
2399,0.169805,0.176120,1.449295,0.522703,1.971999
2599,0.167949,0.145676,1.526665,0.566263,2.092928
2799,0.166663,0.149949,1.604172,0.609759,2.213931
2999,0.166498,0.164180,1.682148,0.653363,2.335511
3199,0.165164,0.145158,1.765869,0.696769,2.462638
3399,0.164208,0.148910,1.843048,0.740190,2.583238
3599,0.164342,0.166613,1.920743,0.783595,2.704338
3799,0.163605,0.150341,1.998292,0.826794,2.825087
3999,0.162735,0.146202,2.076767,0.870032,2.946800
4199,0.162520,0.158225,2.161711,0.913674,3.075385
4399,0.163418,0.182283,2.239095,0.956905,3.196000
4599,0.162026,0.131399,2.316728,1.000305,3.317033
4799,0.162467,0.172613,2.395365,1.043728,3.439093
4999,0.161746,0.144428,2.473555,1.087172,3.560726
