# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.567278,0.042395,0.609673
399,13660.050428,11519.527348,0.571214,0.084368,0.655581
599,12774.281965,11002.745038,0.575344,0.126366,0.701710
799,11652.487429,8287.103822,0.577426,0.168234,0.745660
999,11023.007642,8505.088493,0.579623,0.210056,0.789679
1199,10320.564717,6808.350093,0.585901,0.251758,0.837659
1399,9778.235343,6524.259099,0.588024,0.293187,0.881210
1599,9547.115465,7929.276319,0.590256,0.334646,0.924902
1799,9358.014126,7845.203409,0.592612,0.376222,0.968834
1999,9146.864857,7246.521439,0.595086,0.417925,1.013011
2199,8788.276262,5202.390316,0.602420,0.459634,1.062055
2399,8512.867211,5483.367650,0.604550,0.501322,1.105872
2599,8246.842787,5054.549701,0.606793,0.542895,1.149688
2799,8122.678558,6508.543572,0.609143,0.584457,1.193600
2999,8024.799771,6654.496759,0.611606,0.626175,1.237781
3199,7805.629682,4518.078343,0.618989,0.667955,1.286944
3399,7651.122892,5179.014247,0.621116,0.709549,1.330664
3599,7572.437540,6234.786572,0.623351,0.751440,1.374791
3799,7417.161318,4622.189308,0.625697,0.793071,1.418767
3999,7293.982969,4953.594344,0.628149,0.834775,1.462924
4199,7175.138798,4798.255380,0.635363,0.876532,1.511895
4399,7041.286359,4230.385139,0.637488,0.918114,1.555602
4599,6939.151929,4692.194473,0.639707,0.959620,1.599327
4799,6798.563306,3565.024977,0.642058,1.001258,1.643316
