# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,0.215372,0.215372,0.532818,0.042553,0.575371
399,0.194617,0.173863,0.536763,0.084675,0.621438
599,0.184852,0.165320,0.541008,0.126907,0.667916
799,0.174249,0.142440,0.543179,0.168951,0.712130
999,0.171360,0.159807,0.545467,0.211022,0.756490
1199,0.167770,0.149820,0.551768,0.252798,0.804567
1399,0.164232,0.143002,0.553967,0.294355,0.848322
1599,0.163115,0.155296,0.556266,0.336083,0.892349
1799,0.160767,0.141982,0.558674,0.377793,0.936467
1999,0.160468,0.157781,0.561247,0.419504,0.980751
2199,0.158638,0.140337,0.568846,0.461276,1.030123
2399,0.156702,0.135406,0.571071,0.502842,1.073913
2599,0.153575,0.116051,0.573399,0.544555,1.117954
2799,0.151990,0.131390,0.575845,0.586305,1.162151
2999,0.151346,0.142317,0.578429,0.628084,1.206513
3199,0.148660,0.108379,0.585849,0.669736,1.255586
3399,0.147553,0.129843,0.588058,0.711274,1.299332
3599,0.147166,0.140574,0.590371,0.752859,1.343230
3799,0.145720,0.119691,0.592782,0.794420,1.387202
3999,0.144934,0.130014,0.595339,0.836095,1.431434
4199,0.145087,0.148143,0.602787,0.877931,1.480718
4399,0.143625,0.112920,0.604996,0.919596,1.524592
4599,0.143707,0.145519,0.607345,0.961328,1.568674
4799,0.143054,0.128037,0.609795,1.002993,1.612788
4999,0.141676,0.108586,0.612378,1.044721,1.657099
5199,0.141514,0.137465,0.619894,1.086408,1.706302
5399,0.141185,0.132647,0.622100,1.128058,1.750158
5599,0.140857,0.131992,0.624411,1.169816,1.794227
5799,0.140077,0.118225,0.626851,1.211570,1.838421
5999,0.139854,0.133402,0.629390,1.253220,1.882611
6199,0.138836,0.108298,0.636933,1.294969,1.931902
6399,0.138166,0.117386,0.639145,1.336773,1.975918
6599,0.138074,0.135133,0.641466,1.378467,2.019933
6799,0.137394,0.114969,0.643880,1.420373,2.064253
6999,0.137305,0.134263,0.646378,1.462128,2.108507
7199,0.137176,0.132682,0.653940,1.503950,2.157890
7399,0.136804,0.123397,0.656148,1.545605,2.201753
7599,0.136395,0.121277,0.658468,1.587359,2.245827
7799,0.136301,0.132698,0.660925,1.629074,2.289999
7999,0.136300,0.136260,0.663520,1.673524,2.337044
8199,0.136190,0.131817,0.671158,1.715292,2.386449
8399,0.136184,0.135920,0.673365,1.757011,2.430377
8599,0.135659,0.113597,0.675683,1.798762,2.474446
8799,0.135668,0.136055,0.678107,1.840583,2.518690
8999,0.136037,0.152301,0.680621,1.882393,2.563014
9199,0.136076,0.137819,0.688250,1.924247,2.612497
9399,0.136075,0.136045,0.690468,1.965886,2.656354
9599,0.135877,0.126543,0.692790,2.007682,2.700472
9799,0.135873,0.135705,0.695232,2.050735,2.745967
9999,0.135316,0.107993,0.697799,2.092708,2.790507
10199,0.135273,0.133137,0.705603,2.134813,2.840416
10399,0.135451,0.144527,0.707810,2.176767,2.884577
10599,0.135037,0.113521,0.710155,2.218730,2.928885
10799,0.134960,0.130860,0.712576,2.260734,2.973311
10999,0.134975,0.135802,0.715148,2.302767,3.017914
11199,0.134661,0.117408,0.723005,2.344924,3.067929
11399,0.134978,0.152720,0.725232,2.386942,3.112174
11599,0.134793,0.124232,0.727561,2.429013,3.156574
11799,0.134794,0.134842,0.729997,2.471018,3.201016
11999,0.134940,0.143551,0.732556,2.513103,3.245658
12199,0.135213,0.151587,0.740233,2.555080,3.295313
12399,0.135194,0.134034,0.742451,2.597068,3.339519
12599,0.135058,0.126666,0.744771,2.638965,3.383736
12799,0.134869,0.122943,0.747188,2.680998,3.428186
12999,0.134752,0.127252,0.749708,2.723085,3.472793
13199,0.134655,0.128401,0.757537,2.765097,3.522634
13399,0.134956,0.154758,0.759771,2.807088,3.566859
13599,0.134949,0.134481,0.762104,2.849126,3.611230
13799,0.135090,0.144700,0.764528,2.891214,3.655741
13999,0.135443,0.159816,0.767081,2.933469,3.700550
14199,0.135371,0.130343,0.775050,2.975577,3.750627
14399,0.135185,0.121926,0.777270,3.017644,3.794915
14599,0.134903,0.114650,0.779607,3.059670,3.839277
14799,0.134777,0.125559,0.782082,3.101741,3.883824
14999,0.134944,0.147316,0.784669,3.143833,3.928502
15199,0.134793,0.123483,0.792417,3.185904,3.978321
15399,0.134718,0.129000,0.794660,3.227887,4.022547
15599,0.134812,0.142028,0.796996,3.269887,4.066884
15799,0.134414,0.103423,0.799445,3.311853,4.111299
15999,0.134544,0.144814,0.802010,3.353865,4.155875
