# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,16754.884148,16754.884148,0.033138,0.004153,0.037291
399,13952.026002,11149.167857,0.068860,0.008303,0.077163
599,12311.666776,9030.948322,0.105643,0.012417,0.118060
799,11360.307561,8506.229918,0.143781,0.016515,0.160296
999,10935.365479,9235.597151,0.183285,0.020619,0.203905
1199,10469.344965,8139.242393,0.223861,0.024734,0.248595
1399,10512.278975,10769.883033,0.265809,0.028846,0.294655
1599,10384.973951,9493.838789,0.303092,0.032972,0.336064
1799,10218.649540,8888.054253,0.330179,0.037349,0.367528
1999,9913.507052,7167.224653,0.367468,0.041761,0.409229
2199,9614.054631,6619.530422,0.408572,0.046205,0.454778
2399,9279.746001,5602.351070,0.445713,0.050626,0.496339
2599,9003.773429,5692.102566,0.497419,0.055068,0.552487
2799,8802.672320,6188.357903,0.543000,0.059530,0.602529
2999,8705.236454,7341.134326,0.582866,0.063989,0.646855
3199,8512.592228,5622.928839,0.651978,0.068503,0.720481
3399,8341.563907,5605.110778,0.704040,0.072954,0.776994
3599,8289.885300,7411.348984,0.760315,0.077409,0.837724
3799,8131.139113,5273.707739,0.800705,0.081855,0.882560
3999,8034.340641,6195.169685,0.865669,0.086423,0.952092
4199,7964.920951,6576.527140,0.923801,0.090905,1.014705
4399,7872.933355,5941.193840,0.974787,0.095370,1.070157
4599,7766.285208,5420.025987,1.017352,0.099870,1.117222
4799,7670.913497,5477.364122,1.077218,0.104365,1.181584
