# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_gradual3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,27123.053182,27123.053182,0.041683,0.006181,0.047864
399,20777.215997,14431.378811,0.076922,0.010411,0.087333
599,17177.842648,9979.095949,0.113377,0.014592,0.127969
799,15053.775416,8681.573723,0.151202,0.018806,0.170008
999,13908.717711,9328.486889,0.190812,0.023025,0.213838
1199,12953.391331,8176.759429,0.231502,0.027317,0.258819
1399,12643.371440,10783.252092,0.273023,0.031552,0.304575
1599,12250.179705,9497.837560,0.309969,0.035746,0.345715
1799,11876.682771,8888.707304,0.336830,0.040161,0.376991
1999,11405.804133,7167.896393,0.373996,0.044611,0.418607
2199,10970.685098,6619.494744,0.414733,0.049083,0.463816
2399,10523.328477,5602.405652,0.451732,0.053576,0.505308
2599,10151.700385,5692.163279,0.503129,0.058067,0.561196
2799,9868.606619,6188.387652,0.548439,0.062588,0.611027
2999,9700.109086,7341.143637,0.587826,0.067086,0.654912
3199,9445.288541,5622.980358,0.656687,0.071636,0.728323
3399,9219.395611,5605.108732,0.708443,0.076173,0.784616
3599,9118.948773,7411.352519,0.764766,0.080728,0.845494
3799,8916.569237,5273.737602,0.804988,0.085204,0.890192
3999,8780.500556,6195.195603,0.869798,0.089794,0.959592
4199,8675.549987,6576.538624,0.927632,0.094339,1.021970
4399,8551.261258,5941.197947,0.978299,0.098871,1.077171
4599,8415.120890,5420.032778,1.020843,0.103400,1.124242
4799,8292.714228,5477.361006,1.080708,0.107935,1.188643
4999,8208.907669,6197.550263,1.166340,0.112529,1.278869
5199,8171.905007,7246.838446,1.210763,0.117111,1.327875
5399,8095.580376,6111.139976,1.284106,0.121708,1.405814
5599,8077.957080,7602.128097,1.350701,0.126304,1.477006
5799,8045.164484,7126.971782,1.402543,0.130909,1.533452
5999,7953.235891,5287.306704,1.449503,0.135491,1.584993
6199,7883.785160,5800.263234,1.504540,0.140153,1.644693
6399,7820.866582,5870.390672,1.571152,0.144753,1.715905
6599,7782.759183,6563.322400,1.619762,0.149360,1.769122
6799,7714.566221,5464.198474,1.670932,0.153987,1.824919
6999,7634.034201,4895.945506,1.734750,0.158636,1.893387
7199,7572.008313,5401.102243,1.801790,0.163281,1.965071
7399,7511.603790,5337.040974,1.864747,0.167890,2.032637
7599,7469.887567,5926.387297,1.923394,0.172556,2.095950
7799,7428.406056,5852.108654,2.000605,0.177226,2.177831
7999,7402.218176,6380.890864,2.069488,0.181869,2.251356
8199,7368.211119,6007.928830,2.135832,0.186489,2.322321
8399,7338.445211,6118.042976,2.186781,0.191100,2.377881
8599,7267.967332,4307.896424,2.241812,0.195768,2.437580
8799,7207.444330,4604.955242,2.317480,0.200436,2.517916
8999,7175.112677,5752.519929,2.384057,0.205091,2.589147
9199,7123.310205,4792.198961,2.445581,0.209753,2.655334
9399,7087.536105,5441.927518,2.498960,0.214403,2.713363
9599,7035.318584,4581.095081,2.578914,0.219125,2.798039
9799,7001.807834,5393.291857,2.641656,0.223839,2.865495
9999,6963.940127,5108.422496,2.739063,0.228587,2.967650
10199,6922.700196,4860.703631,2.795694,0.233305,3.028998
10399,6891.429661,5296.632349,2.869530,0.238050,3.107580
10599,6857.512904,5093.841555,2.941648,0.242792,3.184441
10799,6812.411255,4422.023845,2.998276,0.247539,3.245815
10999,6789.161075,5533.651376,3.055853,0.252265,3.308118
11199,6762.288632,5284.304244,3.114654,0.257016,3.371670
11399,6717.951204,4235.055276,3.223985,0.261798,3.485783
11599,6678.324981,4419.630236,3.281786,0.266512,3.548298
11799,6648.035974,4891.273574,3.353328,0.271264,3.624592
11999,6615.783551,4712.890610,3.411155,0.275964,3.687120
12199,6583.643805,4655.259039,3.501689,0.280771,3.782460
12399,6554.037914,4748.078579,3.561178,0.285501,3.846678
12599,6522.793744,4585.655191,3.622125,0.290274,3.912399
12799,6502.399516,5217.563140,3.691332,0.295063,3.986395
12999,6459.603789,3720.677251,3.781511,0.299885,4.081396
13199,6434.311999,4790.345639,3.860311,0.304725,4.165036
13399,6406.189810,4550.125361,3.921967,0.309522,4.231489
13599,6393.212357,5523.723046,3.997233,0.314312,4.311544
13799,6360.998775,4170.475165,4.067918,0.319155,4.387074
13999,6319.112829,3428.982568,4.132742,0.323986,4.456728
14199,6300.684861,5010.727122,4.196582,0.328800,4.525382
14399,6282.370282,4982.035109,4.270598,0.333656,4.604254
14599,6258.848154,4565.254936,4.352923,0.338527,4.691450
14799,6226.885910,3893.642095,4.433591,0.343407,4.776998
14999,6205.934269,4655.512898,4.539918,0.348301,4.888219
15199,6192.214440,5163.227215,4.606953,0.353160,4.960112
15399,6166.777092,4233.538692,4.681933,0.358051,5.039984
15599,6150.228056,4875.952265,4.767837,0.362941,5.130777
15799,6136.396041,5057.498832,4.858264,0.367842,5.226106
15999,6118.539562,4707.877764,4.925399,0.372704,5.298103
16199,6109.069309,5351.449085,4.994378,0.377573,5.371951
16399,6085.622415,4186.423979,5.062530,0.382461,5.444991
16599,6067.381146,4571.597109,5.146587,0.387366,5.533953
16799,6041.744753,3913.924101,5.216940,0.392247,5.609187
16999,6008.839590,3244.805902,5.299094,0.397130,5.696225
17199,5991.324294,4502.524181,5.397667,0.402039,5.799706
17399,5977.873661,4821.119156,5.488235,0.406928,5.895163
17599,5972.158016,5474.896901,5.567651,0.411798,5.979449
17799,5951.708571,4152.157426,5.637252,0.416689,6.053941
17999,5927.501392,3773.062480,5.718270,0.421570,6.139841
18199,5902.932196,3691.704570,5.815401,0.426468,6.241868
18399,5875.923802,3418.159963,5.886587,0.431377,6.317963
18599,5852.491614,3696.730293,6.001555,0.436293,6.437848
18799,5831.167834,3848.056283,6.071424,0.441197,6.512622
18999,5811.354205,3948.873067,6.151063,0.446132,6.597196
19199,5793.640263,4110.815828,6.222565,0.451028,6.673593
19399,5777.726163,4249.972471,6.311264,0.455940,6.767204
19599,5764.919371,4522.660563,6.390813,0.460866,6.851679
19799,5751.946290,4480.584394,6.506761,0.465835,6.972595
19999,5738.659471,4423.264339,6.588564,0.470791,7.059355
20199,5722.764475,4133.264942,6.693701,0.475742,7.169443
20399,5711.287611,4552.124304,6.768333,0.480672,7.249005
20599,5699.502973,4497.469930,6.842307,0.485594,7.327900
20799,5676.370134,3293.687734,6.917734,0.490524,7.408258
20999,5655.833064,3519.977771,7.005726,0.495455,7.501181
21199,5634.068717,3348.812291,7.088112,0.500404,7.588516
21399,5625.199061,4685.015459,7.176591,0.505312,7.681903
21599,5608.876246,3862.335045,7.259448,0.510272,7.769719
21799,5592.059118,3775.809372,7.334735,0.515201,7.849936
21999,5574.324180,3641.215947,7.418192,0.520152,7.938343
22199,5559.736861,3955.131676,7.494021,0.525107,8.019128
22399,5539.616750,3306.284518,7.571613,0.530071,8.101684
22599,5520.245034,3350.612837,7.649117,0.535045,8.184162
22799,5505.254120,3811.280743,7.726026,0.540019,8.266045
22999,5494.554424,4274.789107,7.855652,0.545024,8.400676
23199,5482.141510,4054.656444,7.947238,0.549976,8.497214
23399,5470.236543,4089.260302,8.038211,0.554919,8.593130
23599,5460.672874,4341.723640,8.171078,0.559935,8.731013
23799,5445.165734,3615.323223,8.248923,0.564918,8.813840
23999,5433.357708,4028.202668,8.340733,0.569859,8.910592
24199,5425.948221,4536.809779,8.420199,0.574839,8.995038
24399,5412.180321,3746.264385,8.499106,0.579808,9.078914
24599,5396.247614,3452.457307,8.573734,0.584741,9.158475
24799,5386.200577,4150.415032,8.690162,0.589719,9.279882
24999,5374.024301,3864.166140,8.767665,0.594671,9.362336
25199,5362.451138,3915.805751,8.848285,0.599650,9.447935
25399,5348.598861,3603.211934,8.938642,0.604606,9.543249
25599,5337.961898,3987.067650,9.052735,0.609605,9.662340
25799,5324.183377,3560.532593,9.132716,0.614584,9.747300
25999,5308.918119,3339.699909,9.217762,0.619562,9.837323
26199,5299.733078,4105.677673,9.310993,0.624538,9.935531
26399,5290.145357,4034.154020,9.408018,0.629505,10.037523
26599,5281.865220,4188.887012,9.502812,0.634493,10.137305
26799,5266.422906,3212.595237,9.581990,0.639458,10.221448
26999,5249.272132,2951.068440,9.691211,0.644449,10.335661
27199,5240.254108,4022.820875,9.800719,0.649426,10.450145
27399,5228.085234,3573.118320,9.895777,0.654415,10.550192
27599,5212.153223,3029.467665,9.976632,0.659389,10.636021
27799,5201.711571,3760.763664,10.063191,0.664373,10.727563
27999,5192.647366,3932.722855,10.142751,0.669354,10.812105
28199,5180.688560,3506.455747,10.223376,0.674366,10.897742
28399,5169.063790,3529.971226,10.326229,0.679391,11.005620
28599,5157.958588,3581.019788,10.406423,0.684386,11.090809
28799,5147.408177,3638.699512,10.526495,0.689427,11.215922
28999,5134.679372,3301.731377,10.608332,0.694423,11.302756
29199,5126.419191,3928.693030,10.688522,0.699414,11.387936
29399,5116.375920,3650.058286,10.791880,0.704425,11.496304
29599,5101.857760,2967.688271,10.880290,0.709417,11.589706
29799,5098.335710,4577.072280,11.002425,0.714425,11.716850
29999,5086.425696,3311.833611,11.083080,0.719433,11.802513
30199,5076.544875,3594.421790,11.194611,0.724483,11.919095
30399,5070.586799,4170.917248,11.291901,0.729505,12.021406
30599,5067.048248,4529.188482,11.375375,0.734510,12.109885
30799,5056.812699,3490.773757,11.457640,0.739512,12.197152
30999,5043.534522,2998.695288,11.540341,0.744532,12.284873
31199,5032.314841,3293.264172,11.641644,0.749577,12.391221
31399,5021.244293,3294.238896,11.734597,0.754615,12.489212
31599,5016.997304,4350.220008,11.837556,0.759632,12.597188
31799,5007.401590,3491.278763,11.936872,0.764693,12.701564
31999,4999.585713,3756.861226,12.047697,0.769759,12.817456
32199,4993.595438,4035.151514,12.146396,0.774811,12.921207
32399,4983.737953,3396.682812,12.229973,0.779855,13.009828
32599,4973.588483,3329.374353,12.328162,0.784897,13.113058
32799,4961.247798,2949.716182,12.413762,0.789947,13.203709
32999,4951.312820,3321.976431,12.496673,0.795005,13.291677
33199,4941.913813,3391.077582,12.587661,0.800050,13.387711
33399,4935.805633,3921.847801,12.703534,0.805133,13.508667
33599,4932.129813,4318.267854,12.798173,0.810195,13.608368
33799,4926.638072,4004.025564,12.885438,0.815240,13.700678
33999,4918.037835,3464.597910,12.970064,0.820278,13.790343
34199,4910.238355,3584.326652,13.066597,0.825348,13.891945
34399,4898.553928,2900.516987,13.175920,0.830410,14.006330
34599,4887.994308,3071.739702,13.307270,0.835515,14.142785
34799,4883.266990,4065.440885,13.416476,0.840589,14.257065
34999,4872.599292,3016.419795,13.512373,0.845660,14.358034
35199,4863.767246,3318.159259,13.610664,0.850743,14.461406
35399,4862.283178,4601.087220,13.697802,0.855801,14.553603
35599,4855.389369,3635.185246,13.783871,0.860846,14.644717
35799,4848.981310,3708.346804,13.897758,0.865931,14.763690
35999,4843.508063,3863.796841,14.014339,0.871013,14.885352
36199,4835.241799,3347.314237,14.102672,0.876105,14.978777
36399,4824.922407,2957.112454,14.189479,0.881168,15.070647
36599,4815.660314,3129.959406,14.277648,0.886234,15.163882
36799,4808.810125,3555.225449,14.367422,0.891319,15.258740
36999,4804.182440,3952.688389,14.470071,0.896407,15.366478
37199,4799.410379,3916.579201,14.575239,0.901494,15.476734
37399,4795.178589,4008.065613,14.682214,0.906609,15.588824
37599,4789.826759,3789.034559,14.782736,0.911715,15.694451
37799,4782.902121,3481.070099,14.888153,0.916820,15.804973
37999,4776.029795,3477.160230,14.978632,0.921911,15.900544
38199,4766.197471,2898.055860,15.067688,0.927000,15.994687
38399,4758.558657,3299.545315,15.164368,0.932116,16.096484
38599,4751.216445,3341.511585,15.262935,0.937249,16.200184
38799,4743.393848,3233.632709,15.352325,0.942315,16.294640
38999,4742.677841,4603.772394,15.450954,0.947417,16.398371
39199,4734.982771,3234.444279,15.549382,0.952543,16.501925
39399,4728.686198,3494.557727,15.689760,0.957696,16.647456
39599,4721.215836,3249.554617,15.779323,0.962779,16.742102
39799,4714.742812,3433.083965,15.869766,0.967869,16.837634
39999,4706.340290,3034.238561,15.960729,0.972950,16.933679
40199,4701.060138,3645.029690,16.051570,0.978043,17.029613
40399,4696.496911,3779.288367,16.177629,0.983164,17.160793
40599,4687.042824,2777.317069,16.289868,0.988275,17.278143
40799,4680.169318,3284.847748,16.383437,0.993370,17.376808
40999,4673.715906,3357.219716,16.476344,0.998458,17.474802
41199,4666.248949,3135.522884,16.567995,1.003548,17.571543
41399,4659.472090,3263.439125,16.666192,1.008656,17.674848
41599,4654.883391,3705.022572,16.775327,1.013815,17.789142
