# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,0.262334,0.262334,0.039217,0.006066,0.045283
399,0.204832,0.147331,0.068763,0.010557,0.079321
599,0.186269,0.149144,0.108421,0.015045,0.123466
799,0.175312,0.142442,0.158379,0.019532,0.177910
999,0.164420,0.120850,0.195631,0.024008,0.219639
1199,0.159551,0.135207,0.248530,0.028599,0.277130
1399,0.153058,0.114099,0.306151,0.033167,0.339318
1599,0.149495,0.124555,0.348654,0.037697,0.386351
1799,0.146880,0.125958,0.393810,0.042253,0.436063
1999,0.145608,0.134157,0.462538,0.046878,0.509417
2199,0.142481,0.111215,0.510752,0.051516,0.562268
2399,0.139395,0.105452,0.560578,0.056104,0.616682
2599,0.138539,0.128266,0.611252,0.060739,0.671991
2799,0.137162,0.119258,0.662316,0.065383,0.727700
2999,0.136223,0.123079,0.755579,0.070082,0.825661
3199,0.135042,0.117325,0.809487,0.074729,0.884216
3399,0.134632,0.128063,0.862471,0.079402,0.941873
3599,0.134785,0.137401,0.924530,0.084086,1.008617
3799,0.134300,0.125555,0.980165,0.088729,1.068893
3999,0.132907,0.106439,1.045662,0.093408,1.139070
4199,0.131494,0.103244,1.120566,0.098114,1.218680
4399,0.130760,0.115344,1.187153,0.102880,1.290033
4599,0.129940,0.111913,1.247992,0.107619,1.355611
