# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,21835.369192,21835.369192,0.025553,0.004274,0.029827
399,17307.367384,12779.365575,0.052930,0.008554,0.061484
599,14575.691982,9112.341179,0.081388,0.012795,0.094183
799,13047.702872,8463.735541,0.110747,0.017054,0.127801
999,12279.047981,9204.428419,0.141679,0.021299,0.162978
1199,11589.884699,8144.068287,0.173136,0.025570,0.198706
1399,11472.564391,10768.642541,0.205699,0.029788,0.235487
1599,11225.162905,9493.352507,0.233432,0.034007,0.267439
1799,10965.465539,8887.886608,0.246133,0.038418,0.284551
1999,10585.618697,7166.997116,0.266530,0.042916,0.309446
2199,10225.042476,6619.280268,0.286152,0.047454,0.333606
2399,9839.808980,5602.240530,0.299737,0.052073,0.351809
2599,9520.751475,5692.061417,0.327027,0.056632,0.383659
2799,9282.717497,6188.275781,0.347687,0.061229,0.408916
2999,9153.269354,7340.995342,0.361606,0.065814,0.427420
3199,8932.617905,5622.846175,0.403324,0.070392,0.473716
3399,8736.880986,5605.090289,0.428762,0.074964,0.503726
3599,8663.238535,7411.316872,0.457297,0.079545,0.536842
3799,8484.840690,5273.679479,0.471237,0.084087,0.555323
3999,8370.356171,6195.150298,0.506558,0.088704,0.595262
4199,8284.934462,6576.500278,0.535808,0.093288,0.629096
4399,8178.399728,5941.170332,0.558039,0.097920,0.655959
4599,8058.469184,5419.997198,0.571988,0.102561,0.674548
