# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,35644.331616,35644.331616,0.032923,0.006701,0.039624
399,26962.423131,18280.514646,0.060564,0.010940,0.071505
599,21377.221302,10206.817644,0.088899,0.015074,0.103973
799,18173.736804,8563.283309,0.118223,0.019174,0.137397
999,16390.500317,9257.554373,0.148982,0.023289,0.172272
1199,15015.367478,8139.703278,0.180376,0.027366,0.207742
1399,14409.361550,10773.325982,0.212774,0.031442,0.244216
1599,13795.088793,9495.179495,0.240324,0.035584,0.275908
1799,13249.842350,8887.870812,0.252944,0.039921,0.292866
1999,12641.601557,7167.434416,0.273123,0.044275,0.317399
2199,12094.137079,6619.492298,0.292647,0.048715,0.341362
2399,11553.159613,5602.407485,0.305974,0.053132,0.359106
2599,11102.314202,5692.169273,0.333109,0.057612,0.390720
2799,10751.322436,6188.429482,0.353672,0.062120,0.415792
2999,10523.981213,7341.204094,0.367403,0.066579,0.433982
3199,10217.667059,5622.954740,0.409042,0.071072,0.480113
3399,9946.340384,5605.113578,0.434352,0.075544,0.509896
3599,9805.509267,7411.380289,0.462704,0.080031,0.542735
3799,9566.994780,5273.734004,0.476515,0.084507,0.561022
3999,9398.405462,6195.208423,0.511861,0.089059,0.600921
4199,9264.031784,6576.558221,0.540921,0.093603,0.634523
4399,9112.993567,5941.191014,0.562905,0.098093,0.660998
4599,8952.429965,5420.030730,0.576526,0.102619,0.679145
