# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.252015,0.252015,0.030685,0.006601,0.037286
399,0.213748,0.175480,0.044657,0.010972,0.055629
599,0.194522,0.156071,0.066204,0.015365,0.081570
799,0.179344,0.133808,0.081855,0.019783,0.101638
999,0.169205,0.128652,0.110892,0.024235,0.135127
1199,0.163445,0.134647,0.131889,0.028685,0.160574
1399,0.156945,0.117939,0.146341,0.033113,0.179454
1599,0.154009,0.133464,0.168285,0.037575,0.205859
1799,0.151091,0.127745,0.183048,0.042018,0.225066
1999,0.148208,0.122257,0.198431,0.046581,0.245012
2199,0.145038,0.113340,0.221597,0.051106,0.272703
2399,0.143999,0.132568,0.250554,0.055618,0.306171
2599,0.143734,0.140549,0.276951,0.060148,0.337099
2799,0.141628,0.114251,0.298898,0.064655,0.363553
2999,0.141154,0.134517,0.320896,0.069191,0.390088
3199,0.140246,0.126633,0.336165,0.073735,0.409900
3399,0.138814,0.115897,0.359832,0.078290,0.438122
3599,0.138139,0.126671,0.375273,0.082837,0.458110
3799,0.136840,0.113464,0.390701,0.087429,0.478130
3999,0.135193,0.103901,0.406736,0.092065,0.498800
4199,0.135452,0.140615,0.422856,0.096694,0.519550
4399,0.133888,0.101060,0.459113,0.101326,0.560439
4599,0.132761,0.107957,0.502566,0.105952,0.608518
4799,0.130885,0.087735,0.517396,0.110586,0.627982
4999,0.130466,0.120409,0.566720,0.115354,0.682074
5199,0.130454,0.130145,0.581822,0.120030,0.701852
5399,0.130438,0.130048,0.604137,0.124768,0.728905
5599,0.130193,0.123577,0.625962,0.129441,0.755403
5799,0.129884,0.121207,0.641573,0.134157,0.775730
5999,0.129894,0.130212,0.663889,0.138834,0.802723
6199,0.129063,0.104126,0.679713,0.143560,0.823273
6399,0.128635,0.115368,0.695648,0.148332,0.843980
6599,0.127908,0.104642,0.718994,0.153096,0.872090
6799,0.127657,0.119370,0.741390,0.157850,0.899240
6999,0.126963,0.103369,0.764711,0.162594,0.927305
7199,0.126767,0.119887,0.799971,0.167336,0.967307
7399,0.126744,0.125948,0.821631,0.172030,0.993661
7599,0.126072,0.101201,0.837032,0.176740,1.013772
