# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.002700,0.022223,0.024923
399,9023.669117,7194.879585,0.005526,0.055644,0.061170
599,7940.259513,5773.440303,0.008463,0.103137,0.111600
799,6978.992081,4095.189788,0.011508,0.164214,0.175723
999,6584.671259,5007.387971,0.014763,0.239164,0.253927
1199,6120.195432,3797.816295,0.020378,0.331849,0.352228
1399,6050.932932,5635.357929,0.025896,0.424372,0.450268
1599,5881.774976,4697.669284,0.031388,0.516828,0.548216
1799,5766.018390,4839.965702,0.036790,0.609033,0.645824
1999,5594.438838,4050.222871,0.042160,0.700992,0.743152
2199,5593.252219,5581.386031,0.047605,0.793232,0.840837
2399,5520.631956,4721.809062,0.052999,0.885166,0.938165
2599,5401.116755,3966.934341,0.058426,0.977103,1.035530
2799,5347.705306,4653.356469,0.063874,1.069442,1.133316
2999,5358.161908,5504.554337,0.069325,1.161358,1.230683
3199,5324.751404,4823.593846,0.074783,1.253646,1.328429
3399,5347.100868,5704.692291,0.080187,1.345615,1.425801
3599,5395.633282,6220.684317,0.085599,1.437661,1.523260
3799,5319.109863,3941.688322,0.091084,1.530086,1.621170
3999,5301.682412,4970.560849,0.096492,1.621791,1.718283
