# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.003648,0.027911,0.031559
399,9023.669117,7194.879585,0.006465,0.060694,0.067160
599,7940.259513,5773.440303,0.009386,0.107555,0.116941
799,6978.992081,4095.189788,0.012400,0.168012,0.180412
999,6584.671259,5007.387971,0.015522,0.242466,0.257989
1199,6120.195432,3797.816295,0.020992,0.334483,0.355475
1399,6050.932932,5635.357929,0.026434,0.426317,0.452751
1599,5881.774976,4697.669284,0.031820,0.517917,0.549737
1799,5766.018390,4839.965702,0.037122,0.609216,0.646339
1999,5594.438838,4050.222871,0.042489,0.700714,0.743202
2199,5593.252219,5581.386031,0.047803,0.792272,0.840075
2399,5520.631956,4721.809062,0.053123,0.883536,0.936660
2599,5401.116755,3966.934341,0.058479,0.974936,1.033415
2799,5347.705306,4653.356469,0.063773,1.066047,1.129820
2999,5358.161908,5504.554337,0.069104,1.157540,1.226644
3199,5324.751404,4823.593846,0.074420,1.248714,1.323134
3399,5347.100868,5704.692291,0.079739,1.340221,1.419960
3599,5395.633282,6220.684317,0.085087,1.431448,1.516535
3799,5319.109863,3941.688322,0.090396,1.522795,1.613191
3999,5301.682412,4970.560849,0.095758,1.614036,1.709794
4199,5293.944478,5139.185801,0.101071,1.705244,1.806315
4399,5245.236214,4222.362655,0.106384,1.796273,1.902657
4599,5210.314208,4442.030081,0.111683,1.887579,1.999262
4799,5177.013863,4411.105930,0.117022,1.979000,2.096022
4999,5200.084649,5753.783521,0.122369,2.070346,2.192715
5199,5225.534321,5861.776106,0.127673,2.161466,2.289139
5399,5207.819217,4747.226533,0.133008,2.252817,2.385825
5599,5239.597715,6097.617148,0.138331,2.344134,2.482465
5799,5250.000615,5541.281802,0.143707,2.435458,2.579165
5999,5212.718104,4131.525306,0.149010,2.526758,2.675768
6199,5170.892094,3916.111786,0.154315,2.617820,2.772135
6399,5160.382288,4834.578308,0.159615,2.709058,2.868673
6599,5177.897436,5738.382160,0.164955,2.800377,2.965332
6799,5171.877182,4973.208803,0.170301,2.891932,3.062233
6999,5159.348078,4733.358547,0.175634,2.983483,3.159117
7199,5174.081649,5689.756622,0.180976,3.074936,3.255912
7399,5175.799544,5237.643774,0.186353,3.166905,3.353258
7599,5160.400868,4590.649866,0.191691,3.258344,3.450035
7799,5159.728511,5134.178930,0.196991,3.349714,3.546706
7999,5153.907328,4926.881214,0.202321,3.440998,3.643319
8199,5148.521135,4933.073414,0.207672,3.532413,3.740086
8399,5144.450590,4977.558221,0.213023,3.623529,3.836552
8599,5115.627427,3905.054597,0.218319,3.714617,3.932936
8799,5118.123195,5225.441217,0.223641,3.805902,4.029543
8999,5128.832071,5600.022603,0.228987,3.897328,4.126315
9199,5119.382019,4694.129706,0.234327,3.988363,4.222690
9399,5141.221067,6145.817231,0.239666,4.079473,4.319139
9599,5138.058043,4989.395950,0.245008,4.170870,4.415878
9799,5131.593918,4821.315904,0.250308,4.262080,4.512389
9999,5119.902879,4547.041949,0.255613,4.353289,4.608902
10199,5138.627667,6074.867094,0.260952,4.444383,4.705335
10399,5131.950417,4791.410642,0.266318,4.535717,4.802035
10599,5132.196817,5145.009653,0.271636,4.627257,4.898893
10799,5119.745510,4459.826219,0.276978,4.718887,4.995865
10999,5114.347248,4822.841091,0.282276,4.810064,5.092341
11199,5120.906717,5481.677533,0.287635,4.901714,5.189349
11399,5106.535753,4301.761788,0.292990,4.992986,5.285976
11599,5116.698633,5695.982759,0.298311,5.084403,5.382714
11799,5119.751730,5296.831386,0.303658,5.175790,5.479447
11999,5113.270514,4730.878738,0.308954,5.267049,5.576003
12199,5116.134757,5287.989373,0.314256,5.358304,5.672560
12399,5125.374844,5689.020148,0.319567,5.449797,5.769364
12599,5129.959474,5414.206542,0.324910,5.541311,5.866221
12799,5128.573863,5041.280368,0.330214,5.632610,5.962824
12999,5109.256586,3872.950861,0.335539,5.723971,6.059510
13199,5104.813566,4816.017241,0.340930,5.815284,6.156214
13399,5101.551651,4886.265222,0.346281,5.906742,6.253024
13599,5109.920448,5670.629863,0.351585,5.998257,6.349842
13799,5101.013137,4495.315978,0.356924,6.089549,6.446472
13999,5098.480738,4923.745250,0.362260,6.180741,6.543001
14199,5099.617076,5179.160693,0.367579,6.271953,6.639533
14399,5114.541845,6174.200503,0.372979,6.363357,6.736336
14599,5117.587907,5336.904365,0.378318,6.454642,6.832959
14799,5115.579971,4969.000598,0.383626,6.546207,6.929834
14999,5117.441870,5255.222404,0.389002,6.637620,7.026623
15199,5125.567259,5734.971438,0.394374,6.729226,7.123600
15399,5122.909102,4920.889173,0.399718,6.820528,7.220246
15599,5132.489905,5870.211700,0.405051,6.911937,7.316989
15799,5136.862878,5477.954775,0.410413,7.003445,7.413858
15999,5136.168406,5081.305142,0.415810,7.094969,7.510778
16199,5133.490948,4919.294300,0.421186,7.186257,7.607443
16399,5139.034890,5588.094184,0.426517,7.277598,7.704115
16599,5136.043923,4890.784640,0.431898,7.368921,7.800820
16799,5134.559439,5011.347267,0.437252,7.460307,7.897559
16999,5122.595272,4117.605286,0.442612,7.551783,7.994395
17199,5116.841611,4627.780395,0.447974,7.643102,8.091076
17399,5121.918267,5558.510707,0.453308,7.734663,8.187971
17599,5129.708998,5807.502581,0.458658,7.826183,8.284840
17799,5125.007923,4711.313310,0.464033,7.917349,8.381382
17999,5121.118398,4774.950639,0.469389,8.008761,8.478150
18199,5113.915724,4465.675065,0.474731,8.100024,8.574755
18399,5098.326811,3679.735739,0.480098,8.191356,8.671453
18599,5087.460353,4087.746248,0.485493,8.282801,8.768294
18799,5091.383004,5456.189583,0.490829,8.374153,8.864982
18999,5094.428578,5380.712452,0.496197,8.465699,8.961896
19199,5099.943604,5623.871143,0.501538,8.556628,9.058166
19399,5101.421393,5243.289072,0.506844,8.647766,9.154610
19599,5101.263964,5085.993421,0.512199,8.739081,9.251280
19799,5101.464875,5121.154111,0.517550,8.830414,9.347964
19999,5099.535363,4908.513650,0.522873,8.921427,9.444300
