# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,0.176200,0.176200,0.003718,0.027836,0.031554
399,0.146200,0.116200,0.006576,0.060486,0.067063
599,0.144067,0.139800,0.009552,0.107101,0.116652
799,0.141250,0.132800,0.012618,0.167687,0.180305
999,0.138840,0.129200,0.015815,0.242190,0.258006
1199,0.138200,0.135000,0.021483,0.333349,0.354832
1399,0.136143,0.123800,0.027129,0.424658,0.451787
1599,0.134950,0.126600,0.032695,0.515502,0.548197
1799,0.132489,0.112800,0.038255,0.606316,0.644571
1999,0.130020,0.107800,0.043762,0.697198,0.740960
2199,0.131527,0.146600,0.049271,0.788198,0.837469
2399,0.132717,0.145800,0.054791,0.879082,0.933873
2599,0.132708,0.132600,0.060329,0.970022,1.030351
2799,0.130886,0.107200,0.065886,1.061245,1.127130
2999,0.131000,0.132600,0.071391,1.151929,1.223321
3199,0.131600,0.140600,0.076912,1.242716,1.319628
3399,0.131576,0.131200,0.082382,1.333328,1.415710
3599,0.132822,0.154000,0.087906,1.423923,1.511829
3799,0.132821,0.132800,0.093435,1.514763,1.608199
3999,0.132850,0.133400,0.098958,1.605400,1.704358
4199,0.131705,0.108800,0.104447,1.696136,1.800583
4399,0.132445,0.148000,0.109937,1.786863,1.896801
4599,0.132104,0.124600,0.115450,1.877647,1.993097
4799,0.132458,0.140600,0.120911,1.968269,2.089180
4999,0.132024,0.121600,0.126386,2.058801,2.185187
5199,0.132331,0.140000,0.131848,2.149232,2.281080
5399,0.131289,0.104200,0.137317,2.239722,2.377039
5599,0.130936,0.121400,0.142778,2.330427,2.473205
5799,0.130538,0.119400,0.148230,2.420941,2.569171
5999,0.130507,0.129600,0.153798,2.511669,2.665467
6199,0.130226,0.121800,0.159281,2.602141,2.761422
6399,0.130325,0.133400,0.164748,2.692689,2.857438
6599,0.130030,0.120600,0.170225,2.783308,2.953533
6799,0.130594,0.149200,0.175687,2.873792,3.049479
6999,0.130829,0.138800,0.181169,2.964435,3.145604
7199,0.131511,0.155400,0.186640,3.055057,3.241697
7399,0.131908,0.146200,0.192122,3.145808,3.337930
7599,0.132326,0.147800,0.197610,3.236318,3.433928
7799,0.132682,0.146200,0.203065,3.326782,3.529847
7999,0.132095,0.109200,0.208521,3.417345,3.625866
8199,0.132649,0.154800,0.214045,3.507900,3.721945
8399,0.132957,0.145600,0.219526,3.598590,3.818116
8599,0.132963,0.133200,0.224977,3.689080,3.914057
8799,0.133132,0.140400,0.230466,3.779862,4.010328
8999,0.133227,0.137400,0.235923,3.870213,4.106136
9199,0.132996,0.122600,0.241380,3.960528,4.201908
9399,0.132272,0.099000,0.246841,4.050986,4.297828
9599,0.132408,0.138800,0.252325,4.141325,4.393649
9799,0.132229,0.123600,0.257792,4.231819,4.489611
9999,0.132024,0.122000,0.263268,4.322224,4.585492
10199,0.131749,0.118000,0.268759,4.412620,4.681379
10399,0.131808,0.134800,0.274245,4.503189,4.777434
10599,0.131374,0.108800,0.279691,4.593628,4.873319
10799,0.131270,0.125800,0.285146,4.684082,4.969228
10999,0.131745,0.157400,0.290612,4.774428,5.065041
11199,0.131514,0.118800,0.296074,4.864938,5.161013
11399,0.131744,0.144600,0.301555,4.955469,5.257025
11599,0.131817,0.136000,0.307035,5.045841,5.352876
11799,0.131447,0.110000,0.312521,5.136409,5.448930
11999,0.131600,0.140600,0.317999,5.226920,5.544919
12199,0.131757,0.141200,0.323474,5.317426,5.640900
12399,0.131858,0.138000,0.328933,5.407984,5.736916
12599,0.131746,0.124800,0.334414,5.498465,5.832879
12799,0.131397,0.109400,0.339898,5.588883,5.928781
12999,0.130988,0.104800,0.345349,5.679292,6.024642
13199,0.131082,0.137200,0.350813,5.769672,6.120485
13399,0.130997,0.125400,0.356277,5.860013,6.216290
13599,0.130738,0.113400,0.361763,5.950723,6.312486
13799,0.130525,0.116000,0.367270,6.041120,6.408390
13999,0.130329,0.116800,0.372787,6.131449,6.504236
14199,0.129992,0.106400,0.378266,6.222035,6.600301
14399,0.129828,0.118200,0.383726,6.312641,6.696367
14599,0.130019,0.143800,0.389219,6.403235,6.792454
14799,0.129905,0.121600,0.394693,6.493658,6.888351
14999,0.130240,0.155000,0.400126,6.584025,6.984151
15199,0.130037,0.114800,0.405626,6.674576,7.080201
15399,0.129992,0.126600,0.411094,6.765210,7.176304
15599,0.130364,0.159000,0.416554,6.855627,7.272181
15799,0.130167,0.114800,0.422040,6.946008,7.368048
15999,0.129950,0.112800,0.427514,7.036516,7.464029
16199,0.130086,0.141000,0.432989,7.127161,7.560149
16399,0.130032,0.125600,0.438480,7.217524,7.656005
16599,0.130571,0.174800,0.443945,7.308063,7.752007
16799,0.130550,0.128800,0.449460,7.398637,7.848097
16999,0.130393,0.117200,0.454979,7.489303,7.944282
17199,0.130398,0.130800,0.460506,7.579900,8.040406
17399,0.130428,0.133000,0.466027,7.670382,8.136409
17599,0.130491,0.136000,0.471572,7.760727,8.232299
17799,0.130685,0.147800,0.477070,7.851036,8.328106
17999,0.130878,0.148000,0.482625,7.941566,8.424191
18199,0.130754,0.119600,0.488158,8.031875,8.520032
18399,0.130885,0.142800,0.493696,8.122274,8.615969
18599,0.130957,0.137600,0.499255,8.212876,8.712131
18799,0.130911,0.126600,0.504782,8.303393,8.808174
18999,0.130676,0.108600,0.510280,8.393798,8.904078
19199,0.131015,0.163200,0.515783,8.484518,9.000301
19399,0.130901,0.120000,0.521247,8.574951,9.096198
19599,0.131129,0.153200,0.526743,8.665351,9.192094
19799,0.131202,0.138400,0.532206,8.756081,9.288287
19999,0.131168,0.127800,0.537694,8.846831,9.384525
20199,0.131095,0.123800,0.543163,8.937191,9.480354
20399,0.131220,0.143800,0.548640,9.027701,9.576341
20599,0.131167,0.125800,0.554142,9.118194,9.672336
20799,0.131158,0.130200,0.559601,9.208698,9.768299
20999,0.131360,0.152400,0.565071,9.299124,9.864194
21199,0.131523,0.148600,0.570558,9.389599,9.960157
21399,0.131591,0.138800,0.576008,9.480217,10.056225
21599,0.131722,0.145800,0.581498,9.571171,10.152670
21799,0.131758,0.135600,0.587008,9.662467,10.249476
21999,0.131733,0.129000,0.592530,9.753417,10.345948
22199,0.131694,0.127400,0.598011,9.844075,10.442085
22399,0.131430,0.102200,0.603498,9.934974,10.538472
22599,0.131418,0.130000,0.608971,10.025429,10.634400
22799,0.131158,0.101800,0.614499,10.115984,10.730483
22999,0.131019,0.115200,0.619973,10.206472,10.826444
23199,0.130936,0.121400,0.625459,10.296998,10.922457
23399,0.130904,0.127200,0.630963,10.387489,11.018452
23599,0.130595,0.094400,0.636441,10.478172,11.114613
23799,0.130561,0.126600,0.641960,10.568693,11.210652
23999,0.130390,0.110000,0.647477,10.659346,11.306823
24199,0.130352,0.125800,0.652948,10.749925,11.402873
24399,0.130190,0.110600,0.658467,10.840788,11.499255
24599,0.130233,0.135400,0.663961,10.931405,11.595366
24799,0.130152,0.120200,0.669427,11.021818,11.691244
24999,0.130133,0.127800,0.674903,11.112346,11.787249
25199,0.130019,0.115800,0.680407,11.203171,11.883578
25399,0.129890,0.113600,0.685894,11.293825,11.979719
25599,0.129834,0.122800,0.691390,11.384767,12.076157
25799,0.130091,0.163000,0.696882,11.475416,12.172298
25999,0.130168,0.140000,0.702369,11.565942,12.268312
26199,0.130108,0.122400,0.707854,11.656747,12.364602
26399,0.130044,0.121600,0.713341,11.747341,12.460681
26599,0.130077,0.134400,0.718794,11.837926,12.556720
26799,0.129918,0.108800,0.724325,11.928642,12.652967
26999,0.129959,0.135400,0.729820,12.019381,12.749201
27199,0.130059,0.143600,0.735297,12.110160,12.845457
27399,0.130025,0.125400,0.740768,12.200649,12.941417
27599,0.130225,0.157600,0.746222,12.291125,13.037347
27799,0.130294,0.139800,0.751737,12.381773,13.133510
27999,0.130333,0.135800,0.757247,12.472469,13.229716
28199,0.130308,0.126800,0.762754,12.563386,13.326140
28399,0.130524,0.161000,0.768221,12.653948,13.422169
28599,0.130634,0.146200,0.773673,12.744553,13.518226
28799,0.130808,0.155800,0.779142,12.835248,13.614390
28999,0.130952,0.151600,0.784670,12.925905,13.710576
29199,0.131026,0.141800,0.790160,13.016608,13.806767
29399,0.131083,0.139400,0.795638,13.107443,13.903081
29599,0.130950,0.111400,0.801121,13.198098,13.999219
29799,0.130948,0.130600,0.806598,13.288597,14.095195
29999,0.130999,0.138600,0.812082,13.379449,14.191532
30199,0.130962,0.125400,0.817552,13.470007,14.287559
30399,0.131120,0.155000,0.823028,13.560452,14.383480
30599,0.131076,0.124400,0.828516,13.651243,14.479758
30799,0.131109,0.136200,0.833964,13.741706,14.575670
30999,0.131163,0.139400,0.839447,13.832606,14.672053
31199,0.131014,0.108000,0.844878,13.923167,14.768045
31399,0.130848,0.105000,0.850355,14.013678,14.864033
31599,0.130870,0.134200,0.855815,14.104011,14.959826
31799,0.131028,0.156000,0.861306,14.194742,15.056048
31999,0.130892,0.109400,0.866767,14.285238,15.152005
32199,0.130878,0.128600,0.872244,14.375868,15.248112
32399,0.130837,0.124200,0.877681,14.466423,15.344105
32599,0.130856,0.134000,0.883146,14.556994,15.440140
32799,0.130941,0.144800,0.888617,14.647701,15.536319
32999,0.130726,0.095400,0.894122,14.738290,15.632412
33199,0.130665,0.120600,0.899621,14.828738,15.728359
33399,0.130786,0.150800,0.905136,14.919565,15.824700
33599,0.130980,0.163400,0.910578,15.010024,15.920602
33799,0.131082,0.148200,0.916062,15.100739,16.016800
33999,0.131099,0.134000,0.921537,15.191423,16.112960
34199,0.131043,0.121600,0.927000,15.282033,16.209032
34399,0.131053,0.132800,0.932503,15.372808,16.305311
34599,0.131131,0.144400,0.937986,15.463354,16.401340
34799,0.131038,0.115000,0.943440,15.553857,16.497297
34999,0.131066,0.136000,0.948913,15.644359,16.593272
35199,0.131081,0.133600,0.954384,15.734923,16.689307
35399,0.131165,0.146000,0.959841,15.825514,16.785355
35599,0.131058,0.112200,0.965357,15.916202,16.881558
35799,0.130992,0.119200,0.970826,16.006771,16.977598
35999,0.130880,0.110800,0.976328,16.097225,17.073554
36199,0.130808,0.117800,0.981813,16.187955,17.169769
36399,0.130712,0.113400,0.987286,16.278533,17.265820
36599,0.130586,0.107600,0.992770,16.369378,17.362147
36799,0.130711,0.153600,0.998234,16.459659,17.457892
36999,0.130684,0.125800,1.003692,16.550165,17.553857
37199,0.130666,0.127200,1.009189,16.640712,17.649900
37399,0.130600,0.118400,1.014654,16.731132,17.745786
37599,0.130564,0.123800,1.020127,16.821685,17.841812
37799,0.130535,0.125200,1.025571,16.912281,17.937852
37999,0.130475,0.119000,1.031066,17.002697,18.033763
38199,0.130435,0.122800,1.036508,17.093407,18.129915
38399,0.130293,0.103200,1.041967,17.184288,18.226255
38599,0.130229,0.118000,1.047439,17.274892,18.322331
38799,0.130187,0.122000,1.052903,17.365503,18.418406
38999,0.130160,0.125000,1.058376,17.456293,18.514669
39199,0.130291,0.155800,1.063849,17.546797,18.610647
39399,0.130230,0.118400,1.069308,17.637237,18.706544
39599,0.130198,0.123800,1.074773,17.728041,18.802813
39799,0.130187,0.128000,1.080258,17.818590,18.898848
39999,0.130242,0.141200,1.085762,17.909178,18.994940
40199,0.130193,0.120400,1.091235,17.999708,19.090943
40399,0.130163,0.124200,1.096706,18.090280,19.186986
40599,0.130116,0.120600,1.102188,18.180877,19.283065
40799,0.130091,0.125000,1.107676,18.271493,19.379169
40999,0.130081,0.128000,1.113135,18.362177,19.475311
41199,0.130135,0.141200,1.118611,18.452953,19.571564
41399,0.130166,0.136600,1.124072,18.543474,19.667546
41599,0.130188,0.134800,1.129560,18.633912,19.763472
41799,0.130367,0.167400,1.135050,18.724311,19.859361
41999,0.130363,0.129600,1.140528,18.814783,19.955311
42199,0.130419,0.142200,1.145998,18.905289,20.051288
42399,0.130361,0.118200,1.151461,18.995681,20.147141
42599,0.130316,0.120800,1.156950,19.086238,20.243188
42799,0.130307,0.128200,1.162406,19.176837,20.339242
42999,0.130330,0.135400,1.167840,19.267352,20.435192
43199,0.130280,0.119400,1.173315,19.357902,20.531217
43399,0.130210,0.115200,1.178783,19.448409,20.627192
43599,0.129997,0.083800,1.184217,19.538983,20.723199
43799,0.129998,0.130200,1.189669,19.629456,20.819125
43999,0.130014,0.133400,1.195108,19.720003,20.915111
44199,0.130023,0.132000,1.200580,19.810631,21.011210
44399,0.130082,0.143200,1.206055,19.901042,21.107098
44599,0.130093,0.132600,1.211509,19.991540,21.203049
44799,0.130117,0.135400,1.216964,20.082001,21.298966
44999,0.130088,0.123600,1.222426,20.172395,21.394821
45199,0.130096,0.132000,1.227885,20.262757,21.490642
45399,0.130000,0.108200,1.233338,20.353306,21.586644
45599,0.129958,0.120400,1.238797,20.443703,21.682501
45799,0.130022,0.144600,1.244267,20.534191,21.778459
45999,0.130024,0.130600,1.249724,20.624647,21.874371
46199,0.129926,0.107200,1.255214,20.715149,21.970362
46399,0.129903,0.124600,1.260653,20.805509,22.066162
46599,0.130041,0.162200,1.266075,20.895916,22.161990
46799,0.130156,0.156800,1.271543,20.986244,22.257786
46999,0.130143,0.127200,1.277006,21.076758,22.353764
47199,0.130190,0.141200,1.282471,21.167194,22.449665
47399,0.130179,0.127600,1.287931,21.257439,22.545370
47599,0.130258,0.149000,1.293382,21.347893,22.641275
47799,0.130332,0.148000,1.298837,21.438253,22.737090
47999,0.130262,0.113400,1.304301,21.528639,22.832940
48199,0.130341,0.149400,1.309749,21.618978,22.928727
48399,0.130405,0.145800,1.315231,21.709532,23.024764
48599,0.130478,0.148200,1.320739,21.800232,23.120971
48799,0.130450,0.123600,1.326232,21.891107,23.217339
48999,0.130440,0.128000,1.331693,21.981515,23.313208
49199,0.130515,0.148800,1.337192,22.072131,23.409324
49399,0.130611,0.154400,1.342693,22.162600,23.505293
49599,0.130625,0.134000,1.348217,22.253479,23.601696
49799,0.130590,0.121800,1.353695,22.343853,23.697548
49999,0.130594,0.131600,1.359179,22.434278,23.793457
50199,0.130580,0.127200,1.364676,22.525042,23.889718
50399,0.130702,0.161200,1.370159,22.615819,23.985978
50599,0.130724,0.136400,1.375620,22.706360,24.081980
50799,0.130662,0.115000,1.381082,22.796974,24.178056
50999,0.130598,0.114200,1.386600,22.887459,24.274059
51199,0.130595,0.130000,1.392085,22.978064,24.370149
51399,0.130692,0.155400,1.397572,23.068375,24.465947
51599,0.130634,0.115800,1.403052,23.159007,24.562059
51799,0.130701,0.148000,1.408557,23.249686,24.658242
51999,0.130659,0.119800,1.414033,23.340287,24.754320
52199,0.130641,0.125800,1.419522,23.430776,24.850298
52399,0.130681,0.141200,1.425092,23.521595,24.946687
52599,0.130807,0.163800,1.430596,23.612076,25.042672
52799,0.130767,0.120400,1.436128,23.702784,25.138912
52999,0.130735,0.122200,1.441628,23.793445,25.235072
53199,0.130730,0.129400,1.447108,23.883902,25.331010
53399,0.130665,0.113400,1.452596,23.974551,25.427147
53599,0.130729,0.147800,1.458126,24.065621,25.523747
53799,0.130699,0.122600,1.463589,24.156019,25.619608
53999,0.130764,0.148200,1.469074,24.246499,25.715573
54199,0.130717,0.118200,1.474542,24.337171,25.811713
54399,0.130682,0.121000,1.480008,24.427538,25.907545
54599,0.130644,0.120400,1.485477,24.517928,26.003405
54799,0.130634,0.127800,1.490963,24.608555,26.099518
54999,0.130633,0.130400,1.496441,24.699386,26.195827
55199,0.130590,0.118800,1.501934,24.789991,26.291925
55399,0.130521,0.111600,1.507416,24.880477,26.387893
55599,0.130522,0.130800,1.512900,24.970906,26.483805
55799,0.130512,0.127600,1.518447,25.061836,26.580283
55999,0.130619,0.160600,1.524025,25.153665,26.677690
56199,0.130624,0.132000,1.529551,25.244662,26.774213
56399,0.130674,0.144600,1.535029,25.335433,26.870462
56599,0.130608,0.112200,1.540538,25.426683,26.967220
56799,0.130520,0.105400,1.546035,25.517376,27.063411
56999,0.130618,0.158400,1.551516,25.607924,27.159440
57199,0.130628,0.133600,1.557026,25.699108,27.256133
57399,0.130658,0.139200,1.562536,25.790194,27.352730
57599,0.130674,0.135400,1.568060,25.881864,27.449924
57799,0.130647,0.122800,1.573573,25.972984,27.546557
57999,0.130634,0.127000,1.579085,26.064522,27.643606
58199,0.130606,0.122400,1.584587,26.155974,27.740561
58399,0.130659,0.146000,1.590108,26.246993,27.837101
58599,0.130681,0.137200,1.595628,26.338418,27.934046
58799,0.130691,0.133600,1.601101,26.428982,28.030082
58999,0.130732,0.142800,1.606567,26.519347,28.125914
59199,0.130717,0.126200,1.612037,26.609714,28.221751
59399,0.130715,0.130200,1.617494,26.700287,28.317781
59599,0.130721,0.132400,1.622924,26.790602,28.413526
59799,0.130717,0.129600,1.628369,26.881058,28.509427
59999,0.130708,0.128000,1.633822,26.971316,28.605138
60199,0.130690,0.125400,1.639293,27.061727,28.701020
60399,0.130729,0.142400,1.644762,27.152173,28.796935
60599,0.130782,0.146600,1.650254,27.242769,28.893023
60799,0.130834,0.146800,1.655729,27.333151,28.988880
60999,0.130893,0.148800,1.661182,27.423553,29.084735
61199,0.130861,0.121200,1.666632,27.513994,29.180627
61399,0.130870,0.133600,1.672119,27.604331,29.276449
61599,0.130933,0.150200,1.677601,27.694839,29.372440
61799,0.131005,0.153000,1.683077,27.785302,29.468378
61999,0.130999,0.129400,1.688511,27.875791,29.564302
62199,0.130992,0.128800,1.694006,27.966265,29.660270
62399,0.131035,0.144400,1.699441,28.056796,29.756236
62599,0.131058,0.138200,1.704887,28.147305,29.852192
62799,0.131000,0.112800,1.710346,28.237779,29.948125
62999,0.131027,0.139600,1.715808,28.328315,30.044122
63199,0.131017,0.127800,1.721242,28.418724,30.139965
63399,0.130996,0.124200,1.726682,28.509277,30.235959
63599,0.130973,0.123800,1.732151,28.599791,30.331942
63799,0.131004,0.141000,1.737622,28.690369,30.427990
63999,0.131013,0.133800,1.743076,28.780810,30.523887
64199,0.131005,0.128400,1.748553,28.871343,30.619896
64399,0.130963,0.117400,1.754025,28.961685,30.715710
64599,0.130927,0.119400,1.759484,29.052049,30.811533
64799,0.131022,0.161600,1.764959,29.142788,30.907747
64999,0.130985,0.119200,1.770430,29.233290,31.003720
65199,0.130979,0.129000,1.775897,29.323596,31.099494
65399,0.131000,0.137800,1.781350,29.413966,31.195316
65599,0.130965,0.119600,1.786818,29.504693,31.291511
65799,0.130960,0.129200,1.792256,29.595047,31.387304
65999,0.130926,0.119800,1.797724,29.685474,31.483198
66199,0.130934,0.133600,1.803180,29.775860,31.579040
66399,0.130941,0.133200,1.808649,29.866184,31.674833
66599,0.130879,0.110200,1.814135,29.956502,31.770637
66799,0.130934,0.149400,1.819585,30.046770,31.866355
66999,0.131002,0.153800,1.825062,30.137340,31.962401
67199,0.131007,0.132600,1.830543,30.227708,32.058251
67399,0.130949,0.111400,1.836008,30.318238,32.154246
67599,0.130863,0.102000,1.841474,30.408724,32.250199
67799,0.130920,0.150000,1.846938,30.498981,32.345920
67999,0.130859,0.110400,1.852402,30.589373,32.441775
68199,0.130840,0.124200,1.857866,30.679816,32.537682
68399,0.130853,0.135400,1.863303,30.770237,32.633540
68599,0.130792,0.110000,1.868755,30.860625,32.729380
68799,0.130822,0.140800,1.874255,30.951124,32.825379
68999,0.130831,0.134200,1.879731,31.041505,32.921236
69199,0.130807,0.122400,1.885200,31.131931,33.017131
69399,0.130798,0.127800,1.890681,31.222411,33.113092
69599,0.130769,0.120600,1.896182,31.312941,33.209122
69799,0.130767,0.130200,1.901626,31.403166,33.304793
69999,0.130769,0.131400,1.907093,31.493576,33.400670
70199,0.130766,0.129600,1.912532,31.583819,33.496351
70399,0.130774,0.133600,1.917997,31.674106,33.592103
70599,0.130798,0.139400,1.923457,31.764482,33.687940
70799,0.130770,0.120800,1.928926,31.854854,33.783779
70999,0.130869,0.166000,1.934416,31.945360,33.879775
71199,0.130787,0.101600,1.939882,32.035726,33.975608
71399,0.130789,0.131600,1.945359,32.126361,34.071721
71599,0.130859,0.155600,1.950823,32.216607,34.167430
71799,0.130877,0.137600,1.956286,32.307049,34.263336
71999,0.130845,0.119200,1.961786,32.397468,34.359255
72199,0.130925,0.159600,1.967252,32.487799,34.455051
72399,0.130899,0.121600,1.972734,32.578344,34.551078
