# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,11079.670377,11079.670377,0.462331,0.046917,0.509249
399,9165.152453,7250.634528,0.949076,0.095166,1.044242
599,8184.415758,6222.942367,1.439378,0.144437,1.583815
799,7441.029447,5210.870515,1.941897,0.194729,2.136626
999,6950.466282,4988.213625,2.455824,0.245619,2.701443
1199,6505.786919,4282.390104,2.965100,0.297031,3.262131
1399,6385.937392,5666.840226,3.494903,0.349378,3.844281
1599,6222.655629,5079.683294,4.017357,0.402116,4.419473
1799,6105.511113,5168.354981,4.555340,0.455194,5.010534
1999,5898.989000,4040.289986,5.090665,0.508498,5.599164
2199,5749.590178,4255.601953,5.630844,0.562222,6.193066
2399,5603.678566,3998.650839,6.179797,0.616262,6.796059
2599,5450.425121,3611.383782,6.723690,0.670526,7.394216
2799,5334.580915,3828.606237,7.282495,0.725063,8.007559
2999,5329.295940,5255.306280,7.869085,0.780080,8.649165
3199,5197.158193,3215.091993,8.409860,0.835075,9.244935
3399,5121.839499,3916.740402,8.973585,0.890248,9.863834
3599,5093.903025,4618.982962,9.538720,0.945439,10.484159
3799,4991.924838,3156.317478,10.099949,1.001087,11.101037
3999,4933.940152,3832.231110,10.661341,1.056997,11.718338
4199,4873.578020,3666.335387,11.238559,1.112962,12.351521
4399,4819.325997,3680.033520,11.808935,1.169313,12.978248
4599,4765.657863,3584.958909,12.442143,1.225831,13.667975
4799,4703.591009,3276.053373,13.017429,1.282372,14.299801
4999,4682.969958,4188.064714,13.603765,1.338954,14.942719
5199,4673.144224,4427.500870,14.197730,1.395832,15.593562
5399,4630.160756,3512.590596,14.791930,1.453119,16.245049
5599,4645.008494,5045.897433,15.443854,1.510446,16.954299
5799,4628.909546,4178.139000,16.035152,1.568054,17.603206
5999,4572.334721,2931.664803,16.629192,1.626182,18.255374
6199,4529.152590,3233.688657,17.237655,1.684243,18.921898
6399,4501.056258,3630.069941,17.904831,1.742710,19.647541
6599,4476.344798,3685.578083,18.518722,1.800934,20.319656
6799,4432.743357,2993.895805,19.157270,1.859706,21.016976
6999,4396.049032,3148.441991,19.781195,1.918611,21.699806
7199,4371.919549,3527.387652,20.462730,1.977515,22.440245
7399,4335.016188,3006.495187,21.064987,2.036413,23.101400
7599,4305.827240,3225.836163,21.689934,2.095444,23.785378
7799,4282.485776,3395.510135,22.367536,2.154651,24.522186
