# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,10322.933469,10322.933469,0.485250,0.049701,0.534952
399,8572.621872,6822.310274,0.975911,0.097796,1.073707
599,7583.130924,5604.149028,1.481898,0.147208,1.629105
799,6808.628553,4485.121440,1.988566,0.197402,2.185968
999,6392.351747,4727.244523,2.508820,0.248235,2.757055
1199,6069.126425,4452.999818,3.033431,0.299608,3.333038
1399,6009.718239,5653.269120,3.561603,0.351741,3.913344
1599,5840.208238,4653.638229,4.094306,0.404200,4.498506
1799,5731.081141,4858.064368,4.643352,0.457067,5.100419
1999,5535.387532,3774.145053,5.183416,0.509855,5.693271
2199,5434.402452,4424.551648,5.728622,0.563062,6.291684
2399,5301.014260,3833.744152,6.286519,0.616594,6.903113
2599,5146.359366,3290.500633,6.840953,0.670484,7.511437
2799,5032.212293,3548.300342,7.398971,0.724471,8.123442
2999,5016.249072,4792.763990,7.957921,0.778742,8.736663
3199,4929.407286,3626.780486,8.557003,0.833632,9.390635
3399,4871.659106,3947.688231,9.117471,0.888547,10.006018
3599,4855.904111,4588.069188,9.691985,0.943529,10.635514
3799,4767.044149,3167.564843,10.266826,0.998591,11.265416
3999,4726.418330,3954.527770,10.835059,1.054163,11.889222
4199,4681.530727,3783.778656,11.399478,1.109636,12.509113
4399,4626.425743,3469.221093,11.988520,1.165345,13.153865
4599,4578.756044,3530.022659,12.587328,1.221510,13.808839
4799,4517.560554,3110.064283,13.230175,1.278101,14.508276
4999,4488.669413,3795.282022,13.820334,1.334515,15.154849
5199,4475.372706,4142.955037,14.411934,1.390958,15.802891
5399,4434.416288,3369.549432,15.005445,1.447870,16.453315
