# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
199,0.365904,0.365904,0.526063,0.047876,0.573939
399,0.265981,0.166057,1.040569,0.094012,1.134580
599,0.224351,0.141093,1.575467,0.141474,1.716941
799,0.204197,0.143734,2.116999,0.189769,2.306768
999,0.187385,0.120138,2.667036,0.238671,2.905706
1199,0.177646,0.128950,3.219498,0.287911,3.507409
1399,0.171623,0.135487,3.773060,0.337667,4.110728
1599,0.167104,0.135466,4.340422,0.388062,4.728484
1799,0.163899,0.138262,4.909730,0.438731,5.348461
1999,0.162317,0.148080,5.480302,0.489793,5.970096
2199,0.160881,0.146515,6.057489,0.540941,6.598430
2399,0.159154,0.140166,6.637464,0.592576,7.230040
2599,0.157720,0.140508,7.230456,0.644330,7.874786
2799,0.155225,0.122784,7.826780,0.696258,8.523038
2999,0.153351,0.127127,8.415685,0.748375,9.164060
3199,0.151976,0.131352,9.042239,0.801071,9.843311
3399,0.150536,0.127489,9.629004,0.853746,10.482750
3599,0.149507,0.132016,10.238568,0.906778,11.145346
3799,0.148005,0.120969,10.830831,0.960102,11.790933
3999,0.145939,0.106682,11.437249,1.013474,12.450723
4199,0.144001,0.105244,12.040915,1.066996,13.107911
4399,0.143995,0.143860,12.675621,1.120755,13.796375
4599,0.143029,0.121777,13.284420,1.174870,14.459290
4799,0.143080,0.144271,13.943524,1.229122,15.172646
4999,0.142577,0.130500,14.563557,1.283612,15.847169
5199,0.142342,0.136454,15.193859,1.338180,16.532039
5399,0.140976,0.105473,15.832748,1.392723,17.225471
5599,0.140970,0.140798,16.503485,1.447880,17.951365
5799,0.140528,0.128142,17.132395,1.503052,18.635447
5999,0.140216,0.131189,17.770808,1.558119,19.328927
6199,0.140093,0.136394,18.455690,1.613422,20.069112
6399,0.139163,0.110349,19.414953,1.669675,21.084628
6599,0.138384,0.113456,20.372551,1.726059,22.098611
6799,0.137619,0.112350,21.344659,1.782717,23.127376
6999,0.136903,0.112570,22.394616,1.839519,24.234136
7199,0.136336,0.116504,23.388696,1.896615,25.285311
7399,0.136133,0.128803,24.502716,1.954332,26.457048
7599,0.135757,0.121853,25.512929,2.011741,27.524670
7799,0.135409,0.122176,26.557167,2.069729,28.626896
7999,0.134921,0.115890,27.687731,2.128009,29.815740
8199,0.134841,0.131653,28.706862,2.186174,30.893036
8399,0.134806,0.133359,29.777432,2.244501,32.021932
8599,0.134994,0.142898,30.941413,2.303351,33.244764
8799,0.134580,0.116781,32.003037,2.362222,34.365259
8999,0.134397,0.126342,33.075818,2.420946,35.496764
9199,0.134083,0.119940,34.242271,2.480179,36.722450
9399,0.133629,0.112746,35.316672,2.539276,37.855947
9599,0.133647,0.134487,36.386307,2.598974,38.985281
9799,0.133096,0.106684,37.252215,2.657128,39.909342
9999,0.132739,0.115240,38.183709,2.714935,40.898644
10199,0.132215,0.105989,38.981640,2.773495,41.755134
10399,0.131935,0.117665,39.719048,2.830648,42.549697
10599,0.132183,0.145080,40.457855,2.888108,43.345963
10799,0.131928,0.118426,41.267057,2.945683,44.212739
