# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.094687,0.045864,0.140551
399,13660.050428,11519.527348,0.156587,0.091385,0.247972
599,12774.281965,11002.745038,0.225954,0.147375,0.373330
799,11652.487429,8287.103822,0.287402,0.187255,0.474657
999,11023.007642,8505.088493,0.342292,0.221119,0.563410
1199,10320.564717,6808.350093,0.395671,0.250949,0.646620
1399,9778.235343,6524.259099,0.447249,0.281866,0.729115
1599,9547.115465,7929.276319,0.510441,0.321622,0.832062
1799,9154.375579,6012.456493,0.655021,0.358231,1.013251
1999,8574.234248,3352.962268,0.718407,0.398401,1.116808
2199,8069.869999,3026.227502,0.792819,0.434062,1.226880
2399,7569.105437,2060.695266,0.958636,0.466204,1.424840
2599,7179.124420,2499.352207,1.092710,0.496927,1.589636
2799,6831.480278,2312.106439,1.152445,0.533145,1.685590
2999,6574.544998,2977.451077,1.221555,0.566906,1.788461
3199,6334.237351,2729.622648,1.381462,0.594967,1.976428
3399,6133.374728,2919.572759,1.484146,0.626894,2.111040
3599,5970.479056,3201.252632,1.548451,0.659844,2.208295
3799,5829.124427,3284.741107,1.608981,0.700616,2.309597
3999,5699.171068,3230.057239,1.667125,0.735422,2.402547
4199,5575.078420,3093.225457,1.733910,0.771295,2.505205
4399,5447.078212,2759.073847,1.782869,0.799060,2.581929
4599,5353.806076,3301.819082,1.840510,0.832944,2.673454
4799,5240.035726,2623.317683,1.890956,0.860367,2.751323
4999,5164.382182,3348.697120,1.944225,0.890311,2.834537
5199,5085.282769,3107.797444,2.008779,0.922186,2.930965
5399,5013.817832,3155.729472,2.060517,0.950568,3.011085
5599,4942.289689,3011.029833,2.108843,0.977191,3.086033
5799,4911.069868,4036.914868,2.161381,1.006098,3.167479
5999,4854.289199,3207.649796,2.219171,1.039196,3.258367
6199,4798.521402,3125.487516,2.282787,1.068063,3.350850
6399,4741.147216,2962.547439,2.339698,1.100871,3.440569
6599,4702.336803,3460.403574,2.402698,1.136645,3.539343
6799,4662.338549,3342.396181,2.464791,1.172560,3.637351
6999,4607.261773,2734.651398,2.526802,1.207133,3.733934
7199,4552.670945,2641.991944,2.595303,1.238407,3.833711
7399,4499.204347,2574.406822,2.659841,1.274738,3.934579
7599,4447.635374,2539.583379,2.732712,1.318900,4.051612
7799,4410.896945,3014.836661,2.785762,1.349953,4.135715
7999,4377.686126,3082.464185,2.845838,1.383230,4.229068
8199,4332.678100,2532.357034,2.912272,1.413272,4.325543
8399,4295.174854,2757.541798,2.983042,1.459786,4.442828
8599,4260.471414,2802.926927,3.045531,1.494597,4.540128
8799,4221.194839,2532.302084,3.111657,1.532377,4.644034
8999,4199.099943,3226.924523,3.172054,1.566314,4.738368
9199,4171.939618,2949.724995,3.244528,1.598607,4.843135
9399,4149.723766,3127.794563,3.300536,1.629157,4.929693
9599,4124.041529,2916.976412,3.357854,1.660777,5.018631
9799,4107.110908,3294.441085,3.426894,1.700387,5.127281
9999,4082.690471,2886.089057,3.494966,1.745620,5.240586
10199,4050.359537,2433.812843,3.584767,1.795466,5.380232
10399,4018.039162,2369.700060,3.658122,1.841405,5.499526
10599,4004.166829,3282.805500,3.729189,1.887815,5.617004
10799,3971.911043,2262.354393,3.797382,1.933862,5.731244
10999,3951.798982,2865.747686,3.873179,1.980848,5.854027
11199,3927.889454,2612.865427,3.961134,2.029842,5.990976
11399,3900.234096,2351.534014,4.032167,2.075730,6.107897
11599,3879.866967,2718.940652,4.113359,2.133983,6.247342
11799,3865.252597,3017.619112,4.195881,2.193401,6.389282
11999,3835.866998,2102.116659,4.262751,2.234979,6.497730
12199,3810.831698,2308.713723,4.357375,2.278726,6.636101
12399,3788.940594,2453.583214,4.433007,2.331999,6.765006
12599,3763.563027,2190.153871,4.521187,2.385507,6.906694
12799,3744.635445,2552.197811,4.611092,2.439251,7.050343
12999,3725.434753,2496.590430,4.661404,2.466819,7.128223
13199,3702.922055,2239.596730,4.734326,2.499395,7.233721
13399,3691.385518,2929.974058,4.822680,2.553637,7.376317
13599,3669.671125,2214.806806,4.911573,2.606706,7.518279
13799,3653.118907,2527.568084,5.017011,2.669642,7.686652
13999,3633.653269,2290.524243,5.103701,2.722373,7.826074
14199,3619.689276,2642.209779,5.177398,2.754923,7.932321
14399,3602.987200,2417.139804,5.230037,2.783780,8.013817
14599,3589.207990,2597.104865,5.281431,2.811791,8.093222
14799,3572.646695,2363.672134,5.357484,2.857040,8.214525
14999,3555.571921,2292.038671,5.433204,2.902221,8.335425
15199,3541.588500,2492.831905,5.530539,2.947946,8.478485
15399,3530.186859,2663.662145,5.621516,3.003790,8.625306
