# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.074997,0.049669,0.124666
399,13660.050428,11519.527348,0.146410,0.091290,0.237700
599,12774.281965,11002.745038,0.240727,0.174287,0.415015
799,11652.487429,8287.103822,0.396333,0.309039,0.705372
999,11023.007642,8505.088493,0.474755,0.369426,0.844181
1199,10320.564717,6808.350093,0.564799,0.427873,0.992672
1399,9778.235343,6524.259099,0.795420,0.622028,1.417448
1599,9404.737289,6790.250908,1.204453,0.759880,1.964332
1799,8790.183510,3873.753278,1.321880,0.857043,2.178923
1999,8224.190899,3130.257408,1.705277,0.973979,2.679256
2199,7666.618123,2090.890357,1.813340,1.060454,2.873794
2399,7185.180639,1889.368312,2.007747,1.108286,3.116033
2599,6776.704148,1874.986259,2.167614,1.226511,3.394125
2799,6438.954990,2048.215937,2.286660,1.322149,3.608808
2999,6249.608880,3598.763333,2.628049,1.380851,4.008900
3199,6073.169040,3426.571443,2.702220,1.433454,4.135674
3399,5918.250008,3439.545504,2.811674,1.510112,4.321786
3599,5799.745750,3785.173365,2.887238,1.562125,4.449363
3799,5690.359950,3721.415543,2.978917,1.615235,4.594153
3999,5584.611895,3575.398855,3.086709,1.670741,4.757450
4199,5473.862313,3258.870677,3.316519,1.742681,5.059200
4399,5366.966696,3122.158723,3.411812,1.797843,5.209655
4599,5270.635857,3151.357401,3.485074,1.849560,5.334633
4799,5170.927615,2877.638058,3.633432,1.935218,5.568650
4999,5074.613483,2763.074311,3.723449,2.005285,5.728734
5199,4997.711750,3075.168426,3.804776,2.059849,5.864625
5399,4912.852987,2706.525140,3.875963,2.110181,5.986143
5599,4852.209175,3214.826275,3.949643,2.167914,6.117557
5799,4790.408087,3059.977612,4.053794,2.220848,6.274643
5999,4731.434424,3021.198186,4.125952,2.269555,6.395507
6199,4667.960760,2763.750844,4.194935,2.316365,6.511300
6399,4597.038764,2398.456906,4.257873,2.360217,6.618090
6599,4552.453756,3125.733483,4.345667,2.424227,6.769894
6799,4501.935160,2834.821493,4.458834,2.475217,6.934052
6999,4447.657208,2602.206857,4.532439,2.522422,7.054861
7199,4410.852311,3122.680897,4.622179,2.581318,7.203498
7399,4357.995194,2455.138982,4.693538,2.628099,7.321637
7599,4317.342593,2813.196360,4.776730,2.688159,7.464889
7799,4292.966543,3366.676627,4.888848,2.746075,7.634923
7999,4253.039016,2695.865478,4.964337,2.799168,7.763505
