# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.138759,0.078160,0.216918
399,13660.050428,11519.527348,0.195070,0.109459,0.304529
599,12774.281965,11002.745038,0.261634,0.149662,0.411296
799,11652.487429,8287.103822,0.310805,0.179083,0.489888
999,11023.007642,8505.088493,0.364593,0.208987,0.573580
1199,10320.564717,6808.350093,0.424994,0.243136,0.668130
1399,9778.235343,6524.259099,0.484150,0.278543,0.762693
1599,9547.115465,7929.276319,0.545140,0.318347,0.863487
1799,9154.375579,6012.456493,0.657502,0.346620,1.004122
1999,8574.234248,3352.962268,0.701307,0.371353,1.072660
2199,8069.869999,3026.227502,0.752832,0.395789,1.148621
2399,7592.694552,2343.764646,0.881260,0.418460,1.299720
2599,7202.618184,2521.701766,0.989679,0.448210,1.437889
2799,6871.881336,2572.302307,1.039966,0.478928,1.518894
2999,6573.599404,2397.652350,1.093839,0.504057,1.597897
3199,6315.955802,2451.301776,1.228712,0.529950,1.758662
3399,6105.872793,2744.544644,1.308575,0.554910,1.863485
3599,5981.526419,3867.638072,1.375782,0.593593,1.969374
3799,5818.100301,2876.430166,1.443833,0.635941,2.079775
3999,5693.262073,3321.335753,1.500904,0.671437,2.172341
4199,5575.421695,3218.614135,1.555489,0.697823,2.253312
4399,5488.750741,3668.660702,1.597725,0.721935,2.319661
4599,5375.150869,2875.953692,1.654956,0.756602,2.411558
4799,5272.770874,2918.030975,1.717944,0.796229,2.514173
4999,5196.469029,3365.224760,1.784987,0.839283,2.624270
5199,5140.039226,3729.294152,1.849717,0.873878,2.723595
5399,5061.092055,3008.465593,1.893135,0.897729,2.790864
5599,4998.228339,3300.908025,1.941499,0.925120,2.866619
5799,4948.598133,3558.952345,2.001561,0.961104,2.962665
5999,4887.203705,3106.765322,2.061885,0.996114,3.058000
6199,4822.242713,2873.412934,2.126692,1.028948,3.155641
6399,4742.994364,2286.295537,2.191743,1.073196,3.264939
6599,4693.360673,3105.082573,2.250737,1.110013,3.360750
6799,4651.821237,3281.019862,2.311413,1.148095,3.459508
6999,4583.190901,2249.759462,2.358848,1.175968,3.534816
7199,4543.833683,3166.331056,2.416522,1.203769,3.620290
7399,4506.660309,3168.418831,2.471739,1.238801,3.710539
7599,4455.063767,2545.991712,2.534883,1.277252,3.812134
7799,4411.952083,2773.708103,2.582378,1.303806,3.886184
7999,4388.532787,3475.180245,2.639294,1.335146,3.974440
8199,4373.183381,3759.207135,2.710878,1.376540,4.087418
8399,4331.978396,2642.574024,2.764765,1.408444,4.173209
8599,4294.918544,2738.404770,2.810203,1.433877,4.244080
8799,4263.069018,2893.539394,2.871818,1.471712,4.343530
8999,4234.234918,2965.534495,2.933985,1.508867,4.442853
9199,4193.342100,2353.165314,3.007968,1.550118,4.558086
9399,4163.621148,2796.457357,3.080827,1.598199,4.679026
9599,4122.250572,2177.833485,3.146109,1.641692,4.787801
9799,4105.453492,3299.193652,3.204469,1.680173,4.884641
9999,4072.819704,2473.764089,3.263603,1.718816,4.982418
10199,4042.246201,2513.571054,3.327161,1.749202,5.076363
10399,4010.133489,2372.385164,3.386971,1.787854,5.174825
10599,3979.816583,2403.337501,3.450818,1.830646,5.281464
10799,3953.516271,2559.599725,3.499041,1.856976,5.356017
10999,3934.508336,2908.079869,3.553833,1.888890,5.442723
11199,3912.075558,2678.272730,3.624208,1.925564,5.549772
11399,3885.578657,2401.752189,3.678491,1.956970,5.635461
11599,3864.371480,2655.562414,3.728293,1.984217,5.712510
11799,3848.131878,2906.234941,3.778997,2.011982,5.790979
11999,3819.979279,2158.975934,3.835881,2.046372,5.882253
12199,3803.940696,2841.625738,3.914461,2.087955,6.002416
12399,3782.789607,2492.573197,3.989001,2.132212,6.121213
12599,3763.832050,2588.463482,4.048923,2.166979,6.215902
12799,3739.694664,2219.039386,4.107527,2.201068,6.308595
12999,3723.199407,2667.502907,4.169419,2.241429,6.410848
13199,3701.198233,2271.121933,4.235380,2.271813,6.507192
13399,3684.100985,2555.682656,4.284226,2.298134,6.582360
13599,3665.628060,2427.942083,4.348263,2.339856,6.688119
13799,3649.336333,2541.498914,4.411678,2.379223,6.790901
