# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,15800.573508,15800.573508,0.594973,0.043418,0.638392
399,13660.050428,11519.527348,0.672455,0.087383,0.759838
599,12774.281965,11002.745038,0.750384,0.131202,0.881586
799,11652.487429,8287.103822,0.826457,0.174669,1.001126
999,11023.007642,8505.088493,0.902949,0.218641,1.121590
1199,10320.564717,6808.350093,0.983317,0.262528,1.245845
1399,9778.235343,6524.259099,1.059370,0.306374,1.365744
1599,9547.115465,7929.276319,1.136067,0.350144,1.486212
1799,9154.375579,6012.456493,1.259211,0.393865,1.653076
1999,8574.234248,3352.962268,1.336001,0.437520,1.773520
2199,8069.869999,3026.227502,1.418302,0.481430,1.899732
2399,7569.105437,2060.695266,1.537148,0.525469,2.062617
2599,7179.124420,2499.352207,1.645386,0.569523,2.214909
2799,6831.480278,2312.106439,1.722807,0.613650,2.336457
2999,6574.544998,2977.451077,1.805482,0.657751,2.463233
3199,6334.237351,2729.622648,1.925421,0.701834,2.627255
3399,6133.374728,2919.572759,2.023341,0.745590,2.768931
3599,5970.479056,3201.252632,2.103065,0.789447,2.892513
3799,5829.124427,3284.741107,2.180028,0.833340,3.013368
3999,5699.171068,3230.057239,2.257486,0.876816,3.134301
4199,5575.078420,3093.225457,2.337585,0.921406,3.258992
4399,5447.078212,2759.073847,2.414380,0.965098,3.379477
4599,5353.806076,3301.819082,2.492741,1.009511,3.502253
4799,5240.035726,2623.317683,2.571855,1.053754,3.625609
4999,5164.382182,3348.697120,2.650543,1.098032,3.748575
5199,5085.282769,3107.797444,2.735491,1.142737,3.878228
5399,5013.817832,3155.729472,2.815174,1.187794,4.002969
5599,4942.289689,3011.029833,2.895670,1.232917,4.128587
5799,4911.069868,4036.914868,2.975121,1.277586,4.252707
5999,4854.289199,3207.649796,3.055492,1.322713,4.378205
6199,4798.521402,3125.487516,3.142017,1.367909,4.509926
6399,4741.147216,2962.547439,3.227713,1.412864,4.640577
6599,4702.336803,3460.403574,3.307183,1.457634,4.764817
6799,4662.338549,3342.396181,3.387170,1.502732,4.889902
6999,4607.261773,2734.651398,3.466546,1.547382,5.013928
7199,4552.670945,2641.991944,3.554080,1.592649,5.146729
7399,4499.204347,2574.406822,3.634318,1.637967,5.272285
7599,4447.635374,2539.583379,3.714023,1.682897,5.396920
7799,4410.896945,3014.836661,3.794880,1.728379,5.523259
7999,4377.686126,3082.464185,3.875898,1.773383,5.649282
8199,4332.678100,2532.357034,3.962731,1.818524,5.781255
8399,4295.174854,2757.541798,4.042570,1.863479,5.906049
8599,4260.471414,2802.926927,4.122891,1.908611,6.031502
8799,4221.194839,2532.302084,4.203721,1.953486,6.157207
8999,4199.099943,3226.924523,4.284475,1.998731,6.283205
9199,4171.939618,2949.724995,4.371690,2.043835,6.415525
9399,4149.723766,3127.794563,4.450973,2.088413,6.539386
9599,4124.041529,2916.976412,4.531917,2.133123,6.665041
9799,4107.110908,3294.441085,4.611895,2.177770,6.789665
9999,4082.690471,2886.089057,4.691964,2.222473,6.914437
10199,4050.359537,2433.812843,4.779423,2.267608,7.047031
10399,4018.039162,2369.700060,4.860012,2.312271,7.172282
10599,4004.166829,3282.805500,4.940677,2.357271,7.297948
10799,3971.911043,2262.354393,5.023239,2.401853,7.425092
10999,3951.798982,2865.747686,5.103885,2.446807,7.550692
11199,3927.889454,2612.865427,5.192120,2.491819,7.683940
11399,3900.234096,2351.534014,5.271735,2.536366,7.808101
11599,3879.866967,2718.940652,5.351997,2.581092,7.933088
11799,3865.252597,3017.619112,5.432257,2.625711,8.057968
