# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
199,0.219617,0.219617,0.604611,0.043313,0.647923
399,0.215344,0.211071,0.683566,0.087845,0.771411
599,0.204905,0.184026,0.762865,0.132107,0.894971
799,0.200804,0.188504,0.840348,0.176251,1.016598
999,0.195736,0.175464,0.917486,0.220293,1.137780
1199,0.192475,0.176170,0.998381,0.264048,1.262429
1399,0.189193,0.169498,1.074612,0.307624,1.382235
1599,0.191031,0.203895,1.152049,0.351289,1.503338
1799,0.188768,0.170668,1.229131,0.395117,1.624248
1999,0.184044,0.141524,1.306428,0.438941,1.745369
2199,0.179179,0.130530,1.389217,0.482750,1.871967
2399,0.176653,0.148871,1.466788,0.526310,1.993098
2599,0.172001,0.116179,1.544005,0.569868,2.113873
2799,0.169205,0.132849,1.621429,0.613565,2.234995
2999,0.169553,0.174433,1.699072,0.657157,2.356229
3199,0.168841,0.158154,1.782481,0.700713,2.483194
3399,0.166050,0.121398,1.859637,0.744412,2.604048
3599,0.164868,0.144771,1.982988,0.788126,2.771114
3799,0.164050,0.149333,2.060976,0.832123,2.893099
3999,0.163510,0.153253,2.140101,0.876144,3.016245
4199,0.163664,0.166726,2.226104,0.920181,3.146286
4399,0.163898,0.168818,2.304132,0.963782,3.267915
4599,0.164308,0.173336,2.382214,1.007259,3.389474
4799,0.164711,0.173986,2.461770,1.051178,3.512948
4999,0.164802,0.166979,2.540325,1.096037,3.636362
5199,0.164150,0.147849,2.625566,1.140167,3.765733
5399,0.163194,0.138345,2.703371,1.183677,3.887048
5599,0.163358,0.167771,2.782503,1.227271,4.009774
5799,0.163122,0.156513,2.861007,1.271070,4.132077
5999,0.162130,0.133380,2.939588,1.314639,4.254227
6199,0.162286,0.166956,3.024903,1.358690,4.383594
6399,0.161721,0.144208,3.104360,1.402739,4.507099
6599,0.161609,0.158012,3.184766,1.447587,4.632353
6799,0.161141,0.145696,3.264944,1.492295,4.757239
6999,0.160870,0.151675,3.345106,1.536651,4.881757
7199,0.160507,0.147779,3.462912,1.581647,5.044559
7399,0.159720,0.131406,3.543412,1.626568,5.169980
7599,0.159600,0.155173,3.623912,1.671502,5.295414
7799,0.158511,0.117113,3.704790,1.716596,5.421386
