# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.018375,0.066506,0.084881
399,13660.050428,11519.527348,0.022234,0.149859,0.172093
599,12774.281965,11002.745038,0.026395,0.185061,0.211457
799,11652.487429,8287.103822,0.027590,0.225996,0.253586
999,11023.007642,8505.088493,0.029235,0.264597,0.293832
1199,10320.564717,6808.350093,0.035776,0.308305,0.344081
1399,9778.235343,6524.259099,0.037153,0.376475,0.413628
1599,9547.115465,7929.276319,0.038539,0.414956,0.453495
1799,9358.014126,7845.203409,0.039877,0.445880,0.485757
1999,9146.864857,7246.521439,0.042003,0.484528,0.526531
2199,8788.276262,5202.390316,0.051098,0.513361,0.564459
2399,8512.867211,5483.367650,0.052275,0.542317,0.594592
2599,8246.842787,5054.549701,0.053776,0.580045,0.633820
2799,8122.678558,6508.543572,0.055390,0.615938,0.671328
2999,8024.799771,6654.496759,0.057223,0.654844,0.712066
3199,7805.629682,4518.078343,0.064784,0.706013,0.770797
3399,7651.122892,5179.014247,0.066167,0.751306,0.817473
3599,7572.437540,6234.786572,0.067701,0.788704,0.856406
3799,7417.161318,4622.189308,0.069203,0.827786,0.896989
3999,7293.982969,4953.594344,0.070777,0.865362,0.936139
4199,7175.138798,4798.255380,0.079981,0.907961,0.987942
4399,7041.286359,4230.385139,0.081401,0.948123,1.029524
4599,6939.151929,4692.194473,0.083105,0.987867,1.070971
4799,6798.563306,3565.024977,0.085241,1.042647,1.127889
4999,6699.296321,4316.888665,0.087154,1.083884,1.171038
5199,6596.164115,4017.858971,0.095935,1.119141,1.215076
5399,6493.821962,3832.925987,0.097294,1.163290,1.260584
5599,6434.594895,4835.464090,0.099397,1.216434,1.315831
5799,6367.013934,4474.747012,0.100965,1.268927,1.369892
5999,6277.404336,3678.725998,0.103025,1.334921,1.437947
6199,6184.536973,3398.516088,0.115125,1.373636,1.488761
6399,6095.810579,3345.292361,0.116377,1.413078,1.529455
6599,6006.069402,3134.351740,0.117915,1.444181,1.562096
6799,5923.010026,3182.050609,0.119176,1.467966,1.587143
6999,5852.569240,3457.582520,0.121141,1.501115,1.622257
7199,5772.002240,2952.157260,0.130447,1.535814,1.666261
7399,5706.735060,3357.116578,0.131843,1.571071,1.702914
7599,5644.443671,3339.662269,0.133551,1.604200,1.737752
7799,5580.819239,3163.090829,0.135300,1.634011,1.769311
7999,5534.119695,3712.837491,0.137243,1.668149,1.805392
8199,5468.420431,2840.449856,0.149014,1.715927,1.864941
8399,5408.545365,2953.667639,0.150463,1.755795,1.906258
8599,5339.326231,2432.122622,0.152180,1.795990,1.948170
8799,5287.341566,3052.000967,0.153888,1.828883,1.982771
8999,5236.879845,3016.564118,0.155552,1.856901,2.012452
9199,5172.470721,2274.060141,0.164883,1.889409,2.054292
9399,5123.518969,2871.738382,0.166303,1.923611,2.089913
9599,5069.222208,2517.274428,0.167812,1.953069,2.120880
9799,5038.603634,3568.912096,0.169755,1.992062,2.161816
9999,4989.280271,2572.435500,0.173501,2.065992,2.239493
10199,4943.686545,2664.000230,0.188175,2.137990,2.326165
10399,4903.024433,2829.256731,0.190528,2.200090,2.390618
10599,4857.585201,2494.745119,0.192586,2.242839,2.435425
10799,4807.818526,2170.184771,0.194988,2.290856,2.485844
10999,4769.882080,2721.313954,0.197492,2.336827,2.534319
11199,4732.447497,2673.545468,0.210305,2.384183,2.594488
11399,4685.773836,2072.048822,0.212584,2.442640,2.655225
11599,4655.550127,2932.798686,0.214809,2.486790,2.701598
11799,4616.475790,2350.164271,0.217651,2.540802,2.758453
11999,4581.258328,2503.428049,0.220219,2.612158,2.832377
12199,4541.829090,2176.074831,0.244355,2.678133,2.922488
12399,4509.447535,2534.172638,0.245796,2.743277,2.989073
12599,4476.224628,2416.404420,0.247560,2.787505,3.035065
12799,4445.118580,2485.437578,0.249370,2.833614,3.082984
12999,4413.181482,2369.207169,0.251671,2.877638,3.129309
13199,4380.225866,2238.110836,0.262718,2.918331,3.181049
13399,4348.129513,2229.770245,0.264402,2.956947,3.221349
13599,4321.141849,2512.968361,0.266410,2.998857,3.265267
13799,4289.601183,2144.835867,0.268349,3.036082,3.304431
13999,4257.832234,2065.774747,0.270332,3.070289,3.340621
14199,4227.172309,2080.977574,0.283016,3.106233,3.389249
14399,4194.950234,1907.182888,0.284480,3.140132,3.424612
14599,4168.709749,2279.394836,0.286597,3.179086,3.465684
14799,4137.828354,1883.486566,0.288374,3.239064,3.527438
14999,4110.050142,2054.462431,0.290212,3.273946,3.564158
15199,4084.513199,2169.242501,0.314772,3.315503,3.630275
15399,4056.508590,1928.158236,0.316445,3.354400,3.670845
15599,4030.838518,2054.243031,0.318372,3.392515,3.710886
15799,4005.422521,2022.974734,0.320309,3.433776,3.754085
15999,3986.148855,2463.529271,0.322321,3.470961,3.793281
16199,3952.998390,1300.961143,0.399875,3.510536,3.910410
16399,3921.890653,1402.164008,0.401212,3.543058,3.944270
16599,3890.601263,1324.871265,0.403142,3.583167,3.986309
16799,3862.175874,1502.868604,0.404916,3.619939,4.024855
16999,3834.704097,1527.074766,0.407002,3.658795,4.065797
17199,3808.752577,1602.873402,0.419270,3.708563,4.127833
17399,3781.092206,1402.300270,0.420921,3.745088,4.166008
17599,3753.780652,1377.675530,0.422779,3.779919,4.202698
17799,3727.262030,1393.623273,0.424721,3.814692,4.239413
17999,3703.715437,1608.068606,0.427052,3.853254,4.280306
18199,3674.451351,1040.683601,0.439112,3.883796,4.322908
18399,3648.763767,1311.193619,0.440680,3.921607,4.362287
18599,3623.076604,1259.857690,0.442188,3.951507,4.393695
18799,3597.377279,1207.340062,0.443785,3.980039,4.423824
18999,3577.293738,1689.440798,0.446273,4.048924,4.495197
19199,3555.490766,1484.208491,0.459667,4.088594,4.548261
19399,3535.745507,1640.200640,0.461149,4.129703,4.590853
19599,3512.097504,1218.241147,0.463061,4.166466,4.629527
19799,3492.796949,1601.342554,0.464765,4.198058,4.662823
19999,3471.279234,1341.025452,0.466306,4.225879,4.692186
20199,3448.530877,1173.695196,0.477123,4.250902,4.728025
20399,3427.285304,1281.482470,0.478513,4.282388,4.760901
20599,3407.084038,1346.554898,0.479855,4.308955,4.788810
20799,3389.520321,1580.457423,0.481661,4.344438,4.826099
20999,3369.263180,1262.520516,0.483144,4.370284,4.853428
21199,3351.791075,1517.220114,0.497157,4.404662,4.901819
21399,3333.394549,1383.362797,0.498261,4.429756,4.928016
21599,3313.813593,1218.651276,0.499816,4.459252,4.959067
21799,3297.018993,1483.202221,0.501375,4.487015,4.988390
21999,3277.524175,1152.589038,0.502953,4.514930,5.017883
22199,3262.308644,1588.600235,0.515050,4.554029,5.069079
22399,3245.173567,1343.180003,0.516300,4.582189,5.098489
22599,3228.795025,1394.398325,0.517721,4.609790,5.127511
22799,3211.742529,1284.810429,0.519417,4.641040,5.160458
22999,3194.662629,1247.554017,0.521020,4.667712,5.188732
23199,3181.604153,1679.879483,0.534434,4.708283,5.242717
23399,3167.345845,1513.382084,0.535963,4.744461,5.280424
23599,3155.293069,1745.118277,0.537595,4.777204,5.314799
23799,3140.572805,1403.581661,0.539069,4.804593,5.343662
23999,3125.802392,1368.123281,0.540979,4.835713,5.376692
24199,3112.256427,1486.740556,0.554382,4.867360,5.421742
24399,3098.411911,1423.225532,0.555823,4.902491,5.458315
24599,3085.207548,1474.275278,0.557290,4.931125,5.488414
24799,3071.503503,1385.905909,0.558685,4.956303,5.514989
24999,3058.205782,1409.288344,0.560369,4.984198,5.544567
25199,3043.043372,1147.742127,0.573208,5.023329,5.596537
25399,3029.863320,1369.176798,0.574663,5.056381,5.631044
25599,3020.640987,1849.404679,0.576147,5.089799,5.665946
25799,3008.862871,1501.264059,0.577596,5.116662,5.694257
25999,2995.632157,1288.870066,0.579307,5.145131,5.724437
26199,2982.427324,1265.799008,0.594187,5.173597,5.767784
26399,2970.621332,1424.036379,0.595635,5.207334,5.802969
26599,2957.175417,1182.314615,0.597100,5.237629,5.834729
26799,2945.598332,1405.846022,0.598726,5.268310,5.867036
26999,2933.377687,1295.811336,0.600464,5.297640,5.898104
27199,2922.466933,1449.515080,0.615278,5.327471,5.942749
27399,2909.916565,1203.066476,0.616516,5.355982,5.972497
27599,2898.155218,1286.850750,0.617777,5.382059,5.999836
27799,2888.814017,1599.728211,0.619561,5.412491,6.032052
27999,2877.514248,1306.846405,0.621243,5.444598,6.065841
28199,2868.436355,1597.531278,0.637216,5.473708,6.110924
28399,2859.539233,1605.045027,0.638620,5.505064,6.143683
28599,2849.780992,1464.110783,0.639974,5.532916,6.172890
28799,2839.834081,1417.425787,0.641537,5.561171,6.202708
28999,2830.403823,1472.446665,0.643112,5.587230,6.230343
29199,2822.603171,1691.508673,0.659650,5.619476,6.279126
29399,2811.836168,1239.853739,0.660829,5.650004,6.310833
29599,2801.524929,1285.772744,0.662279,5.679393,6.341672
29799,2792.167685,1407.295578,0.663675,5.705679,6.369355
29999,2783.369947,1472.506997,0.665337,5.733241,6.398578
30199,2774.229173,1403.113157,0.680719,5.760260,6.440978
30399,2765.576710,1459.054797,0.682077,5.792132,6.474209
30599,2757.646691,1552.283763,0.683613,5.821049,6.504661
30799,2748.269878,1313.617553,0.685122,5.847977,6.533099
30999,2740.631067,1564.254051,0.686765,5.876223,6.562988
31199,2731.202764,1269.815862,0.702842,5.904658,6.607500
31399,2724.910101,1743.254711,0.704630,5.950637,6.655268
31599,2716.990241,1473.572183,0.706255,5.984396,6.690650
31799,2709.022148,1450.063383,0.707989,6.017222,6.725211
31999,2700.731711,1382.552326,0.709431,6.043668,6.753099
32199,2694.563140,1707.591814,0.779520,6.097544,6.877064
32399,2685.597235,1242.086463,0.780829,6.129167,6.909997
32599,2678.906060,1594.935688,0.782079,6.154294,6.936373
32799,2671.975316,1542.264130,0.783695,6.187145,6.970840
32999,2665.736153,1642.513414,0.785383,6.215136,7.000519
33199,2661.374378,1941.681445,0.795401,6.243773,7.039174
33399,2653.360677,1323.086247,0.796860,6.279737,7.076596
33599,2646.830878,1556.354566,0.798547,6.311255,7.109802
33799,2639.217806,1360.221614,0.800091,6.342458,7.142548
33999,2634.096908,1768.665275,0.802047,6.380982,7.183028
34199,2629.033347,1768.227850,0.814581,6.408961,7.223542
34399,2623.466760,1671.580507,0.815941,6.440708,7.256649
34599,2616.889822,1485.656437,0.817342,6.469060,7.286401
34799,2611.464382,1672.863198,0.819507,6.513767,7.333274
34999,2605.016527,1483.089766,0.821017,6.541128,7.362145
35199,2596.649345,1132.392464,0.833694,6.578457,7.412150
35399,2589.876576,1397.869340,0.835096,6.629405,7.464501
35599,2582.820565,1333.906622,0.836872,6.680325,7.517198
35799,2575.468350,1266.774109,0.838474,6.716972,7.555446
35999,2571.171709,1802.072906,0.840477,6.760679,7.601156
36199,2564.697612,1399.360141,0.853119,6.803686,7.656805
36399,2557.426287,1241.316499,0.854515,6.844225,7.698740
36599,2550.813192,1347.229764,0.856194,6.884577,7.740771
36799,2545.426231,1559.612429,0.857841,6.923814,7.781655
36999,2540.606309,1653.740777,0.859560,6.950526,7.810086
37199,2534.009203,1313.544561,0.873385,6.976002,7.849387
