# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.020232,0.050289,0.070521
399,13660.050428,11519.527348,0.024699,0.107375,0.132074
599,12774.281965,11002.745038,0.028292,0.147980,0.176272
799,11652.487429,8287.103822,0.029703,0.191821,0.221524
999,11023.007642,8505.088493,0.031226,0.227638,0.258864
1199,10320.564717,6808.350093,0.046142,0.293846,0.339988
1399,9778.235343,6524.259099,0.047812,0.354828,0.402640
1599,9547.115465,7929.276319,0.049263,0.414016,0.463279
1799,9358.014126,7845.203409,0.050863,0.453211,0.504074
1999,9146.864857,7246.521439,0.052715,0.486619,0.539333
2199,8788.276262,5202.390316,0.060177,0.526479,0.586656
2399,8512.867211,5483.367650,0.061753,0.569709,0.631462
2599,8246.842787,5054.549701,0.063674,0.614703,0.678376
2799,8122.678558,6508.543572,0.065208,0.643035,0.708243
2999,8024.799771,6654.496759,0.066906,0.690052,0.756958
3199,7805.629682,4518.078343,0.075938,0.725382,0.801320
3399,7651.122892,5179.014247,0.077360,0.760220,0.837580
3599,7572.437540,6234.786572,0.079071,0.804051,0.883122
3799,7417.161318,4622.189308,0.080658,0.834528,0.915186
3999,7293.982969,4953.594344,0.082333,0.865769,0.948102
4199,7175.138798,4798.255380,0.091844,0.896941,0.988785
4399,7041.286359,4230.385139,0.093284,0.934104,1.027388
4599,6939.151929,4692.194473,0.094918,0.975562,1.070481
4799,6798.563306,3565.024977,0.097237,1.062667,1.159905
4999,6699.296321,4316.888665,0.099083,1.102662,1.201745
5199,6596.164115,4017.858971,0.107015,1.141053,1.248067
5399,6493.821962,3832.925987,0.108319,1.177315,1.285634
5599,6434.594895,4835.464090,0.109799,1.213867,1.323666
5799,6367.013934,4474.747012,0.111362,1.244656,1.356018
5999,6277.404336,3678.725998,0.113131,1.276364,1.389494
6199,6184.536973,3398.516088,0.121908,1.312136,1.434044
6399,6095.810579,3345.292361,0.123319,1.351336,1.474655
6599,6006.069402,3134.351740,0.124951,1.385030,1.509981
6799,5923.010026,3182.050609,0.126753,1.422453,1.549206
6999,5852.569240,3457.582520,0.128411,1.454067,1.582478
7199,5772.002240,2952.157260,0.138704,1.492448,1.631152
7399,5706.735060,3357.116578,0.140191,1.529564,1.669755
7599,5644.443671,3339.662269,0.141664,1.566103,1.707767
7799,5580.819239,3163.090829,0.143254,1.596668,1.739922
7999,5534.119695,3712.837491,0.145249,1.636192,1.781441
8199,5468.420431,2840.449856,0.157370,1.679479,1.836849
8399,5408.545365,2953.667639,0.158567,1.709291,1.867858
8599,5339.326231,2432.122622,0.160013,1.740045,1.900058
8799,5287.341566,3052.000967,0.161716,1.778518,1.940234
8999,5236.879845,3016.564118,0.163645,1.814672,1.978317
9199,5172.470721,2274.060141,0.176072,1.844497,2.020569
9399,5123.518969,2871.738382,0.177544,1.885376,2.062921
9599,5069.222208,2517.274428,0.179171,1.922006,2.101177
9799,5038.603634,3568.912096,0.180768,1.951914,2.132682
9999,4989.280271,2572.435500,0.182359,1.980959,2.163318
10199,4943.686545,2664.000230,0.197900,2.023741,2.221640
10399,4903.024433,2829.256731,0.199276,2.057100,2.256376
10599,4857.585201,2494.745119,0.200754,2.089367,2.290121
10799,4807.818526,2170.184771,0.202343,2.118819,2.321162
10999,4769.882080,2721.313954,0.204055,2.155799,2.359854
11199,4732.447497,2673.545468,0.220024,2.200681,2.420706
11399,4685.773836,2072.048822,0.221696,2.251111,2.472807
11599,4655.550127,2932.798686,0.223599,2.295335,2.518933
11799,4616.475790,2350.164271,0.225107,2.326125,2.551232
11999,4581.258328,2503.428049,0.226602,2.353232,2.579834
12199,4541.829090,2176.074831,0.239124,2.391359,2.630483
12399,4509.447535,2534.172638,0.240417,2.428657,2.669075
12599,4476.224628,2416.404420,0.241808,2.458940,2.700749
12799,4445.118580,2485.437578,0.243526,2.499730,2.743256
12999,4413.181482,2369.207169,0.245495,2.533692,2.779187
13199,4380.225866,2238.110836,0.256994,2.571455,2.828449
13399,4348.129513,2229.770245,0.258702,2.622390,2.881092
13599,4321.141849,2512.968361,0.260063,2.650281,2.910344
13799,4289.601183,2144.835867,0.261568,2.680591,2.942158
13999,4257.832234,2065.774747,0.263216,2.712754,2.975970
14199,4227.172309,2080.977574,0.275915,2.742976,3.018891
14399,4194.950234,1907.182888,0.277236,2.772715,3.049951
14599,4168.709749,2279.394836,0.279236,2.819935,3.099171
14799,4137.828354,1883.486566,0.280757,2.850059,3.130816
14999,4110.050142,2054.462431,0.282661,2.882353,3.165013
15199,4084.513199,2169.242501,0.294694,2.912751,3.207445
15399,4056.508590,1928.158236,0.296008,2.949815,3.245822
15599,4030.838518,2054.243031,0.297830,2.988536,3.286366
15799,4005.422521,2022.974734,0.299327,3.018211,3.317538
15999,3986.148855,2463.529271,0.301073,3.050364,3.351437
16199,3952.998390,1300.961143,0.366447,3.089343,3.455790
16399,3921.890653,1402.164008,0.367769,3.121278,3.489047
16599,3890.601263,1324.871265,0.369287,3.152031,3.521318
16799,3862.175874,1502.868604,0.371282,3.195799,3.567082
16999,3834.704097,1527.074766,0.373170,3.226834,3.600004
17199,3808.752577,1602.873402,0.385914,3.271286,3.657201
17399,3781.092206,1402.300270,0.387341,3.309156,3.696496
17599,3753.780652,1377.675530,0.388707,3.337312,3.726019
17799,3727.262030,1393.623273,0.390315,3.368286,3.758601
17999,3703.715437,1608.068606,0.391992,3.404024,3.796016
18199,3674.451351,1040.683601,0.403024,3.437259,3.840283
18399,3648.763767,1311.193619,0.404599,3.478907,3.883506
18599,3623.076604,1259.857690,0.406021,3.514921,3.920942
18799,3597.377279,1207.340062,0.407988,3.562833,3.970821
18999,3577.293738,1689.440798,0.409913,3.610712,4.020625
19199,3555.490766,1484.208491,0.425050,3.653437,4.078487
19399,3535.745507,1640.200640,0.426489,3.688397,4.114886
19599,3512.097504,1218.241147,0.427992,3.720527,4.148519
19799,3492.796949,1601.342554,0.429728,3.755685,4.185413
19999,3471.279234,1341.025452,0.431875,3.797696,4.229570
20199,3448.530877,1173.695196,0.444768,3.832089,4.276856
20399,3427.285304,1281.482470,0.446223,3.873251,4.319474
20599,3407.084038,1346.554898,0.447977,3.908866,4.356842
20799,3389.520321,1580.457423,0.450127,3.956954,4.407081
20999,3369.263180,1262.520516,0.452203,4.025051,4.477254
21199,3351.791075,1517.220114,0.464223,4.061227,4.525450
21399,3333.394549,1383.362797,0.465421,4.089060,4.554482
21599,3313.813593,1218.651276,0.466935,4.120588,4.587523
21799,3297.018993,1483.202221,0.468564,4.152995,4.621559
21999,3277.524175,1152.589038,0.470170,4.182053,4.652223
22199,3262.308644,1588.600235,0.484267,4.215792,4.700059
22399,3245.173567,1343.180003,0.485595,4.247216,4.732811
22599,3228.795025,1394.398325,0.487167,4.281073,4.768240
22799,3211.742529,1284.810429,0.488714,4.310779,4.799493
22999,3194.662629,1247.554017,0.490399,4.343506,4.833905
23199,3181.604153,1679.879483,0.503475,4.381975,4.885450
23399,3167.345845,1513.382084,0.504904,4.415848,4.920752
23599,3155.293069,1745.118277,0.506520,4.447926,4.954445
23799,3140.572805,1403.581661,0.508133,4.477861,4.985994
23999,3125.802392,1368.123281,0.509767,4.509532,5.019298
24199,3112.256427,1486.740556,0.525389,4.538064,5.063453
24399,3098.411911,1423.225532,0.526771,4.568871,5.095642
24599,3085.207548,1474.275278,0.528111,4.596543,5.124655
24799,3071.503503,1385.905909,0.529613,4.626879,5.156491
24999,3058.205782,1409.288344,0.531387,4.661329,5.192716
25199,3043.043372,1147.742127,0.546983,4.712812,5.259795
25399,3029.863320,1369.176798,0.548409,4.746059,5.294468
25599,3020.640987,1849.404679,0.549847,4.776940,5.326787
25799,3008.862871,1501.264059,0.551375,4.807248,5.358623
25999,2995.632157,1288.870066,0.553165,4.841116,5.394282
26199,2982.427324,1265.799008,0.567165,4.871691,5.438856
26399,2970.621332,1424.036379,0.568580,4.903966,5.472545
26599,2957.175417,1182.314615,0.570009,4.932615,5.502624
26799,2945.598332,1405.846022,0.571551,4.967841,5.539392
26999,2933.377687,1295.811336,0.573403,5.007779,5.581182
