# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_gradual2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.520780,0.042884,0.563664
399,13660.050428,11519.527348,0.524763,0.085364,0.610127
599,12774.281965,11002.745038,0.528927,0.127654,0.656581
799,11652.487429,8287.103822,0.531055,0.169760,0.700815
999,11023.007642,8505.088493,0.533309,0.211923,0.745231
1199,10320.564717,6808.350093,0.539658,0.254279,0.793936
1399,9778.235343,6524.259099,0.541843,0.296502,0.838345
1599,9547.115465,7929.276319,0.544138,0.338906,0.883043
1799,9358.014126,7845.203409,0.546557,0.381303,0.927860
1999,9146.864857,7246.521439,0.549111,0.423644,0.972755
2199,8788.276262,5202.390316,0.556552,0.465815,1.022367
2399,8512.867211,5483.367650,0.558736,0.507752,1.066489
2599,8246.842787,5054.549701,0.561016,0.549747,1.110763
2799,8122.678558,6508.543572,0.563408,0.591705,1.155113
2999,8024.799771,6654.496759,0.565958,0.633765,1.199723
3199,7805.629682,4518.078343,0.573393,0.675838,1.249231
3399,7651.122892,5179.014247,0.575587,0.717901,1.293488
3599,7572.437540,6234.786572,0.577871,0.759949,1.337819
3799,7417.161318,4622.189308,0.580259,0.802106,1.382365
3999,7293.982969,4953.594344,0.582824,0.844399,1.427223
4199,7175.138798,4798.255380,0.590129,0.886522,1.476651
4399,7041.286359,4230.385139,0.592338,0.928677,1.521014
4599,6939.151929,4692.194473,0.594629,0.970781,1.565410
4799,6798.563306,3565.024977,0.597031,1.012945,1.609976
4999,6699.296321,4316.888665,0.599586,1.055016,1.654602
5199,6596.164115,4017.858971,0.607092,1.097263,1.704356
5399,6493.821962,3832.925987,0.609276,1.139460,1.748736
5599,6434.594895,4835.464090,0.611597,1.181780,1.793377
5799,6367.013934,4474.747012,0.614057,1.224131,1.838188
5999,6277.404336,3678.725998,0.616606,1.266513,1.883119
6199,6184.536973,3398.516088,0.624082,1.308793,1.932875
6399,6095.810579,3345.292361,0.626274,1.350834,1.977108
6599,6006.069402,3134.351740,0.628594,1.392880,2.021474
6799,5923.010026,3182.050609,0.631030,1.435005,2.066034
6999,5852.569240,3457.582520,0.633584,1.477213,2.110797
7199,5772.002240,2952.157260,0.641220,1.519366,2.160585
7399,5706.735060,3357.116578,0.643419,1.561348,2.204767
7599,5644.443671,3339.662269,0.645713,1.603487,2.249201
7799,5580.819239,3163.090829,0.648143,1.645709,2.293851
7999,5534.119695,3712.837491,0.650681,1.687792,2.338473
8199,5468.420431,2840.449856,0.658347,1.729906,2.388253
8399,5408.545365,2953.667639,0.660533,1.771885,2.432417
8599,5339.326231,2432.122622,0.662855,1.814124,2.476979
8799,5287.341566,3052.000967,0.665285,1.856202,2.521486
8999,5236.879845,3016.564118,0.667841,1.898445,2.566286
9199,5172.470721,2274.060141,0.675568,1.940986,2.616554
9399,5123.518969,2871.738382,0.677774,1.983490,2.661264
9599,5069.222208,2517.274428,0.680077,2.025926,2.706004
9799,5038.603634,3568.912096,0.682529,2.068855,2.751384
9999,4989.280271,2572.435500,0.685149,2.113666,2.798815
10199,4943.686545,2664.000230,0.692888,2.156777,2.849665
10399,4903.024433,2829.256731,0.695122,2.199811,2.894933
10599,4857.585201,2494.745119,0.697459,2.242867,2.940326
10799,4807.818526,2170.184771,0.699913,2.285940,2.985854
10999,4769.882080,2721.313954,0.702550,2.329795,3.032345
11199,4732.447497,2673.545468,0.710640,2.373519,3.084159
11399,4685.773836,2072.048822,0.712881,2.416362,3.129243
11599,4655.550127,2932.798686,0.715263,2.459883,3.175147
11799,4616.475790,2350.164271,0.717755,2.503122,3.220877
11999,4581.258328,2503.428049,0.720368,2.545995,3.266363
12199,4541.829090,2176.074831,0.728554,2.589863,3.318417
