# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,0.222121,0.222121,0.526041,0.043196,0.569237
399,0.210428,0.198735,0.530034,0.086060,0.616093
599,0.210064,0.209336,0.534322,0.128736,0.663058
799,0.197343,0.159180,0.536535,0.171229,0.707764
999,0.196028,0.190769,0.538867,0.213850,0.752717
1199,0.196659,0.199810,0.545289,0.256151,0.801440
1399,0.191452,0.160210,0.547564,0.298424,0.845988
1599,0.189099,0.172635,0.549926,0.340761,0.890687
1799,0.186648,0.167033,0.552390,0.383234,0.935624
1999,0.188672,0.206887,0.555018,0.425532,0.980550
2199,0.185545,0.154281,0.562614,0.467953,1.030567
2399,0.182042,0.143508,0.564896,0.510198,1.075094
2599,0.179206,0.145168,0.567304,0.552809,1.120113
2799,0.175286,0.124331,0.569835,0.595191,1.165026
2999,0.174303,0.160540,0.572499,0.637903,1.210402
3199,0.175721,0.196989,0.579978,0.680288,1.260266
3399,0.174448,0.154077,0.582248,0.722600,1.304848
3599,0.173133,0.150785,0.584657,0.765007,1.349665
3799,0.172077,0.153075,0.587190,0.807486,1.394676
3999,0.170872,0.147979,0.589841,0.849893,1.439734
4199,0.168403,0.119012,0.597371,0.892542,1.489913
4399,0.167459,0.147628,0.599622,0.934872,1.534493
4599,0.166421,0.143601,0.602008,0.977243,1.579251
4799,0.165182,0.136688,0.604518,1.019785,1.624303
4999,0.164736,0.154027,0.607148,1.062258,1.669405
5199,0.164216,0.151214,0.614809,1.104789,1.719598
5399,0.163540,0.145963,0.617108,1.147326,1.764434
5599,0.162985,0.148002,0.619504,1.189685,1.809189
5799,0.161889,0.131188,0.622038,1.232168,1.854207
5999,0.160560,0.122018,0.624705,1.275040,1.899745
6199,0.160624,0.162566,0.632453,1.317609,1.950063
6399,0.160111,0.144195,0.634724,1.360164,1.994888
6599,0.159766,0.148740,0.637105,1.402623,2.039728
6799,0.159379,0.146607,0.639629,1.445092,2.084721
6999,0.159209,0.153433,0.642272,1.487625,2.129897
7199,0.158347,0.128144,0.649982,1.530341,2.180323
7399,0.157877,0.140969,0.652269,1.573113,2.225382
7599,0.157226,0.133152,0.654693,1.615784,2.270476
7799,0.157111,0.152720,0.657213,1.658424,2.315637
7999,0.156990,0.152297,0.659850,1.701126,2.360976
8199,0.156890,0.152868,0.667581,1.743790,2.411371
8399,0.156361,0.134691,0.669871,1.788153,2.458024
8599,0.156454,0.160344,0.672240,1.830829,2.503069
8799,0.156320,0.150568,0.674739,1.873526,2.548266
8999,0.155566,0.122384,0.677360,1.916194,2.593554
