# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,15800.573508,15800.573508,0.637606,0.043209,0.680814
399,13660.050428,11519.527348,0.716662,0.087617,0.804279
599,12774.281965,11002.745038,0.795861,0.131783,0.927644
799,11652.487429,8287.103822,0.872922,0.175711,1.048633
999,11023.007642,8505.088493,0.949327,0.219105,1.168431
1199,10320.564717,6808.350093,1.030217,0.262784,1.293001
1399,9778.235343,6524.259099,1.106559,0.306475,1.413034
1599,9404.737289,6790.250908,1.227810,0.350391,1.578201
1799,8790.183510,3873.753278,1.305087,0.394144,1.699231
1999,8230.360453,3191.952941,1.416632,0.438236,1.854868
2199,7675.558340,2127.537207,1.497261,0.482420,1.979681
2399,7206.301867,2044.480675,1.601575,0.526504,2.128079
2599,6800.645485,1932.768899,1.684321,0.570489,2.254810
2799,6447.738009,1859.940823,1.762229,0.614597,2.376826
2999,6169.592384,2275.553635,1.908978,0.658883,2.567860
3199,5963.506017,2872.210508,1.989690,0.702727,2.692417
3399,5807.394858,3309.616306,2.070259,0.746678,2.816937
3599,5673.976448,3405.863484,2.148186,0.790731,2.938917
3799,5531.026594,2957.929215,2.226239,0.835861,3.062101
3999,5394.781117,2806.117057,2.307398,0.879502,3.186900
4199,5268.738616,2747.888600,2.384911,0.923081,3.307992
4399,5146.666330,2583.148321,2.462770,0.966746,3.429516
4599,5037.045827,2625.394761,2.540728,1.013089,3.553817
4799,4929.612359,2458.642601,2.619430,1.056658,3.676088
4999,4874.325356,3547.437290,2.701499,1.100585,3.802084
5199,4818.864148,3432.333933,2.779269,1.144251,3.923521
5399,4767.121476,3421.812009,2.857698,1.188079,4.045777
