# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,15800.573508,15800.573508,0.582551,0.043316,0.625868
399,13660.050428,11519.527348,0.660930,0.087449,0.748379
599,12774.281965,11002.745038,0.739462,0.131168,0.870630
799,11652.487429,8287.103822,0.816337,0.174968,0.991305
999,11023.007642,8505.088493,0.893126,0.218820,1.111946
1199,10320.564717,6808.350093,0.973926,0.262590,1.236517
1399,9778.235343,6524.259099,1.050092,0.306230,1.356321
1599,9404.737289,6790.250908,1.170629,0.349879,1.520508
1799,8790.183510,3873.753278,1.247365,0.393323,1.640688
1999,8230.360453,3191.952941,1.358105,0.436932,1.795038
2199,7675.558340,2127.537207,1.438407,0.480816,1.919223
2399,7206.301867,2044.480675,1.542193,0.524973,2.067166
2599,6800.645485,1932.768899,1.625076,0.569121,2.194197
2799,6447.738009,1859.940823,1.703152,0.613449,2.316600
2999,6169.592384,2275.553635,1.849786,0.657806,2.507593
3199,5963.506017,2872.210508,1.930448,0.701568,2.632016
3399,5807.394858,3309.616306,2.010861,0.745464,2.756324
3599,5673.976448,3405.863484,2.088490,0.789115,2.877604
3799,5531.026594,2957.929215,2.166542,0.834201,3.000743
3999,5394.781117,2806.117057,2.247961,0.877794,3.125754
4199,5268.738616,2747.888600,2.325463,0.921488,3.246951
4399,5146.666330,2583.148321,2.403319,0.965205,3.368525
4599,5037.045827,2625.394761,2.481162,1.008795,3.489957
4799,4929.612359,2458.642601,2.560124,1.052603,3.612727
4999,4874.325356,3547.437290,2.641810,1.096302,3.738112
5199,4818.864148,3432.333933,2.719009,1.139595,3.858604
5399,4767.121476,3421.812009,2.796416,1.182936,3.979351
5599,4718.088825,3394.207241,2.875893,1.226792,4.102685
5799,4647.818217,2680.241194,2.955874,1.271360,4.227233
5999,4581.219566,2649.858684,3.039349,1.315794,4.355143
6199,4520.194292,2689.436075,3.118438,1.359962,4.478400
6399,4445.102955,2117.271500,3.198964,1.404531,4.603496
6599,4403.029263,3056.671138,3.278306,1.448624,4.726930
6799,4357.748090,2863.469388,3.358560,1.493313,4.851873
6999,4307.088303,2584.655532,3.441898,1.537880,4.979778
7199,4249.236442,2224.421293,3.522055,1.582333,5.104389
7399,4217.024407,3057.391144,3.601290,1.626549,5.227839
