# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
199,0.198737,0.198737,0.641199,0.043249,0.684449
399,0.172683,0.146628,0.720289,0.087444,0.807733
599,0.175819,0.182093,0.800185,0.131797,0.931982
799,0.166877,0.140050,0.878086,0.175747,1.053834
999,0.167490,0.169942,0.955998,0.219884,1.175882
1199,0.164187,0.147670,1.037102,0.263213,1.300315
1399,0.162178,0.150125,1.114226,0.307006,1.421232
1599,0.160846,0.151522,1.191626,0.350314,1.541941
1799,0.158828,0.142682,1.269142,0.393945,1.663087
1999,0.159954,0.170092,1.346832,0.437546,1.784378
2199,0.159787,0.158111,1.429911,0.481112,1.911023
2399,0.158786,0.147774,1.507881,0.524585,2.032466
2599,0.157187,0.138004,1.585543,0.568075,2.153618
2799,0.156403,0.146218,1.701316,0.611181,2.312497
2999,0.154855,0.133173,1.779031,0.655138,2.434169
3199,0.153432,0.132091,1.862783,0.698853,2.561636
3399,0.153954,0.162298,1.940345,0.742620,2.682965
3599,0.153838,0.151877,2.018484,0.786441,2.804926
3799,0.152333,0.125249,2.096213,0.829940,2.926153
3999,0.151642,0.138502,2.175270,0.873573,3.048843
4199,0.151977,0.158681,2.261253,0.917525,3.178777
4399,0.151341,0.137994,2.339434,0.961428,3.300862
4599,0.150357,0.128694,2.417804,1.005547,3.423351
4799,0.149653,0.133474,2.496984,1.049396,3.546380
4999,0.148823,0.128897,2.575506,1.093203,3.668709
5199,0.148497,0.140338,2.660095,1.137037,3.797132
5399,0.148104,0.137897,2.738450,1.181025,3.919476
5599,0.148141,0.149127,2.817615,1.225053,4.042667
5799,0.148355,0.154352,2.896401,1.269242,4.165643
5999,0.149376,0.178974,2.975561,1.313219,4.288780
6199,0.149400,0.150126,3.067101,1.360101,4.427202
6399,0.149057,0.138417,3.146455,1.404028,4.550483
6599,0.149074,0.149646,3.225199,1.448095,4.673294
6799,0.149047,0.148131,3.304229,1.492186,4.796415
6999,0.149086,0.150432,3.383436,1.536259,4.919696
7199,0.148647,0.133267,3.467520,1.580861,5.048381
7399,0.147665,0.112305,3.547343,1.625432,5.172775
7599,0.147180,0.129264,3.627591,1.670153,5.297744
7799,0.147093,0.143785,3.707735,1.714779,5.422514
7999,0.146084,0.106734,3.788729,1.759346,5.548075
8199,0.145739,0.131945,3.872937,1.804278,5.677215
8399,0.145345,0.129181,3.953036,1.849083,5.802119
8599,0.145297,0.143291,4.033524,1.893874,5.927398
8799,0.144448,0.107926,4.115137,1.938684,6.053821
8999,0.144505,0.146993,4.195983,1.983351,6.179334
9199,0.144095,0.125671,4.280047,2.027968,6.308015
9399,0.143841,0.132140,4.384731,2.073039,6.457771
9599,0.143989,0.150928,4.472048,2.118227,6.590274
9799,0.143976,0.143367,4.553303,2.163229,6.716531
9999,0.144303,0.160345,4.635002,2.208319,6.843320
10199,0.144810,0.170133,4.721927,2.253353,6.975280
10399,0.145267,0.168580,4.804073,2.298141,7.102214
10599,0.145590,0.162394,4.885398,2.342951,7.228349
10799,0.146067,0.171329,4.967179,2.387780,7.354959
10999,0.145691,0.125408,5.048994,2.432526,7.481520
11199,0.145929,0.159012,5.138302,2.477622,7.615924
11399,0.146016,0.150911,5.219975,2.522722,7.742697
11599,0.146454,0.171389,5.301716,2.567638,7.869354
11799,0.146777,0.165539,5.383433,2.612569,7.996002
11999,0.147118,0.167203,5.465928,2.657311,8.123240
12199,0.146915,0.134772,5.554426,2.702380,8.256806
12399,0.146732,0.135544,5.636047,2.747280,8.383327
12599,0.147074,0.168297,5.717675,2.792114,8.509789
12799,0.147198,0.154996,5.800683,2.837057,8.637740
12999,0.146935,0.130124,5.882993,2.882042,8.765034
13199,0.147425,0.179249,5.971396,2.926885,8.898282
13399,0.147767,0.170358,6.052977,2.971791,9.024768
13599,0.147706,0.143575,6.135392,3.016702,9.152094
13799,0.147603,0.140653,6.217428,3.061799,9.279227
13999,0.147675,0.152612,6.299681,3.106826,9.406508
14199,0.147500,0.135282,6.387996,3.151600,9.539596
14399,0.148073,0.188744,6.470815,3.196657,9.667472
14599,0.148404,0.172227,6.552771,3.241624,9.794395
14799,0.148707,0.170856,6.634889,3.286689,9.921578
14999,0.148781,0.154263,6.717315,3.331831,10.049146
15199,0.148785,0.149037,6.806827,3.376719,10.183546
15399,0.149313,0.189479,6.888452,3.423129,10.311581
15599,0.149442,0.159341,6.970388,3.468210,10.438598
15799,0.149347,0.141950,7.096911,3.512827,10.609738
15999,0.149056,0.126048,7.175447,3.557000,10.732448
16199,0.148595,0.111739,7.259968,3.601832,10.861800
16399,0.148485,0.139531,7.341713,3.646533,10.988246
16599,0.148749,0.170430,7.423643,3.691369,11.115013
16799,0.148228,0.104979,7.506604,3.736152,11.242756
16999,0.147955,0.125060,7.588804,3.780921,11.369725
17199,0.148160,0.165522,7.674811,3.825881,11.500692
17399,0.148081,0.141279,7.756611,3.870627,11.627238
17599,0.148025,0.143220,7.839219,3.915280,11.754499
17799,0.147641,0.113811,7.921256,3.959927,11.881183
17999,0.147480,0.133118,8.003342,4.004595,12.007937
18199,0.147467,0.146354,8.089510,4.049415,12.138925
18399,0.147240,0.126599,8.171746,4.093987,12.265732
18599,0.147251,0.148196,8.281403,4.138686,12.420089
18799,0.147015,0.125100,8.367582,4.183506,12.551089
18999,0.147329,0.176839,8.448841,4.227732,12.676574
19199,0.147508,0.164554,8.536646,4.272268,12.808914
19399,0.147658,0.162058,8.618289,4.317263,12.935552
19599,0.148051,0.186117,8.699470,4.361908,13.061378
19799,0.147911,0.134236,8.781286,4.406738,13.188023
19999,0.147805,0.137300,8.864152,4.451534,13.315686
20199,0.147731,0.140296,8.952966,4.496410,13.449376
20399,0.147848,0.159643,9.034153,4.540888,13.575042
20599,0.148035,0.167202,9.115625,4.585614,13.701239
20799,0.148189,0.164029,9.253172,4.630419,13.883591
20999,0.148582,0.189388,9.327317,4.674925,14.002243
21199,0.148365,0.125673,9.412093,4.719711,14.131804
21399,0.148411,0.153211,9.494026,4.764656,14.258682
21599,0.148143,0.119453,9.576615,4.809478,14.386093
21799,0.147925,0.124467,9.658534,4.854282,14.512816
21999,0.147937,0.149172,9.740477,4.898914,14.639391
22199,0.147961,0.150634,9.826270,4.943786,14.770056
22399,0.147674,0.115867,9.908641,4.988332,14.896973
22599,0.147487,0.126508,9.990070,5.032842,15.022912
22799,0.147263,0.121906,10.071903,5.077366,15.149269
22999,0.147291,0.150464,10.154314,5.122147,15.276461
23199,0.147401,0.160114,10.241022,5.166811,15.407833
23399,0.147336,0.139833,10.322847,5.211608,15.534455
23599,0.147184,0.129349,10.404779,5.256277,15.661056
23799,0.147334,0.165004,10.486558,5.300915,15.787472
23999,0.147203,0.131649,10.570038,5.345910,15.915948
24199,0.147017,0.124683,10.656069,5.390846,16.046915
24399,0.147045,0.150484,10.737274,5.435544,16.172819
24599,0.147153,0.160327,10.819340,5.480598,16.299938
24799,0.147052,0.134640,10.902044,5.525462,16.427507
24999,0.147325,0.181088,10.984226,5.570634,16.554860
25199,0.147336,0.148745,11.070358,5.615525,16.685883
25399,0.147049,0.110869,11.151578,5.659928,16.811505
25599,0.147037,0.145475,11.234363,5.704587,16.938950
25799,0.146913,0.131154,11.315802,5.749272,17.065075
25999,0.146938,0.150066,11.397723,5.793890,17.191613
26199,0.146980,0.152484,11.483463,5.838601,17.322064
26399,0.146909,0.137616,11.565970,5.883322,17.449292
26599,0.146737,0.124029,11.647705,5.927958,17.575662
26799,0.146596,0.127900,11.729955,5.972896,17.702851
26999,0.146310,0.107961,11.812041,6.017519,17.829560
27199,0.146128,0.121483,11.899196,6.062415,17.961611
27399,0.146085,0.140213,11.980997,6.107336,18.088333
27599,0.146031,0.138692,12.062919,6.152031,18.214950
27799,0.145843,0.119926,12.145039,6.196977,18.342017
27999,0.145704,0.126322,12.228008,6.241822,18.469830
28199,0.145533,0.121672,12.314362,6.286846,18.601208
28399,0.145598,0.154721,12.396102,6.331663,18.727765
28599,0.145662,0.154735,12.478094,6.376572,18.854666
28799,0.145626,0.140539,12.560960,6.421300,18.982260
28999,0.145648,0.148837,12.643127,6.466132,19.109259
29199,0.145916,0.184667,12.729254,6.510879,19.240133
29399,0.145722,0.117480,12.810690,6.555598,19.366288
29599,0.145747,0.149396,12.893460,6.600287,19.493747
29799,0.145772,0.149480,12.975647,6.645166,19.620813
29999,0.145862,0.159240,13.057892,6.689989,19.747881
30199,0.145670,0.116893,13.144164,6.734915,19.879079
30399,0.145511,0.121512,13.226556,6.779628,20.006184
30599,0.145523,0.147362,13.308533,6.824513,20.133046
30799,0.145497,0.141541,13.390653,6.869301,20.259954
30999,0.145677,0.173279,13.473040,6.914230,20.387271
31199,0.145592,0.132422,13.562212,6.959049,20.521261
31399,0.145581,0.143954,13.643460,7.003424,20.646884
31599,0.145610,0.150110,13.725405,7.048151,20.773556
31799,0.145525,0.132117,13.807663,7.092868,20.900531
31999,0.145445,0.132781,13.890942,7.137807,21.028750
32199,0.145453,0.146647,13.979619,7.182701,21.162319
32399,0.145344,0.127829,14.060991,7.227201,21.288191
32599,0.145316,0.140776,14.142654,7.271736,21.414389
32799,0.145197,0.125741,14.225548,7.316310,21.541858
32999,0.145203,0.146234,14.307806,7.360977,21.668783
33199,0.145113,0.130312,14.396452,7.405636,21.802088
33399,0.145227,0.164116,14.477854,7.450115,21.927969
33599,0.145306,0.158466,14.560339,7.494599,22.054938
33799,0.145410,0.162975,14.642480,7.539198,22.181678
33999,0.145328,0.131385,14.724509,7.583866,22.308375
34199,0.145281,0.137327,14.813230,7.628547,22.441777
34399,0.145237,0.137702,14.895742,7.673196,22.568939
34599,0.145188,0.136706,14.978095,7.718169,22.696264
34799,0.145220,0.150829,15.060848,7.763016,22.823864
34999,0.145248,0.150143,15.143397,7.807805,22.951202
35199,0.145329,0.159462,15.233956,7.852730,23.086686
35399,0.145298,0.139828,15.316164,7.897534,23.213698
35599,0.145271,0.140476,15.398529,7.942305,23.340834
35799,0.145181,0.129217,15.481272,7.987249,23.468521
35999,0.144984,0.109733,15.564739,8.032092,23.596831
36199,0.144935,0.136008,15.653306,8.076800,23.730106
36399,0.144945,0.146778,15.734906,8.121457,23.856362
36599,0.144774,0.113715,15.816650,8.166019,23.982669
36799,0.144747,0.139709,15.900074,8.210861,24.110934
36999,0.144978,0.187556,15.982491,8.255718,24.238209
37199,0.144988,0.146863,16.071740,8.300678,24.372418
37399,0.145010,0.148980,16.153659,8.345347,24.499006
37599,0.144977,0.138832,16.236745,8.390120,24.626865
37799,0.144898,0.130168,16.318963,8.434806,24.753769
37999,0.144751,0.116906,16.401285,8.479435,24.880721
38199,0.144779,0.150093,16.490382,8.524194,25.014576
38399,0.144865,0.161209,16.573316,8.568787,25.142103
38599,0.144808,0.133872,16.655433,8.613538,25.268972
38799,0.144900,0.162701,16.737873,8.658463,25.396336
38999,0.145014,0.167172,16.820692,8.703224,25.523917
39199,0.144922,0.126924,16.911070,8.748052,25.659122
39399,0.144951,0.150791,16.993078,8.792835,25.785913
39599,0.144928,0.140218,17.075237,8.837486,25.912723
39799,0.145128,0.184770,17.157529,8.882068,26.039597
39999,0.145104,0.140446,17.241271,8.926886,26.168156
40199,0.145315,0.187425,17.330419,8.971581,26.302000
40399,0.145359,0.154278,17.412427,9.016385,26.428812
40599,0.145425,0.158641,17.494331,9.060965,26.555296
40799,0.145491,0.159031,17.577541,9.105618,26.683159
40999,0.145372,0.120938,17.659918,9.150129,26.810046
41199,0.145313,0.133340,17.749659,9.195001,26.944660
41399,0.145269,0.136094,17.832044,9.239969,27.072013
41599,0.145261,0.143655,17.915732,9.284924,27.200656
41799,0.145274,0.147972,17.998291,9.329705,27.327996
41999,0.145371,0.165753,18.081326,9.374554,27.455880
42199,0.145549,0.182873,18.170787,9.419432,27.590219
42399,0.145722,0.182197,18.253836,9.464200,27.718035
42599,0.145777,0.157508,18.336579,9.509150,27.845729
42799,0.146032,0.200240,18.419272,9.554029,27.973301
42999,0.146010,0.141257,18.502341,9.598847,28.101188
43199,0.146036,0.151748,18.593223,9.643805,28.237028
43399,0.146116,0.163432,18.675222,9.688569,28.363791
43599,0.146106,0.143741,18.757429,9.733263,28.490692
43799,0.146125,0.150328,18.840202,9.778240,28.618441
43999,0.146038,0.126959,18.924108,9.823061,28.747169
44199,0.146074,0.154038,19.013548,9.867960,28.881508
44399,0.146036,0.137618,19.095353,9.912790,29.008143
44599,0.145957,0.128523,19.177101,9.957379,29.134480
44799,0.145935,0.140942,19.260130,10.001890,29.262020
44999,0.145939,0.146850,19.342798,10.046610,29.389408
45199,0.145974,0.153769,19.432449,10.091374,29.523823
45399,0.146128,0.180986,19.514133,10.136103,29.650236
45599,0.146197,0.161918,19.597417,10.180948,29.778365
45799,0.146119,0.128327,19.679691,10.225772,29.905463
45999,0.146257,0.177746,19.762786,10.270861,30.033647
46199,0.146110,0.112519,19.849136,10.315690,30.164826
46399,0.145917,0.101261,19.931601,10.360059,30.291661
