# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.511450,0.042656,0.554106
399,13660.050428,11519.527348,0.515443,0.085179,0.600621
599,12774.281965,11002.745038,0.519650,0.127363,0.647014
799,11652.487429,8287.103822,0.521813,0.169610,0.691423
999,11023.007642,8505.088493,0.524084,0.211941,0.736025
1199,10320.564717,6808.350093,0.530524,0.253881,0.784405
1399,9778.235343,6524.259099,0.532749,0.295836,0.828585
1599,9547.115465,7929.276319,0.535083,0.340756,0.875839
1799,9358.014126,7845.203409,0.537534,0.382666,0.920200
1999,9146.864857,7246.521439,0.540099,0.424704,0.964803
2199,8788.276262,5202.390316,0.547574,0.466761,1.014334
2399,8512.867211,5483.367650,0.549799,0.508691,1.058489
2599,8246.842787,5054.549701,0.552117,0.551056,1.103173
2799,8122.678558,6508.543572,0.554541,0.593157,1.147698
2999,8024.799771,6654.496759,0.557106,0.635293,1.192399
3199,7805.629682,4518.078343,0.564559,0.677566,1.242125
3399,7651.122892,5179.014247,0.566774,0.719398,1.286172
3599,7572.437540,6234.786572,0.569079,0.761337,1.330416
3799,7417.161318,4622.189308,0.571476,0.803203,1.374680
3999,7293.982969,4953.594344,0.573996,0.845152,1.419147
4199,7175.138798,4798.255380,0.581317,0.887154,1.468470
4399,7041.286359,4230.385139,0.583511,0.929186,1.512697
4599,6939.151929,4692.194473,0.585814,0.971186,1.557000
4799,6798.563306,3565.024977,0.588243,1.013251,1.601495
4999,6699.296321,4316.888665,0.590785,1.055405,1.646190
5199,6596.164115,4017.858971,0.598358,1.097588,1.695946
5399,6493.821962,3832.925987,0.600583,1.139806,1.740389
5599,6434.594895,4835.464090,0.602899,1.181881,1.784780
5799,6367.013934,4474.747012,0.605309,1.224098,1.829407
5999,6277.404336,3678.725998,0.607818,1.266362,1.874180
6199,6184.536973,3398.516088,0.615296,1.308439,1.923735
6399,6095.810579,3345.292361,0.617515,1.350501,1.968016
6599,6006.069402,3134.351740,0.619814,1.392448,2.012262
6799,5923.010026,3182.050609,0.622232,1.434500,2.056732
6999,5852.569240,3457.582520,0.624754,1.476483,2.101237
7199,5772.002240,2952.157260,0.632439,1.518614,2.151053
7399,5706.735060,3357.116578,0.634634,1.560514,2.195148
7599,5644.443671,3339.662269,0.636931,1.602668,2.239599
7799,5580.819239,3163.090829,0.639312,1.644815,2.284127
7999,5534.119695,3712.837491,0.641804,1.686998,2.328802
8199,5468.420431,2840.449856,0.649536,1.729355,2.378892
8399,5408.545365,2953.667639,0.651754,1.771457,2.423211
8599,5339.326231,2432.122622,0.654072,1.813617,2.467689
8799,5287.341566,3052.000967,0.656501,1.856011,2.512512
8999,5236.879845,3016.564118,0.659030,1.898318,2.557349
9199,5172.470721,2274.060141,0.666916,1.940384,2.607300
9399,5123.518969,2871.738382,0.669139,1.982479,2.651618
9599,5069.222208,2517.274428,0.671460,2.025679,2.697140
9799,5038.603634,3568.912096,0.673874,2.067793,2.741667
9999,4989.280271,2572.435500,0.676390,2.109953,2.786342
10199,4943.686545,2664.000230,0.683972,2.152115,2.836087
10399,4903.024433,2829.256731,0.686205,2.194159,2.880364
10599,4857.585201,2494.745119,0.688558,2.236574,2.925131
10799,4807.818526,2170.184771,0.690977,2.278626,2.969603
10999,4769.882080,2721.313954,0.693503,2.320675,3.014178
11199,4732.447497,2673.545468,0.701186,2.362944,3.064130
11399,4685.773836,2072.048822,0.703371,2.404928,3.108299
11599,4655.550127,2932.798686,0.705678,2.446909,3.152587
11799,4616.475790,2350.164271,0.708070,2.489000,3.197070
11999,4581.258328,2503.428049,0.710566,2.531002,3.241568
12199,4541.829090,2176.074831,0.718705,2.573310,3.292015
12399,4509.447535,2534.172638,0.720922,2.615461,3.336383
12599,4476.224628,2416.404420,0.723231,2.657564,3.380795
12799,4445.118580,2485.437578,0.725656,2.699738,3.425394
12999,4413.181482,2369.207169,0.728192,2.741907,3.470099
