# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
199,15800.573508,15800.573508,0.521931,0.042455,0.564386
399,13660.050428,11519.527348,0.525890,0.084579,0.610469
599,12774.281965,11002.745038,0.530012,0.126644,0.656656
799,11652.487429,8287.103822,0.532097,0.168485,0.700582
999,11023.007642,8505.088493,0.534310,0.210457,0.744768
1199,10320.564717,6808.350093,0.540640,0.252168,0.792808
1399,9778.235343,6524.259099,0.542789,0.293673,0.836462
1599,9547.115465,7929.276319,0.545049,0.335190,0.880238
1799,9358.014126,7845.203409,0.547413,0.376710,0.924123
1999,9146.864857,7246.521439,0.549895,0.418307,0.968202
2199,8788.276262,5202.390316,0.557253,0.460020,1.017274
2399,8512.867211,5483.367650,0.559398,0.501565,1.060963
2599,8246.842787,5054.549701,0.561649,0.543150,1.104799
2799,8122.678558,6508.543572,0.564016,0.584802,1.148818
2999,8024.799771,6654.496759,0.566495,0.626488,1.192982
3199,7805.629682,4518.078343,0.573970,0.668046,1.242016
3399,7651.122892,5179.014247,0.576110,0.709606,1.285715
3599,7572.437540,6234.786572,0.578362,0.751211,1.329573
3799,7417.161318,4622.189308,0.580743,0.792878,1.373621
3999,7293.982969,4953.594344,0.583211,0.834571,1.417782
4199,7175.138798,4798.255380,0.590395,0.876206,1.466601
4399,7041.286359,4230.385139,0.592536,0.917762,1.510298
4599,6939.151929,4692.194473,0.594801,0.959488,1.554289
4799,6798.563306,3565.024977,0.597193,1.001163,1.598355
4999,6699.296321,4316.888665,0.599698,1.042860,1.642558
5199,6596.164115,4017.858971,0.607260,1.084647,1.691906
5399,6493.821962,3832.925987,0.609383,1.126283,1.735667
5599,6434.594895,4835.464090,0.611630,1.167946,1.779577
5799,6367.013934,4474.747012,0.613999,1.209779,1.823778
5999,6277.404336,3678.725998,0.616460,1.251518,1.867978
6199,6184.536973,3398.516088,0.623929,1.293318,1.917247
6399,6095.810579,3345.292361,0.626097,1.335285,1.961381
6599,6006.069402,3134.351740,0.628358,1.377100,2.005458
6799,5923.010026,3182.050609,0.630734,1.419105,2.049839
6999,5852.569240,3457.582520,0.633224,1.460959,2.094183
7199,5772.002240,2952.157260,0.640788,1.502612,2.143400
7399,5706.735060,3357.116578,0.642926,1.544305,2.187231
7599,5644.443671,3339.662269,0.645178,1.586024,2.231202
7799,5580.819239,3163.090829,0.647567,1.627625,2.275193
7999,5534.119695,3712.837491,0.650026,1.669343,2.319370
8199,5468.420431,2840.449856,0.657619,1.711045,2.368664
8399,5408.545365,2953.667639,0.659763,1.752720,2.412483
8599,5339.326231,2432.122622,0.662008,1.794405,2.456412
8799,5287.341566,3052.000967,0.664340,1.836130,2.500470
8999,5236.879845,3016.564118,0.666799,1.877974,2.544772
9199,5172.470721,2274.060141,0.674470,1.919914,2.594383
9399,5123.518969,2871.738382,0.676602,1.962003,2.638605
9599,5069.222208,2517.274428,0.678855,2.005207,2.684063
9799,5038.603634,3568.912096,0.681198,2.047221,2.728419
9999,4989.280271,2572.435500,0.683632,2.089214,2.772846
10199,4943.686545,2664.000230,0.691117,2.131092,2.822209
10399,4903.024433,2829.256731,0.693242,2.172815,2.866057
10599,4857.585201,2494.745119,0.695480,2.214656,2.910137
10799,4807.818526,2170.184771,0.697827,2.256473,2.954300
10999,4769.882080,2721.313954,0.700290,2.298315,2.998605
11199,4732.447497,2673.545468,0.707954,2.340721,3.048675
11399,4685.773836,2072.048822,0.710131,2.383482,3.093613
11599,4655.550127,2932.798686,0.712427,2.426202,3.138628
11799,4616.475790,2350.164271,0.714864,2.468955,3.183819
11999,4581.258328,2503.428049,0.717366,2.511496,3.228862
12199,4541.829090,2176.074831,0.725379,2.554041,3.279420
12399,4509.447535,2534.172638,0.727554,2.596426,3.323980
12599,4476.224628,2416.404420,0.729867,2.638887,3.368754
12799,4445.118580,2485.437578,0.732275,2.681410,3.413685
12999,4413.181482,2369.207169,0.734790,2.723868,3.458658
13199,4380.225866,2238.110836,0.742677,2.766389,3.509066
13399,4348.129513,2229.770245,0.744883,2.809302,3.554186
13599,4321.141849,2512.968361,0.747206,2.852331,3.599537
13799,4289.601183,2144.835867,0.749601,2.894839,3.644440
