# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,16665.166090,16665.166090,0.032979,0.004318,0.037297
399,14200.348113,11735.530136,0.068320,0.008611,0.076931
599,12640.351930,9520.359565,0.104906,0.012875,0.117781
799,11643.367573,8652.414503,0.142715,0.017109,0.159824
999,11173.887548,9295.967445,0.181888,0.021389,0.203277
1199,10671.961875,8162.333511,0.221894,0.025643,0.247538
1399,10687.158180,10778.336011,0.262883,0.029893,0.292775
1599,10538.222570,9495.673303,0.299349,0.034150,0.333499
1799,10354.972123,8888.968545,0.326581,0.038645,0.365225
1999,10036.235215,7167.603045,0.363775,0.043158,0.406933
2199,9725.637841,6619.664098,0.404774,0.047735,0.452508
2399,9382.032383,5602.372346,0.442162,0.052341,0.494502
2599,9098.193768,5692.130379,0.493754,0.056946,0.550700
2799,8890.350679,6188.390525,0.539372,0.061563,0.600935
2999,8787.070128,7341.142418,0.579243,0.066158,0.645401
3199,8589.313125,5622.958081,0.647865,0.070774,0.718639
3399,8413.773195,5605.134318,0.699847,0.075416,0.775263
3599,8358.084081,7411.369141,0.755647,0.080013,0.835660
3799,8195.749120,5273.719827,0.796158,0.084617,0.880774
3999,8095.720428,6195.175271,0.860883,0.089252,0.950135
4199,8023.378090,6576.531330,0.918765,0.093879,1.012643
4399,7928.733291,5941.192524,0.969703,0.098490,1.068193
4599,7819.659005,5420.024699,1.012298,0.103094,1.115392
4799,7722.063347,5477.363217,1.072155,0.107730,1.179885
4999,7661.082654,6197.546026,1.157537,0.112450,1.269987
5199,7645.150227,7246.839556,1.202386,0.117132,1.319518
5399,7588.335052,6111.140494,1.275517,0.121833,1.397351
5599,7588.827602,7602.126461,1.342338,0.126524,1.468862
5799,7572.901465,7126.969620,1.393943,0.131215,1.525157
5999,7496.714998,5287.307456,1.441148,0.135916,1.577064
6199,7441.990876,5800.267205,1.496464,0.140649,1.637113
6399,7392.878203,5870.385336,1.563564,0.145444,1.709007
6599,7367.740208,6563.324378,1.612342,0.150155,1.762497
6799,7311.753772,5464.201387,1.663807,0.154889,1.818696
6999,7242.730686,4895.945754,1.727792,0.159611,1.887403
7199,7191.574309,5401.101105,1.795289,0.164368,1.959657
7399,7141.451739,5337.039223,1.858436,0.169062,2.027499
7599,7109.476370,5926.387747,1.917217,0.173797,2.091014
7799,7077.236096,5852.105664,1.994194,0.178534,2.172728
7999,7059.827417,6380.888949,2.063100,0.183309,2.246410
8199,7034.171384,6007.930042,2.129653,0.188043,2.317695
8399,7012.358810,6118.043281,2.181204,0.192755,2.373959
8599,6949.464333,4307.896328,2.236678,0.197538,2.434216
8799,6896.180081,4604.957217,2.312557,0.202333,2.514890
8999,6870.765472,5752.522684,2.379311,0.207115,2.586426
9199,6825.579277,4792.200517,2.440979,0.211870,2.652848
9399,6796.139837,5441.925584,2.494721,0.216604,2.711325
9599,6749.993068,4581.094901,2.574173,0.221389,2.795563
9799,6722.305220,5393.288524,2.637274,0.226175,2.863449
9999,6690.027602,5108.424355,2.734789,0.231030,2.965819
10199,6654.158484,4860.702566,2.791925,0.235850,3.027775
10399,6628.052241,5296.633822,2.865660,0.240683,3.106343
10599,6599.104856,5093.840877,2.937746,0.245517,3.183262
10799,6558.788584,4422.026169,2.994935,0.250330,3.245266
10999,6540.149690,5533.649380,3.052843,0.255166,3.308009
11199,6517.723873,5284.303941,3.112006,0.260020,3.372026
11399,6477.677090,4235.057280,3.220859,0.264881,3.485740
11599,6442.193526,4419.630358,3.279224,0.269737,3.548961
