# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,24924.562651,24924.562651,0.041723,0.006002,0.047725
399,19680.521336,14436.480022,0.076930,0.010045,0.086975
599,16342.838924,9667.474098,0.113282,0.014073,0.127355
799,14392.235672,8540.425916,0.150976,0.018103,0.169079
999,13363.716057,9249.637600,0.190379,0.022120,0.212499
1199,12496.844978,8162.489583,0.230510,0.026167,0.256677
1399,12250.667692,10773.603975,0.271773,0.030158,0.301932
1599,11906.286238,9495.616061,0.308437,0.034174,0.342611
1799,11570.952311,8888.280897,0.334969,0.038415,0.373384
1999,11130.600327,7167.432467,0.371728,0.042666,0.414394
2199,10720.481305,6619.291089,0.412056,0.046939,0.458995
2399,10293.969033,5602.334033,0.448732,0.051281,0.500012
2599,9939.980974,5692.124273,0.499816,0.055631,0.555446
2799,9672.005861,6188.329387,0.544838,0.060013,0.604851
2999,9516.607422,7341.029274,0.584078,0.064381,0.648458
3199,9273.250087,5622.890062,0.652576,0.068752,0.721328
3399,9057.476485,5605.098857,0.704364,0.073131,0.777495
3599,8966.023386,7411.320706,0.760191,0.077483,0.837674
3799,8771.690708,5273.702494,0.800115,0.081822,0.881938
3999,8642.864450,6195.165556,0.864513,0.086198,0.950711
4199,8544.466930,6576.516528,0.921874,0.090579,1.012453
4399,8426.135765,5941.181310,0.972035,0.094956,1.066991
4599,8295.434639,5420.009863,1.014265,0.099354,1.113619
4799,8178.014541,5477.352278,1.073867,0.103761,1.177628
4999,8098.795637,6197.541945,1.159288,0.108201,1.267489
5199,8066.027787,7246.831537,1.203098,0.112606,1.315704
5399,7993.624260,6111.132550,1.275841,0.117023,1.392864
5599,7979.641876,7602.117505,1.341974,0.121451,1.463425
5799,7950.239117,7126.961883,1.392967,0.125860,1.518827
5999,7861.474400,5287.297590,1.439346,0.130280,1.569626
6199,7794.983638,5800.260780,1.493923,0.134740,1.628664
6399,7734.839999,5870.387210,1.560167,0.139191,1.699358
6599,7699.339294,6563.316717,1.608099,0.143650,1.751749
6799,7633.599794,5464.196294,1.658403,0.148088,1.806491
6999,7555.381006,4895.942231,1.721531,0.152565,1.874096
7199,7495.539815,5401.098110,1.788030,0.157043,1.945073
7399,7437.201966,5337.039397,1.850263,0.161494,2.011757
7599,7397.443539,5926.381751,1.908120,0.165964,2.074084
7799,7357.819506,5852.106275,1.984712,0.170416,2.155128
7999,7333.396120,6380.884036,2.052938,0.174912,2.227850
8199,7301.067571,6007.925633,2.118774,0.179392,2.298166
8399,7272.900315,6118.042813,2.169323,0.183823,2.353146
8599,7203.946732,4307.896253,2.223526,0.188315,2.411841
8799,7144.878743,4604.955201,2.298338,0.192858,2.491196
8999,7113.937384,5752.517606,2.364475,0.197330,2.561805
9199,7063.464820,4792.199407,2.425321,0.201824,2.627145
9399,7028.963984,5441.925560,2.478023,0.206271,2.684294
9599,6977.966694,4581.094029,2.557229,0.210774,2.768004
9799,6945.626353,5393.290024,2.618951,0.215277,2.834228
9999,6908.882289,5108.423132,2.715206,0.219828,2.935034
10199,6868.721888,4860.701844,2.771427,0.224375,2.995802
10399,6838.489370,5296.630961,2.844017,0.228928,3.072945
10599,6805.571468,5093.840567,2.915408,0.233462,3.148869
10799,6761.431704,4422.024209,2.971182,0.238006,3.209188
10999,6739.108383,5533.649027,3.028017,0.242532,3.270549
11199,6713.129734,5284.304021,3.085758,0.247079,3.332837
11399,6669.654750,4235.055657,3.194157,0.251650,3.445807
11599,6630.861210,4419.629426,3.251353,0.256208,3.507561
11799,6601.376675,4891.273686,3.322027,0.260746,3.582773
11999,6569.901931,4712.892012,3.379008,0.265293,3.644301
12199,6538.514321,4655.257752,3.468209,0.269906,3.738115
12399,6509.636311,4748.077668,3.526557,0.274461,3.801018
12599,6479.096887,4585.652614,3.586256,0.279081,3.865338
12799,6459.385398,5217.561580,3.654141,0.283671,3.937812
12999,6417.251416,3720.676588,3.742882,0.288266,4.031147
13199,6392.601315,4790.344744,3.820700,0.292887,4.113587
13399,6365.101678,4550.125626,3.881119,0.297497,4.178616
13599,6352.728457,5523.722666,3.954960,0.302084,4.257043
13799,6321.101596,4170.475039,4.024236,0.306703,4.330939
13999,6279.785607,3428.982386,4.087863,0.311298,4.399162
14199,6261.911535,5010.726450,4.150681,0.315910,4.466591
14399,6244.135474,4982.035154,4.223612,0.320582,4.544194
14599,6221.137090,4565.253427,4.304903,0.325247,4.630150
14799,6189.684453,3893.642003,4.384224,0.329918,4.714142
14999,6169.228826,4655.512407,4.488918,0.334624,4.823541
15199,6155.991968,5163.227638,4.554699,0.339276,4.893975
15399,6131.025037,4233.538256,4.628283,0.343960,4.972243
15599,6114.934363,4875.952424,4.712975,0.348672,5.061647
15799,6101.549096,5057.498278,4.801898,0.353368,5.155266
15999,6084.128194,4707.876995,4.867923,0.358035,5.225958
16199,6075.082781,5351.449677,4.935662,0.362730,5.298392
16399,6052.050357,4186.424083,5.002645,0.367408,5.370053
16599,6034.213562,4571.596365,5.085352,0.372102,5.457454
