# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
199,0.225949,0.225949,0.043349,0.006039,0.049388
399,0.190428,0.154907,0.084543,0.010207,0.094750
599,0.184578,0.172878,0.117620,0.014346,0.131966
799,0.174002,0.142274,0.146161,0.018653,0.164814
999,0.167088,0.139432,0.185056,0.022952,0.208009
1199,0.164034,0.148762,0.232397,0.027304,0.259701
1399,0.159684,0.133588,0.270208,0.031668,0.301876
1599,0.158101,0.147015,0.322500,0.036011,0.358511
1799,0.157347,0.151318,0.375780,0.040440,0.416220
1999,0.155741,0.141292,0.416834,0.044855,0.461690
2199,0.155686,0.155130,0.474831,0.049259,0.524090
2399,0.155719,0.156087,0.517672,0.053660,0.571332
2599,0.154413,0.138743,0.579465,0.058124,0.637589
2799,0.152840,0.132392,0.633152,0.062584,0.695737
2999,0.151479,0.132415,0.680875,0.067047,0.747922
3199,0.151512,0.152011,0.730567,0.071499,0.802066
3399,0.150199,0.129192,0.781436,0.075965,0.857401
3599,0.149363,0.135155,0.867296,0.080567,0.947862
3799,0.148465,0.132300,0.919415,0.085067,1.004482
3999,0.147197,0.123092,0.984913,0.089593,1.074506
4199,0.146599,0.134654,1.038451,0.094103,1.132554
4399,0.145247,0.116846,1.109988,0.098635,1.208623
4599,0.144680,0.132218,1.166710,0.103178,1.269888
4799,0.143509,0.116577,1.228342,0.107713,1.336054
4999,0.144162,0.159819,1.324599,0.112325,1.436924
5199,0.144259,0.146682,1.406405,0.116991,1.523396
5399,0.143142,0.114107,1.464966,0.121638,1.586604
5599,0.142534,0.126122,1.543679,0.126276,1.669955
5799,0.142616,0.144910,1.602242,0.130879,1.733121
5999,0.141772,0.117301,1.663297,0.135494,1.798791
6199,0.141317,0.127664,1.745522,0.140090,1.885612
6399,0.140618,0.118953,1.805450,0.144745,1.950195
6599,0.141813,0.180031,1.872894,0.149381,2.022275
6799,0.141096,0.117462,1.943268,0.153986,2.097253
6999,0.140805,0.130913,2.004621,0.158628,2.163249
7199,0.139888,0.107789,2.088975,0.163288,2.252262
7399,0.139338,0.119514,2.159859,0.167921,2.327780
7599,0.139064,0.128929,2.231635,0.172579,2.404214
7799,0.138931,0.133888,2.296222,0.177231,2.473453
7999,0.138675,0.128693,2.362539,0.181903,2.544442
8199,0.138171,0.118027,2.437220,0.186622,2.623842
8399,0.137908,0.127100,2.512490,0.191400,2.703890
8599,0.137937,0.139179,2.582098,0.196133,2.778231
8799,0.137517,0.119431,2.662904,0.200883,2.863786
8999,0.137366,0.130739,2.731404,0.205593,2.936998
9199,0.136777,0.110271,2.807811,0.210369,3.018180
9399,0.136465,0.122126,2.893948,0.215162,3.109111
9599,0.136313,0.129171,2.975853,0.219893,3.195746
9799,0.136179,0.129725,3.062485,0.224666,3.287152
9999,0.136132,0.133849,3.163782,0.229490,3.393272
10199,0.135880,0.123236,3.248642,0.234296,3.482938
10399,0.135465,0.114314,3.337024,0.239138,3.576162
10599,0.135304,0.126933,3.411568,0.243947,3.655514
10799,0.135447,0.143011,3.492406,0.248791,3.741197
10999,0.135076,0.115083,3.577028,0.253621,3.830649
11199,0.134965,0.128847,3.652625,0.258444,3.911070
11399,0.135080,0.141504,3.729509,0.263309,3.992818
