# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,16158.060738,16158.060738,0.025813,0.004167,0.029981
399,13624.074088,11090.087438,0.053378,0.008344,0.061722
599,12183.780532,9303.193418,0.082015,0.012478,0.094493
799,11296.097921,8633.050090,0.111484,0.016593,0.128077
999,10892.821378,9279.715206,0.142670,0.020719,0.163388
1199,10435.587565,8149.418501,0.174537,0.024841,0.199378
1399,10484.214121,10775.973452,0.207381,0.028911,0.236293
1599,10360.589351,9495.215965,0.235562,0.033001,0.268562
1799,10197.039620,8888.641768,0.248248,0.037411,0.285658
1999,9894.084083,7167.484253,0.268638,0.041814,0.310451
2199,9596.408239,6619.649800,0.288215,0.046284,0.334499
2399,9263.576856,5602.431643,0.301757,0.050792,0.352549
2599,8988.853020,5692.166989,0.329451,0.055309,0.384760
2799,8788.824789,6188.457784,0.350141,0.059813,0.409954
2999,8692.315856,7341.190792,0.363995,0.064329,0.428325
3199,8500.481589,5622.967589,0.406408,0.068824,0.475232
3399,8330.167973,5605.150112,0.432023,0.073343,0.505366
3599,8279.125090,7411.396078,0.460827,0.077852,0.538678
3799,8120.946192,5273.726032,0.474718,0.082355,0.557073
3999,8024.658890,6195.200143,0.510712,0.086942,0.597654
4199,7955.701396,6576.551534,0.540325,0.091453,0.631778
4399,7864.132714,5941.190380,0.562464,0.095951,0.658414
4599,7757.867212,5420.026169,0.576158,0.100477,0.676636
4799,7662.846665,5477.374090,0.605654,0.105031,0.710685
4999,7604.234477,6197.541952,0.660806,0.109640,0.770446
5199,7590.488477,7246.838483,0.674766,0.114193,0.788959
5399,7535.697762,6111.139169,0.717177,0.118801,0.835979
5599,7538.070377,7602.130977,0.753276,0.123364,0.876640
5799,7523.894566,7126.971857,0.773377,0.127957,0.901334
5999,7449.341390,5287.299308,0.787295,0.132530,0.919825
6199,7396.145587,5800.271473,0.808758,0.137165,0.945924
6399,7348.465647,5870.387520,0.838087,0.141777,0.979864
6599,7324.673565,6563.326944,0.851528,0.146352,0.997880
6799,7269.953790,5464.201209,0.865997,0.151022,1.017020
6999,7202.125071,4895.948624,0.894291,0.155664,1.049954
7199,7152.096661,5401.102319,0.924320,0.160287,1.084608
7399,7103.041214,5337.045131,0.951287,0.164925,1.116212
7599,7072.076691,5926.389307,0.972177,0.169568,1.141745
7799,7040.795395,5852.106159,1.012488,0.174191,1.186678
7999,7024.297723,6380.888523,1.041724,0.178820,1.220544
8199,6999.508299,6007.931318,1.070936,0.183423,1.254359
8399,6978.521011,6118.042232,1.084797,0.187992,1.272789
8599,6916.413469,4307.896689,1.099437,0.192654,1.292091
8799,6863.880396,4604.958278,1.136146,0.197380,1.333526
