# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,31627.554359,31627.554359,0.032826,0.006780,0.039606
399,24002.343048,16377.131738,0.060358,0.011066,0.071425
599,19230.851436,9687.868212,0.088810,0.015291,0.104101
799,16531.450305,8433.246910,0.117832,0.019476,0.137308
999,15044.236259,9095.380077,0.148301,0.023593,0.171894
1199,13888.563945,8110.202372,0.179454,0.027699,0.207152
1399,13441.047389,10755.948055,0.211521,0.031749,0.243270
1599,12947.203435,9490.295758,0.238821,0.035862,0.274683
1799,12495.985432,8886.241406,0.251204,0.040192,0.291396
1999,11963.056849,7166.699599,0.271202,0.044539,0.315742
2199,11477.240114,6619.072762,0.290498,0.048931,0.339428
2399,10987.660719,5602.287374,0.303680,0.053335,0.357015
2599,10580.309242,5692.091526,0.330414,0.057770,0.388184
2799,10266.596496,6188.330799,0.350887,0.062206,0.413093
2999,10071.559864,7341.047013,0.364411,0.066626,0.431037
3199,9793.513979,5622.825704,0.405639,0.071066,0.476704
3399,9547.131793,5605.016820,0.430696,0.075542,0.506238
3599,9428.473494,7411.282408,0.458764,0.079976,0.538740
3799,9209.800449,5273.685644,0.472364,0.084438,0.556802
3999,9059.068446,6195.160389,0.507341,0.088900,0.596240
4199,8940.852684,6576.537435,0.536124,0.093349,0.629473
4399,8804.502930,5941.158097,0.557945,0.097783,0.655728
4599,8657.350572,5419.998695,0.571476,0.102228,0.673704
4799,8524.850982,5477.360422,0.599775,0.106684,0.706458
4999,8431.757591,6197.516203,0.654027,0.111263,0.765290
5199,8386.182856,7246.814474,0.667755,0.115791,0.783547
5399,8301.921304,6111.120956,0.708924,0.120304,0.829228
5599,8276.928564,7602.124592,0.743960,0.124843,0.868803
5799,8237.274730,7126.967367,0.763748,0.129367,0.893115
5999,8138.942089,5287.295498,0.777336,0.133933,0.911269
6199,8063.501000,5800.268325,0.798477,0.138482,0.936959
6399,7994.966205,5870.387574,0.827246,0.142997,0.970243
6599,7951.583030,6563.321425,0.840443,0.147545,0.987988
6799,7878.424434,5464.190776,0.854673,0.152099,1.006771
6999,7793.210679,4895.942989,0.882360,0.156700,1.039060
7199,7726.763133,5401.099045,0.911788,0.161234,1.073021
7399,7662.176295,5337.050132,0.938346,0.165753,1.104099
7599,7616.497460,5926.380551,0.958860,0.170356,1.129216
7799,7571.256658,5852.106187,0.998092,0.174994,1.173087
7999,7541.497428,6380.887432,1.026553,0.179563,1.206116
8199,7504.093358,6007.930558,1.055179,0.184115,1.239293
8399,7471.092196,6118.044587,1.068906,0.188663,1.257570
8599,7397.529400,4307.891936,1.083371,0.193244,1.276616
8799,7334.061911,4604.959902,1.118980,0.197873,1.316853
8999,7298.916595,5752.522711,1.147622,0.202437,1.350059
9199,7244.422866,4792.205038,1.169173,0.207053,1.376226
9399,7206.071810,5441.923246,1.182955,0.211612,1.394567
9599,7151.384751,4581.092952,1.222049,0.216228,1.438277
9799,7115.505260,5393.289689,1.243779,0.220871,1.464649
9999,7075.363588,5108.421657,1.297844,0.225590,1.523434
10199,7031.938917,4860.705398,1.311424,0.230235,1.541658
10399,6998.567743,5296.637836,1.340605,0.234876,1.575481
10599,6962.629522,5093.842065,1.368844,0.239560,1.608404
10799,6915.581336,4422.027453,1.382819,0.244207,1.627026
