# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.239878,0.239878,0.030333,0.006589,0.036922
399,0.208301,0.176724,0.044872,0.011152,0.056024
599,0.188933,0.150198,0.067680,0.015713,0.083393
799,0.178116,0.145665,0.088941,0.020342,0.109282
999,0.171867,0.146870,0.104865,0.024973,0.129838
1199,0.165974,0.136509,0.133886,0.029627,0.163512
1399,0.165103,0.159877,0.149122,0.034190,0.183311
1599,0.163088,0.148982,0.165269,0.038858,0.204127
1799,0.160281,0.137823,0.206446,0.043529,0.249976
1999,0.158835,0.145826,0.221583,0.048169,0.269752
2199,0.156650,0.134803,0.237288,0.052798,0.290086
2399,0.155493,0.142760,0.262018,0.057421,0.319439
2599,0.155297,0.152946,0.283656,0.062091,0.345746
2799,0.154308,0.141456,0.299388,0.066820,0.366208
2999,0.153559,0.143070,0.315361,0.071557,0.386918
3199,0.152979,0.144285,0.338682,0.076314,0.414996
3399,0.152493,0.144718,0.367722,0.081068,0.448790
3599,0.151732,0.138794,0.383433,0.085837,0.469270
3799,0.150388,0.126193,0.406327,0.090649,0.496977
3999,0.150078,0.144190,0.428873,0.095440,0.524313
4199,0.149792,0.144057,0.444838,0.100223,0.545061
4399,0.149694,0.147653,0.489537,0.105058,0.594596
