# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.002694,0.021983,0.024677
399,9023.669117,7194.879585,0.005523,0.055196,0.060719
599,7940.259513,5773.440303,0.008457,0.102623,0.111081
799,6978.992081,4095.189788,0.011476,0.163582,0.175058
999,6584.671259,5007.387971,0.014638,0.238569,0.253208
1199,6120.195432,3797.816295,0.020144,0.330907,0.351051
1399,6050.932932,5635.357929,0.025628,0.422828,0.448456
1599,5881.774976,4697.669284,0.031052,0.515036,0.546088
1799,5766.018390,4839.965702,0.036426,0.606860,0.643286
1999,5594.438838,4050.222871,0.041801,0.698561,0.740362
2199,5593.252219,5581.386031,0.047156,0.790208,0.837364
2399,5520.631956,4721.809062,0.052499,0.881767,0.934266
2599,5401.116755,3966.934341,0.057955,0.973523,1.031478
2799,5347.705306,4653.356469,0.063301,1.065308,1.128609
2999,5358.161908,5504.554337,0.068681,1.157115,1.225796
3199,5324.751404,4823.593846,0.074043,1.248952,1.322995
3399,5347.100868,5704.692291,0.079501,1.341219,1.420720
3599,5395.633282,6220.684317,0.084893,1.433034,1.517927
3799,5319.109863,3941.688322,0.090248,1.524663,1.614911
3999,5301.682412,4970.560849,0.095612,1.616187,1.711799
4199,5293.944478,5139.185801,0.100982,1.707909,1.808891
4399,5245.236214,4222.362655,0.106319,1.799414,1.905733
4599,5210.314208,4442.030081,0.111691,1.890996,2.002687
4799,5177.013863,4411.105930,0.117025,1.982650,2.099674
4999,5200.084649,5753.783521,0.122371,2.073974,2.196346
5199,5225.534321,5861.776106,0.127714,2.165336,2.293050
5399,5207.819217,4747.226533,0.133085,2.256751,2.389835
5599,5239.597715,6097.617148,0.138409,2.348271,2.486680
5799,5250.000615,5541.281802,0.143785,2.439674,2.583459
5999,5212.718104,4131.525306,0.149211,2.531039,2.680250
6199,5170.892094,3916.111786,0.154640,2.622496,2.777136
6399,5160.382288,4834.578308,0.160008,2.713937,2.873946
6599,5177.897436,5738.382160,0.165372,2.805149,2.970521
6799,5171.877182,4973.208803,0.170764,2.896594,3.067358
6999,5159.348078,4733.358547,0.176127,2.988213,3.164340
7199,5174.081649,5689.756622,0.181515,3.079662,3.261176
7399,5175.799544,5237.643774,0.186848,3.171106,3.357954
7599,5160.400868,4590.649866,0.192175,3.262255,3.454430
7799,5159.728511,5134.178930,0.197531,3.353778,3.551309
7999,5153.907328,4926.881214,0.202915,3.445251,3.648166
8199,5148.521135,4933.073414,0.208305,3.536530,3.744834
8399,5144.450590,4977.558221,0.213705,3.628083,3.841788
8599,5115.627427,3905.054597,0.219120,3.719468,3.938588
8799,5118.123195,5225.441217,0.224530,3.811062,4.035592
8999,5128.832071,5600.022603,0.229882,3.902440,4.132322
9199,5119.382019,4694.129706,0.235228,3.993802,4.229030
9399,5141.221067,6145.817231,0.240558,4.084926,4.325484
9599,5138.058043,4989.395950,0.245911,4.176221,4.422132
9799,5131.593918,4821.315904,0.251256,4.267442,4.518698
9999,5119.902879,4547.041949,0.256661,4.358910,4.615570
10199,5138.627667,6074.867094,0.262011,4.450299,4.712310
10399,5131.950417,4791.410642,0.267351,4.541562,4.808914
10599,5132.196817,5145.009653,0.272733,4.632835,4.905567
10799,5119.745510,4459.826219,0.278088,4.724278,5.002366
10999,5114.347248,4822.841091,0.283484,4.815580,5.099064
11199,5120.906717,5481.677533,0.288881,4.906977,5.195858
11399,5106.535753,4301.761788,0.294299,4.998470,5.292768
11599,5116.698633,5695.982759,0.299670,5.089900,5.389570
11799,5119.751730,5296.831386,0.305049,5.181221,5.486270
11999,5113.270514,4730.878738,0.310425,5.272751,5.583177
12199,5116.134757,5287.989373,0.315767,5.364576,5.680343
12399,5125.374844,5689.020148,0.321189,5.456218,5.777406
12599,5129.959474,5414.206542,0.326604,5.547959,5.874562
12799,5128.573863,5041.280368,0.331968,5.639032,5.971000
12999,5109.256586,3872.950861,0.337346,5.730348,6.067695
13199,5104.813566,4816.017241,0.342713,5.821779,6.164493
13399,5101.551651,4886.265222,0.348045,5.913136,6.261181
13599,5109.920448,5670.629863,0.353452,6.004776,6.358228
13799,5101.013137,4495.315978,0.358808,6.096117,6.454925
13999,5098.480738,4923.745250,0.364184,6.187343,6.551527
14199,5099.617076,5179.160693,0.369561,6.278629,6.648190
14399,5114.541845,6174.200503,0.374915,6.370033,6.744948
14599,5117.587907,5336.904365,0.380266,6.461402,6.841667
14799,5115.579971,4969.000598,0.385613,6.552755,6.938368
14999,5117.441870,5255.222404,0.390977,6.643979,7.034956
15199,5125.567259,5734.971438,0.396366,6.735445,7.131810
15399,5122.909102,4920.889173,0.401735,6.826951,7.228686
15599,5132.489905,5870.211700,0.407122,6.918672,7.325794
15799,5136.862878,5477.954775,0.412526,7.010369,7.422895
15999,5136.168406,5081.305142,0.417934,7.102090,7.520024
16199,5133.490948,4919.294300,0.423292,7.193412,7.616703
16399,5139.034890,5588.094184,0.428663,7.285186,7.713848
16599,5136.043923,4890.784640,0.434031,7.377138,7.811168
16799,5134.559439,5011.347267,0.439394,7.468810,7.908204
16999,5122.595272,4117.605286,0.444783,7.560588,8.005372
17199,5116.841611,4627.780395,0.450188,7.652270,8.102459
17399,5121.918267,5558.510707,0.455575,7.744113,8.199689
17599,5129.708998,5807.502581,0.460996,7.836299,8.297295
17799,5125.007923,4711.313310,0.466368,7.928096,8.394464
17999,5121.118398,4774.950639,0.471727,8.019459,8.491186
18199,5113.915724,4465.675065,0.477110,8.111008,8.588117
18399,5098.326811,3679.735739,0.482460,8.202322,8.684782
18599,5087.460353,4087.746248,0.487843,8.294314,8.782158
18799,5091.383004,5456.189583,0.493245,8.385810,8.879055
18999,5094.428578,5380.712452,0.498569,8.477331,8.975901
19199,5099.943604,5623.871143,0.503920,8.568580,9.072499
19399,5101.421393,5243.289072,0.509353,8.660418,9.169771
19599,5101.263964,5085.993421,0.514779,8.752479,9.267258
19799,5101.464875,5121.154111,0.520153,8.843960,9.364113
19999,5099.535363,4908.513650,0.525550,8.935572,9.461122
20199,5096.402573,4783.123604,0.530922,9.027436,9.558358
20399,5092.707369,4719.491760,0.536364,9.119096,9.655460
20599,5087.462133,4552.448056,0.541760,9.211149,9.752909
20799,5088.740727,5220.435905,0.547188,9.303259,9.850447
20999,5078.453302,4008.561124,0.552595,9.395336,9.947931
21199,5076.513390,4872.822589,0.557947,9.486901,10.044847
21399,5087.208403,6220.879787,0.563355,9.578729,10.142083
21599,5080.726757,4387.190636,0.568758,9.670544,10.239302
21799,5081.220287,5134.521516,0.574216,9.762235,10.336451
21999,5073.247455,4204.208781,0.579654,9.854403,10.434058
22199,5076.986197,5488.247821,0.585050,9.946061,10.531111
22399,5074.410239,4788.478884,0.590471,10.037877,10.628348
22599,5068.283583,4382.098133,0.595894,10.129882,10.725776
22799,5072.550440,5554.705280,0.601291,10.221629,10.822921
22999,5076.233684,5496.123528,0.606714,10.313476,10.920190
23199,5080.108709,5525.736625,0.612137,10.404943,11.017080
23399,5084.922746,5643.350971,0.617552,10.496763,11.114315
23599,5081.392337,4668.334530,0.622963,10.588348,11.211311
23799,5077.476907,4615.456145,0.628358,10.680346,11.308704
23999,5071.599003,4372.128477,0.633761,10.772448,11.406208
24199,5067.481192,4573.343778,0.639227,10.864510,11.503736
24399,5065.851014,4868.599481,0.644614,10.956498,11.601112
24599,5058.978700,4220.556415,0.650015,11.048449,11.698463
24799,5056.505834,4752.343371,0.655452,11.140466,11.795918
24999,5050.110524,4257.092053,0.660863,11.232046,11.892909
25199,5047.252773,4690.033893,0.666295,11.323740,11.990035
25399,5047.429026,5069.636951,0.671727,11.415614,12.087341
25599,5043.380232,4529.183314,0.677122,11.507798,12.184919
