# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.003575,0.027848,0.031424
399,9023.669117,7194.879585,0.006300,0.060445,0.066746
599,7940.259513,5773.440303,0.009136,0.107154,0.116289
799,6978.992081,4095.189788,0.012055,0.167617,0.179672
999,6584.671259,5007.387971,0.015110,0.241978,0.257088
1199,6120.195432,3797.816295,0.020437,0.333665,0.354103
1399,6050.932932,5635.357929,0.025757,0.424900,0.450658
1599,5881.774976,4697.669284,0.030970,0.516059,0.547029
1799,5766.018390,4839.965702,0.036156,0.607345,0.643501
1999,5594.438838,4050.222871,0.041370,0.698631,0.740000
2199,5593.252219,5581.386031,0.046554,0.789899,0.836454
2399,5520.631956,4721.809062,0.051758,0.880904,0.932661
2599,5401.116755,3966.934341,0.057002,0.971885,1.028887
2799,5347.705306,4653.356469,0.062230,1.062947,1.125176
2999,5358.161908,5504.554337,0.067398,1.153934,1.221333
3199,5324.751404,4823.593846,0.072578,1.244982,1.317560
3399,5347.100868,5704.692291,0.077752,1.335920,1.413672
3599,5395.633282,6220.684317,0.082934,1.426958,1.509892
3799,5319.109863,3941.688322,0.088096,1.517868,1.605964
3999,5301.682412,4970.560849,0.093274,1.608479,1.701753
4199,5293.944478,5139.185801,0.098492,1.699550,1.798042
4399,5245.236214,4222.362655,0.103641,1.790455,1.894096
4599,5210.314208,4442.030081,0.108830,1.881720,1.990550
4799,5177.013863,4411.105930,0.113999,1.972596,2.086595
4999,5200.084649,5753.783521,0.119174,2.063570,2.182745
5199,5225.534321,5861.776106,0.124350,2.154500,2.278850
5399,5207.819217,4747.226533,0.129540,2.245266,2.374806
5599,5239.597715,6097.617148,0.134711,2.336187,2.470898
5799,5250.000615,5541.281802,0.139917,2.427087,2.567004
5999,5212.718104,4131.525306,0.145137,2.518259,2.663396
6199,5170.892094,3916.111786,0.150364,2.609232,2.759596
6399,5160.382288,4834.578308,0.155510,2.699814,2.855324
6599,5177.897436,5738.382160,0.160696,2.790661,2.951357
6799,5171.877182,4973.208803,0.165920,2.881595,3.047515
6999,5159.348078,4733.358547,0.171165,2.972939,3.144103
7199,5174.081649,5689.756622,0.176431,3.064041,3.240472
7399,5175.799544,5237.643774,0.181614,3.154903,3.336517
7599,5160.400868,4590.649866,0.186802,3.246006,3.432808
7799,5159.728511,5134.178930,0.191997,3.336994,3.528991
7999,5153.907328,4926.881214,0.197166,3.427981,3.625148
8199,5148.521135,4933.073414,0.202343,3.518788,3.721130
8399,5144.450590,4977.558221,0.207525,3.609337,3.816862
8599,5115.627427,3905.054597,0.212689,3.700137,3.912826
8799,5118.123195,5225.441217,0.217869,3.790932,4.008801
8999,5128.832071,5600.022603,0.223073,3.881691,4.104763
9199,5119.382019,4694.129706,0.228268,3.972213,4.200481
9399,5141.221067,6145.817231,0.233423,4.062859,4.296281
9599,5138.058043,4989.395950,0.238605,4.153789,4.392395
9799,5131.593918,4821.315904,0.243776,4.244723,4.488498
9999,5119.902879,4547.041949,0.248997,4.335936,4.584932
10199,5138.627667,6074.867094,0.254203,4.427026,4.681229
10399,5131.950417,4791.410642,0.259434,4.518033,4.777467
10599,5132.196817,5145.009653,0.264613,4.608847,4.873461
10799,5119.745510,4459.826219,0.269806,4.700087,4.969893
10999,5114.347248,4822.841091,0.275031,4.791304,5.066335
11199,5120.906717,5481.677533,0.280222,4.882105,5.162327
11399,5106.535753,4301.761788,0.285391,4.973044,5.258436
11599,5116.698633,5695.982759,0.290629,5.064080,5.354709
11799,5119.751730,5296.831386,0.295821,5.155053,5.450874
11999,5113.270514,4730.878738,0.301056,5.246259,5.547315
12199,5116.134757,5287.989373,0.306225,5.337442,5.643668
12399,5125.374844,5689.020148,0.311435,5.428467,5.739902
12599,5129.959474,5414.206542,0.316608,5.519701,5.836309
