# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_incremental5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,0.191600,0.191600,0.003683,0.028031,0.031715
399,0.170000,0.148400,0.006437,0.060388,0.066826
599,0.157067,0.131200,0.009322,0.106785,0.116107
799,0.148800,0.124000,0.012278,0.166813,0.179091
999,0.141480,0.112200,0.015395,0.240718,0.256113
1199,0.138233,0.122000,0.020823,0.332013,0.352836
1399,0.136000,0.122600,0.026237,0.423000,0.449237
1599,0.134725,0.125800,0.031558,0.513779,0.545337
1799,0.132756,0.117000,0.036846,0.604383,0.641229
1999,0.132420,0.129400,0.042091,0.694744,0.736835
2199,0.132473,0.133000,0.047397,0.785332,0.832728
2399,0.132750,0.135800,0.052669,0.875958,0.928626
2599,0.132338,0.127400,0.057976,0.966553,1.024530
2799,0.132743,0.138000,0.063246,1.057222,1.120468
2999,0.132787,0.133400,0.068515,1.147763,1.216279
3199,0.133125,0.138200,0.073791,1.238497,1.312288
3399,0.131494,0.105400,0.079051,1.329319,1.408370
3599,0.133011,0.158800,0.084306,1.419813,1.504119
3799,0.133947,0.150800,0.089551,1.510171,1.599722
3999,0.133690,0.128800,0.094828,1.600659,1.695487
4199,0.133067,0.120600,0.100136,1.690991,1.791128
4399,0.132636,0.123600,0.105397,1.781495,1.886893
4599,0.132887,0.138400,0.110686,1.871951,1.982637
4799,0.131900,0.109200,0.115940,1.962264,2.078204
4999,0.131144,0.113000,0.121215,2.052607,2.173822
5199,0.131000,0.127400,0.126516,2.143198,2.269714
5399,0.130793,0.125400,0.131793,2.233492,2.365286
5599,0.130886,0.133400,0.137081,2.323749,2.460830
5799,0.130738,0.126600,0.142339,2.413913,2.556253
5999,0.130820,0.133200,0.147627,2.504397,2.652024
6199,0.131110,0.139800,0.152887,2.594766,2.747653
6399,0.130425,0.109200,0.158122,2.685161,2.843283
6599,0.130091,0.119400,0.163419,2.775532,2.938950
6799,0.129994,0.126800,0.168675,2.865909,3.034584
6999,0.129423,0.110000,0.173959,2.956139,3.130097
7199,0.128867,0.109400,0.179249,3.046556,3.225804
7399,0.128270,0.106800,0.184500,3.136699,3.321199
7599,0.128384,0.132600,0.189790,3.227089,3.416879
7799,0.128056,0.115600,0.195078,3.317320,3.512398
7999,0.128155,0.132000,0.200335,3.407669,3.608004
8199,0.128063,0.124400,0.205597,3.498092,3.703689
8399,0.128390,0.141800,0.210868,3.588636,3.799504
8599,0.127963,0.110000,0.216139,3.679530,3.895669
8799,0.128036,0.131200,0.221385,3.769742,3.991127
8999,0.128276,0.138800,0.226652,3.860012,4.086665
9199,0.128400,0.134000,0.231938,3.950349,4.182287
9399,0.128974,0.155400,0.237212,4.040678,4.277891
9599,0.129167,0.138200,0.242475,4.130916,4.373391
9799,0.129588,0.149800,0.247778,4.221392,4.469170
9999,0.129484,0.124400,0.253029,4.311592,4.564621
10199,0.129569,0.133800,0.258310,4.402265,4.660575
10399,0.129465,0.124200,0.263591,4.492558,4.756149
10599,0.129981,0.156800,0.268898,4.582880,4.851778
10799,0.130059,0.134200,0.274170,4.673088,4.947259
10999,0.130145,0.134800,0.279425,4.763424,5.042849
11199,0.129857,0.114000,0.284677,4.853607,5.138283
11399,0.129860,0.130000,0.289953,4.943971,5.233924
11599,0.129766,0.124400,0.295212,5.034338,5.329550
11799,0.129786,0.131000,0.300475,5.124663,5.425138
11999,0.129513,0.113400,0.305760,5.214915,5.520676
12199,0.129334,0.118600,0.310997,5.305308,5.616304
12399,0.129055,0.112000,0.316270,5.395493,5.711763
12599,0.129244,0.141000,0.321529,5.485704,5.807233
