# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET]
199,15800.573508,15800.573508,0.116065,0.163720,0.279785
399,13660.050428,11519.527348,0.121247,0.309723,0.430970
599,12774.281965,11002.745038,0.126614,0.396425,0.523040
799,11652.487429,8287.103822,0.128012,0.471784,0.599796
999,11023.007642,8505.088493,0.130483,0.543019,0.673503
1199,10320.564717,6808.350093,0.147239,0.613772,0.761011
1399,9778.235343,6524.259099,0.148835,0.734073,0.882909
1599,9547.115465,7929.276319,0.151699,0.796889,0.948588
1799,9358.014126,7845.203409,0.155455,0.879275,1.034730
1999,9146.864857,7246.521439,0.158011,0.926297,1.084308
2199,8788.276262,5202.390316,0.201249,1.041209,1.242458
2399,8512.867211,5483.367650,0.202767,1.111219,1.313986
2599,8246.842787,5054.549701,0.204953,1.175068,1.380021
2799,8122.678558,6508.543572,0.207181,1.264022,1.471203
2999,8024.799771,6654.496759,0.209261,1.330914,1.540175
3199,7805.629682,4518.078343,0.220961,1.396486,1.617448
3399,7651.122892,5179.014247,0.222469,1.468367,1.690836
3599,7572.437540,6234.786572,0.224191,1.524452,1.748643
3799,7417.161318,4622.189308,0.225967,1.574875,1.800842
3999,7293.982969,4953.594344,0.227872,1.634958,1.862829
4199,7175.138798,4798.255380,0.244736,1.706253,1.950989
4399,7041.286359,4230.385139,0.246343,1.764578,2.010921
4599,6939.151929,4692.194473,0.247996,1.827725,2.075720
4799,6798.563306,3565.024977,0.249988,1.892014,2.142002
4999,6699.296321,4316.888665,0.252321,1.998484,2.250805
5199,6596.164115,4017.858971,0.283295,2.078808,2.362103
5399,6493.821962,3832.925987,0.284829,2.144244,2.429073
5599,6434.594895,4835.464090,0.286737,2.214623,2.501360
5799,6367.013934,4474.747012,0.288597,2.271830,2.560427
5999,6277.404336,3678.725998,0.290608,2.345564,2.636172
6199,6184.536973,3398.516088,0.305411,2.398431,2.703842
6399,6095.810579,3345.292361,0.306892,2.452370,2.759262
6599,6006.069402,3134.351740,0.309010,2.512811,2.821821
6799,5923.010026,3182.050609,0.310895,2.578630,2.889525
6999,5852.569240,3457.582520,0.312787,2.632522,2.945309
7199,5772.002240,2952.157260,0.328003,2.739231,3.067233
7399,5706.735060,3357.116578,0.329902,2.829261,3.159163
7599,5644.443671,3339.662269,0.331546,2.884922,3.216468
7799,5580.819239,3163.090829,0.333568,2.959004,3.292571
