# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,22867.947977,22867.947977,0.025296,0.003180,0.028476
399,17525.325379,12182.702781,0.051837,0.006507,0.058344
599,14683.803166,9000.758740,0.078762,0.009721,0.088483
799,13136.426708,8494.297333,0.106531,0.012898,0.119429
999,12356.534521,9236.965775,0.135525,0.016141,0.151666
1199,11653.636912,8139.148864,0.165599,0.019266,0.184865
1399,11527.419025,10770.111702,0.271157,0.022685,0.293842
1599,11273.114192,9492.980362,0.297330,0.025794,0.323124
1799,11008.138013,8888.328585,0.307718,0.029016,0.336733
1999,10624.046374,7167.221620,0.325951,0.032332,0.358282
2199,10259.988715,6619.412130,0.343546,0.035678,0.379224
2399,9871.846939,5602.287397,0.355459,0.039051,0.394510
2599,9550.328370,5692.105546,0.379795,0.042360,0.422156
2799,9310.185476,6188.327857,0.398087,0.045787,0.443874
2999,9178.912413,7341.089530,0.408990,0.049050,0.458041
3199,8956.660669,5622.884509,0.446496,0.052314,0.498810
3399,8759.509826,5605.096327,0.468332,0.055555,0.523887
3599,8684.610807,7411.327488,0.495122,0.058877,0.553999
3799,8505.088782,5273.692329,0.506814,0.062303,0.569118
3999,8389.591438,6195.141914,0.543675,0.066024,0.609699
4199,8303.254172,6576.508841,0.569303,0.069334,0.638636
4399,8195.887358,5941.184264,0.588204,0.072619,0.660822
4599,8075.197520,5420.021088,0.598996,0.075889,0.674885
4799,7966.954472,5477.364378,0.624250,0.079185,0.703435
4999,7896.177501,6197.530195,0.649803,0.082519,0.732322
5199,7871.202647,7246.831299,0.661470,0.085836,0.747306
5399,7806.014497,6111.122592,0.700978,0.089254,0.790232
5599,7798.732532,7602.119487,0.734395,0.092682,0.827077
5799,7775.568041,7126.962287,0.753966,0.096243,0.850208
5999,7692.625806,5287.300982,0.765904,0.099786,0.865690
6199,7631.581966,5800.266759,0.786003,0.103360,0.889363
6399,7576.544479,5870.382378,0.841848,0.106916,0.948764
