# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,15800.573508,15800.573508,17592.375782,17592.375782,15800.573508,15800.573508,16593.263411,16593.263411,25250.744282,25250.744282,0.239706,0.131202,0.370908,0.041974,0.108712,0.150686,0.143397,0.142717,0.286114,0.024293,0.089708,0.114001,0.033066,0.006869,0.039935
399,13660.050428,11519.527348,14503.705537,11415.035293,13660.050428,11519.527348,13229.134074,9865.004736,19845.800095,14440.855909,0.342019,0.214078,0.556097,0.045295,0.176194,0.221489,0.248068,0.210653,0.458721,0.027942,0.157939,0.185880,0.073477,0.013806,0.087283
599,12774.281965,11002.745038,12898.665241,9688.584648,12774.281965,11002.745038,11625.999251,8419.729605,16504.389751,9821.569061,0.488202,0.311612,0.799814,0.052973,0.283292,0.336266,0.381493,0.315434,0.696927,0.043191,0.237410,0.280600,0.111634,0.021003,0.132637
799,11652.487429,8287.103822,11580.130665,7624.526935,11652.487429,8287.103822,10563.439198,7375.759040,14559.612062,8725.278996,0.604464,0.411432,1.015895,0.055277,0.360393,0.415670,0.501015,0.382263,0.883278,0.044672,0.309609,0.354281,0.151306,0.027471,0.178778
999,11023.007642,8505.088493,10713.042459,7244.689637,11023.007642,8505.088493,9834.386705,6918.176734,13514.728786,9335.195683,0.709601,0.487672,1.197273,0.058376,0.424753,0.483130,0.608924,0.455884,1.064808,0.046723,0.404126,0.450849,0.190117,0.033346,0.223464
1199,10320.564717,6808.350093,10278.774264,8107.433288,10320.564717,6808.350093,9433.771015,7430.692566,12622.545917,8161.631571,0.824908,0.686044,1.510952,0.083835,0.506081,0.589916,0.736673,0.531091,1.267765,0.061361,0.483394,0.544755,0.228364,0.039575,0.267939
1399,9778.235343,6524.259099,9710.645976,6301.876245,9778.235343,6524.259099,8897.099375,5677.069533,12359.780129,10783.185404,0.932439,0.808112,1.740551,0.085474,0.611448,0.696922,0.874583,0.638754,1.513337,0.062922,0.602201,0.665123,0.269247,0.046616,0.315863
1599,9404.737289,6790.250908,9463.932938,7736.941677,9404.737289,6790.250908,8643.544164,6868.657689,12001.879896,9496.578265,1.191399,0.911839,2.103238,0.087284,0.703831,0.791115,1.107217,0.749772,1.856989,0.064635,0.688050,0.752685,0.303598,0.052937,0.356535
1799,8790.183510,3873.753278,9179.917927,6907.797839,8790.183510,3873.753278,8372.322591,6202.550009,11656.007974,8889.032592,1.291265,0.984796,2.276060,0.089625,0.803174,0.892799,1.211969,0.821962,2.033931,0.066717,0.763035,0.829751,0.321182,0.059583,0.380765
1999,8224.190899,3130.257408,8998.807755,7368.816204,8230.360453,3191.952941,8196.573972,6614.836394,11207.178503,7167.713271,1.533209,1.057526,2.590735,0.091647,0.870617,0.962264,1.435582,0.886141,2.321722,0.070647,0.831610,0.902257,0.348608,0.066290,0.414898
2199,7666.618123,2090.890357,8636.096187,5008.980505,7675.558340,2127.537207,7861.544054,4511.244882,10790.129167,6619.635807,1.650478,1.142885,2.793363,0.108637,0.948879,1.057516,1.584030,0.961140,2.545170,0.080716,0.925108,1.005824,0.374873,0.074365,0.449239
