# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET]
199,15800.573508,15800.573508,0.179809,0.056316,0.236124
399,13660.050428,11519.527348,0.296176,0.134087,0.430263
599,12774.281965,11002.745038,0.392455,0.188314,0.580769
799,11652.487429,8287.103822,0.466481,0.240044,0.706525
999,11023.007642,8505.088493,0.540608,0.289955,0.830563
1199,10320.564717,6808.350093,0.620142,0.338460,0.958602
1399,9778.235343,6524.259099,0.695201,0.395108,1.090309
1599,9404.737289,6790.250908,0.908428,0.439580,1.348008
1799,8790.183510,3873.753278,0.972910,0.482793,1.455703
1999,8224.190899,3130.257408,1.181024,0.535460,1.716484
2199,7666.618123,2090.890357,1.255617,0.578174,1.833791
2399,7185.180639,1889.368312,1.414472,0.618982,2.033454
2599,6776.704148,1874.986259,1.482323,0.652225,2.134548
2799,6438.954990,2048.215937,1.553586,0.699095,2.252682
2999,6249.608880,3598.763333,1.775550,0.739037,2.514588
3199,6073.169040,3426.571443,1.836282,0.776700,2.612983
3399,5918.250008,3439.545504,1.905618,0.813763,2.719381
3599,5799.745750,3785.173365,1.967147,0.851201,2.818348
3799,5690.359950,3721.415543,2.041537,0.897808,2.939345
3999,5584.611895,3575.398855,2.103613,0.935230,3.038843
4199,5473.862313,3258.870677,2.278022,0.986102,3.264124
4399,5366.966696,3122.158723,2.345160,1.017936,3.363096
4599,5270.635857,3151.357401,2.401883,1.052641,3.454524
4799,5170.927615,2877.638058,2.478017,1.090508,3.568525
4999,5074.613483,2763.074311,2.543937,1.133443,3.677381
5199,4997.711750,3075.168426,2.607362,1.171131,3.778494
5399,4916.621730,2808.281221,2.839464,1.211002,4.050466
5599,4856.541682,3234.380385,2.905170,1.250936,4.156105
5799,4785.212802,2788.004156,2.961358,1.284908,4.246265
5999,4707.879961,2465.227580,3.032389,1.328650,4.361039
6199,4637.837252,2536.555957,3.106503,1.374848,4.481351
6399,4562.333188,2221.707219,3.177462,1.419539,4.597001
6599,4513.724925,2958.260509,3.241077,1.456391,4.697468
6799,4440.777507,2033.512721,3.298508,1.489110,4.787618
6999,4377.705463,2233.255953,3.384050,1.537007,4.921058
7199,4311.952449,2010.596978,3.444894,1.572164,5.017058
7399,4257.457897,2295.653995,3.662296,1.638001,5.300296
7599,4192.330898,1782.631944,3.723782,1.675216,5.398999
7799,4137.537239,2055.378222,3.930833,1.707950,5.638782
7999,4094.385665,2411.474244,4.003631,1.749117,5.752748
8199,4050.936865,2312.984878,4.061175,1.785047,5.846222
8399,4013.429176,2475.613931,4.173321,1.823478,5.996799
8599,3968.339394,2074.568539,4.273937,1.871580,6.145517
8799,3939.191489,2685.831579,4.355496,1.914616,6.270112
8999,3910.050627,2627.852688,4.431715,1.954303,6.386018
9199,3882.563306,2645.633869,4.499696,1.998358,6.498054
9399,3860.504405,2845.794968,4.554884,2.030261,6.585145
9599,3829.682122,2381.034810,4.641159,2.073434,6.714592
9799,3797.716044,2263.344295,4.703994,2.112291,6.816284
9999,3769.973866,2410.607155,4.761897,2.148267,6.910164
10199,3736.877351,2082.051595,4.824987,2.186215,7.011202
10399,3697.661003,1697.627249,4.892251,2.225863,7.118114
10599,3682.505587,2894.423945,5.055590,2.263738,7.319329
10799,3679.374480,3513.425839,5.120995,2.302461,7.423456
10999,3677.008437,3549.242097,5.192184,2.340241,7.532424
11199,3674.195582,3519.488549,5.253947,2.379113,7.633060
11399,3673.306198,3623.500741,5.318555,2.418708,7.737262
11599,3663.474621,3103.074715,5.412503,2.464060,7.876563
11799,3660.366310,3480.084236,5.476982,2.501983,7.978965
11999,3648.364378,2940.250442,5.540770,2.540511,8.081282
12199,3644.864836,3434.892308,5.597788,2.575728,8.173516
12399,3644.093421,3597.037076,5.657127,2.610815,8.267942
12599,3643.150120,3584.665473,5.738642,2.654348,8.392991
12799,3628.107562,2680.426420,5.793016,2.685840,8.478856
12999,3602.861085,1987.086557,5.863743,2.738026,8.601769
13199,3595.530186,3119.021757,5.921224,2.771540,8.692764
13399,3578.934174,2483.597339,5.984459,2.812079,8.796538
13599,3570.535480,3007.823014,6.056131,2.847731,8.903862
13799,3565.553483,3226.777663,6.113307,2.882561,8.995868
13999,3552.614760,2659.842912,6.170354,2.916947,9.087301
14199,3539.318702,2608.594632,6.233189,2.956492,9.189681
14399,3523.827525,2423.953912,6.299605,2.994859,9.294464
14599,3508.020835,2369.939219,6.379879,3.041606,9.421485
14799,3495.742145,2599.397776,6.444206,3.082079,9.526285
14999,3479.181572,2253.699111,6.496843,3.113160,9.610003
15199,3467.910270,2622.562658,6.555277,3.146133,9.701410
15399,3458.129380,2714.781712,6.611675,3.177645,9.789321
15599,3447.376279,2619.387524,6.690764,3.217335,9.908099
15799,3437.820585,2692.476479,6.847597,3.255162,10.102758
15999,3425.069510,2417.734547,6.923888,3.293816,10.217704
16199,3412.321397,2392.472350,6.976277,3.323297,10.299573
16399,3401.460509,2521.728590,7.046394,3.370571,10.416965
16599,3389.442839,2403.993892,7.131009,3.415077,10.546087
16799,3386.563634,3147.589620,7.197815,3.455303,10.653118
16999,3373.984063,2317.300154,7.258985,3.490417,10.749402
17199,3359.794533,2153.684458,7.318546,3.526474,10.845019
17399,3353.395877,2803.111436,7.378686,3.563741,10.942427
17599,3345.108739,2624.127738,7.462101,3.607218,11.069320
17799,3328.980030,1909.653637,7.523324,3.644453,11.167777
