# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
199,10852.458649,10852.458649,0.002514,0.013229,0.015743
399,9023.669117,7194.879585,0.004376,0.029833,0.034208
599,7940.259513,5773.440303,0.009162,0.052779,0.061941
799,6978.992081,4095.189788,0.011259,0.080236,0.091495
999,6584.671259,5007.387971,0.013403,0.113734,0.127137
1199,6120.195432,3797.816295,0.018262,0.154940,0.173202
1399,6050.932932,5635.357929,0.022418,0.195691,0.218110
1599,5881.774976,4697.669284,0.026752,0.237987,0.264740
1799,5766.018390,4839.965702,0.037902,0.287191,0.325094
1999,5594.438838,4050.222871,0.044735,0.336558,0.381293
2199,5593.252219,5581.386031,0.049214,0.380599,0.429812
2399,5520.631956,4721.809062,0.054648,0.426662,0.481309
2599,5401.116755,3966.934341,0.059665,0.474128,0.533794
2799,5347.705306,4653.356469,0.066298,0.528532,0.594830
2999,5358.161908,5504.554337,0.071079,0.571792,0.642872
3199,5324.751404,4823.593846,0.075561,0.615171,0.690732
3399,5347.100868,5704.692291,0.080751,0.662702,0.743453
3599,5395.633282,6220.684317,0.085556,0.706701,0.792256
