# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,24942.292446,24942.292446,24338.458903,24338.458903,23444.790712,23444.790712,23420.472630,23420.472630,32031.095185,32031.095185,0.149416,0.072119,0.221535,0.020705,0.067230,0.087934,0.122814,0.065151,0.187965,0.019462,0.067599,0.087061,0.032228,0.006071,0.038299
399,20752.617322,16562.942198,20786.356701,17234.254498,19732.154420,16019.518128,20505.735707,17590.998784,24823.833747,17616.572308,0.257887,0.152970,0.410857,0.027913,0.128704,0.156617,0.243849,0.123287,0.367136,0.027258,0.124073,0.151332,0.065576,0.011610,0.077186
599,20976.207246,21423.387095,21475.730659,22854.478576,22079.722753,26774.859421,21225.158849,22664.005133,19921.699538,10117.431121,0.343966,0.222757,0.566722,0.035090,0.192311,0.227401,0.389421,0.189328,0.578749,0.034704,0.194279,0.228984,0.098324,0.017715,0.116039
799,21168.490531,21745.340386,21526.607374,21679.237519,19869.991912,13240.799386,21279.685705,21443.266275,17092.491458,8604.867217,0.507037,0.281156,0.788193,0.036619,0.249880,0.286500,0.527853,0.253976,0.781829,0.036219,0.249913,0.286132,0.135292,0.024553,0.159845
999,20385.570448,17253.890114,22056.173733,24174.439166,17750.656005,9273.312381,21692.703931,23344.776832,15514.117588,9200.622109,0.623302,0.323554,0.946856,0.038443,0.290784,0.329227,0.707341,0.298579,1.005920,0.037913,0.296506,0.334419,0.172781,0.031024,0.203805
1199,18271.671327,7702.175722,20298.018895,11507.244704,16486.708742,10166.972426,19780.298194,10218.269509,14285.455478,8142.144927,0.767166,0.365925,1.133091,0.048027,0.330681,0.378708,0.782010,0.341550,1.123561,0.045414,0.338445,0.383859,0.208878,0.036619,0.245497
1399,17316.989881,11588.901208,18886.379171,10416.540829,15577.017067,10118.867013,18225.948195,8899.848205,13783.161717,10769.399153,0.870067,0.406033,1.276100,0.049581,0.368872,0.418453,0.938742,0.380807,1.319549,0.046851,0.380026,0.426877,0.246738,0.042956,0.289694
1599,16152.113169,7997.976187,17887.638288,10896.452108,14541.720626,7294.645538,17186.537025,9910.658834,13247.023101,9494.052786,0.996872,0.446644,1.443516,0.051256,0.412759,0.464015,1.057197,0.420453,1.477650,0.048615,0.425006,0.473622,0.282496,0.048614,0.331110
1799,15143.166822,7071.596040,17170.041940,11429.271153,13462.737825,4830.875422,16433.850546,10412.358714,12762.645448,8887.624223,1.077238,0.582768,1.660006,0.053353,0.453131,0.506484,1.150360,0.460251,1.610611,0.050878,0.465382,0.516259,0.302483,0.055156,0.357638
1999,14449.133445,8202.833055,16676.736389,12236.986430,12611.296832,4948.327896,15885.721273,10952.557816,12203.097034,7167.161307,1.161457,0.636479,1.797935,0.055320,0.496610,0.551931,1.265885,0.505811,1.771696,0.053095,0.518350,0.571445,0.328668,0.061576,0.390243
2199,13692.970439,6131.340376,15694.364607,5870.646788,12005.255467,5944.841812,14922.576851,5291.132629,11695.474385,6619.247900,1.311553,0.696341,2.007894,0.068925,0.562521,0.631446,1.454404,0.555076,2.009480,0.066084,0.570515,0.636599,0.355038,0.068321,0.423359
2399,13139.012953,7045.480609,14997.822210,7335.855844,12004.611589,11997.528937,14231.130480,6625.220395,11187.709790,5602.299239,1.469231,0.750003,2.219234,0.070577,0.620291,0.690869,1.591462,0.604719,2.196181,0.067930,0.618818,0.686748,0.375130,0.075096,0.450226
2599,12697.525929,7399.681646,14373.023468,6875.438564,11590.025021,6614.986198,13589.174853,5885.707336,10764.973235,5692.134580,1.602037,0.794899,2.396936,0.072362,0.662716,0.735078,1.702995,0.647808,2.350804,0.069816,0.662401,0.732216,0.409967,0.081330,0.491296
2799,12652.847095,12072.022249,13806.626038,6443.459445,11130.050946,5150.387970,13039.233050,5889.989603,10438.072467,6188.362481,1.685595,0.846309,2.531904,0.074563,0.709064,0.783627,1.799059,0.691417,2.490476,0.072037,0.713696,0.785733,0.439786,0.088636,0.528423
2999,12806.913503,14963.843211,13446.039187,8397.823272,10665.457951,4161.156029,12666.631698,7450.212779,10231.603053,7341.031261,1.760447,0.891083,2.651530,0.076800,0.751255,0.828055,1.880704,0.736491,2.617195,0.073989,0.764760,0.838748,0.459703,0.095474,0.555177
3199,12421.297661,6637.060029,13000.252157,6313.446716,10308.593039,4955.619362,12226.400865,5622.938361,9943.556525,5622.858602,1.876445,0.939107,2.815552,0.094322,0.795260,0.889581,2.005422,0.780669,2.786090,0.091749,0.805390,0.897140,0.507761,0.102420,0.610181
3399,11899.551133,3551.606694,12634.042486,6774.687748,10142.315120,7481.868406,11851.224491,5848.402521,9688.351564,5605.072196,1.946831,0.983063,2.929893,0.095693,0.847466,0.943159,2.080653,0.824102,2.904755,0.093033,0.848902,0.941935,0.537197,0.108769,0.645967
3599,11437.594971,3584.340209,12277.375252,6214.032265,10008.405578,7731.943359,11486.450483,5285.292331,9561.851296,7411.346742,2.029769,1.028088,3.057857,0.097410,0.894514,0.991924,2.161027,0.867220,3.028247,0.094807,0.890505,0.985311,0.573529,0.114932,0.688461
3799,10977.434635,2694.548592,11843.437930,4032.566134,9726.665449,4655.343141,11069.617228,3566.618644,9336.158976,5273.697208,2.097828,1.067858,3.165686,0.099157,0.934857,1.034014,2.226947,0.908087,3.135034,0.096689,0.928802,1.025491,0.592449,0.121208,0.713657
3999,10615.655597,3741.853878,11482.407505,4622.829439,9504.608147,5285.519404,10715.492011,3987.112898,9179.110504,6195.189535,2.323217,1.113104,3.436321,0.101278,0.979060,1.080338,2.304027,0.950705,3.254732,0.099165,0.971703,1.070868,0.636713,0.128195,0.764908
4199,10241.286437,2753.903240,11254.029119,6686.461401,9188.374572,2863.703075,10458.482087,5318.283594,9055.178555,6576.539587,2.415537,1.170734,3.586271,0.116184,1.036105,1.152289,2.400492,1.001151,3.401644,0.117289,1.024086,1.141375,0.673462,0.134861,0.808323
4399,10080.482313,6703.595711,11045.283265,6661.620322,8926.367301,3424.214615,10238.344950,5615.465080,8913.631891,5941.151929,2.539659,1.234845,3.774504,0.117776,1.087531,1.205307,2.618973,1.054660,3.673632,0.118811,1.079703,1.198514,0.704151,0.141166,0.845317
4599,9973.645117,7623.226794,10811.156852,5660.375762,8732.253916,4461.759437,9999.500616,4744.925255,8761.734378,5419.989107,2.630691,1.277449,3.908140,0.119606,1.130226,1.249831,2.747881,1.093525,3.841406,0.120594,1.118300,1.238894,0.725057,0.147622,0.872679
4799,9753.122876,4681.111330,10628.362719,6424.097661,8584.924173,5196.340079,9807.424616,5389.676638,8624.885070,5477.350979,2.713472,1.338163,4.051635,0.121520,1.182744,1.304264,2.855861,1.145752,4.001614,0.122622,1.172399,1.295021,0.762875,0.154472,0.917347
4999,9578.734030,5393.401731,10486.167188,7073.474453,8528.858090,7183.272092,9667.139948,6300.307908,8527.790878,6197.530280,2.856083,1.412063,4.268146,0.123583,1.241598,1.365180,2.942859,1.199123,4.141982,0.124629,1.236548,1.361177,0.799916,0.161336,0.961252
5199,9467.680668,6691.346626,10232.252178,3884.376935,8557.835891,9282.280928,9440.278597,3768.744828,8478.522841,7246.821894,2.972463,1.460325,4.432788,0.140474,1.287876,1.428349,3.040096,1.244573,4.284670,0.157552,1.278440,1.435993,0.821203,0.167995,0.989198
