# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.095797,0.095797,0.090072,0.090072,0.091078,0.091078,0.095965,0.095965,0.210115,0.210115,0.138139,0.058875,0.197014,0.013573,0.055195,0.068768,0.074161,0.057248,0.131409,0.016310,0.060768,0.077078,0.020670,0.006659,0.027329
399,0.072502,0.049207,0.067653,0.045234,0.067919,0.044759,0.070629,0.045292,0.208986,0.207857,0.248136,0.114846,0.362982,0.018376,0.104417,0.122793,0.137985,0.105704,0.243689,0.020144,0.112710,0.132854,0.035681,0.012578,0.048259
599,0.060800,0.037396,0.056072,0.032911,0.057044,0.035295,0.056917,0.029493,0.184729,0.136216,0.333159,0.181698,0.514857,0.023420,0.152224,0.175645,0.253905,0.152966,0.406871,0.026607,0.159008,0.185615,0.054628,0.018818,0.073445
799,0.059664,0.056256,0.053220,0.044664,0.056480,0.054786,0.054237,0.046197,0.145441,0.027577,0.401461,0.214829,0.616290,0.024825,0.184833,0.209658,0.309940,0.183349,0.493288,0.028005,0.188484,0.216489,0.070431,0.024275,0.094705
999,0.051790,0.020296,0.049317,0.033705,0.053920,0.043683,0.049648,0.031294,0.117757,0.007018,0.495735,0.252562,0.748297,0.026447,0.222306,0.248752,0.356588,0.220214,0.576802,0.029952,0.227171,0.257123,0.088471,0.029893,0.118364
1199,0.048096,0.029624,0.049070,0.047832,0.049138,0.025224,0.049191,0.046905,0.099145,0.006085,0.567264,0.285707,0.852971,0.034971,0.256077,0.291048,0.462814,0.253367,0.716181,0.038344,0.259461,0.297806,0.111140,0.035321,0.146460
1399,0.044608,0.023682,0.047380,0.037239,0.044230,0.014782,0.047442,0.036948,0.085772,0.005537,0.647597,0.320333,0.967930,0.036441,0.289311,0.325752,0.506301,0.285789,0.792090,0.039798,0.292090,0.331888,0.132450,0.041131,0.173581
1599,0.041913,0.023043,0.047806,0.050794,0.040272,0.012565,0.047857,0.050764,0.075637,0.004694,0.727586,0.352312,1.079898,0.038017,0.319974,0.357991,0.576732,0.315405,0.892137,0.041359,0.322326,0.363685,0.148850,0.046731,0.195582
1799,0.038970,0.015430,0.048807,0.056813,0.036989,0.010727,0.048979,0.057954,0.067792,0.005029,0.794035,0.387174,1.181209,0.039605,0.355204,0.394810,0.668725,0.349407,1.018132,0.043427,0.354936,0.398363,0.175912,0.051536,0.227448
1999,0.035085,0.000116,0.048127,0.042005,0.041931,0.086406,0.048299,0.042182,0.061358,0.003452,0.876727,0.427314,1.304041,0.041515,0.393840,0.435355,0.780042,0.390551,1.170592,0.045464,0.394996,0.440461,0.200222,0.057269,0.257491
