# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=15000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.096112,0.096112,0.090072,0.090072,0.091078,0.091078,0.095965,0.095965,0.210115,0.210115,0.103788,0.051817,0.155604,0.015745,0.050501,0.066246,0.063102,0.050715,0.113817,0.013798,0.048187,0.061985,0.020016,0.006301,0.026317
399,0.070367,0.044623,0.070166,0.050260,0.071194,0.051311,0.074078,0.052190,0.208986,0.207857,0.227072,0.091376,0.318448,0.019872,0.082292,0.102164,0.105662,0.079811,0.185472,0.018188,0.082578,0.100766,0.033024,0.011396,0.044420
599,0.051138,0.012680,0.058236,0.034375,0.058733,0.033811,0.059844,0.031378,0.184729,0.136216,0.278225,0.123081,0.401305,0.024528,0.110076,0.134603,0.187742,0.106647,0.294388,0.022952,0.108563,0.131515,0.048632,0.016119,0.064751
799,0.044435,0.024326,0.054134,0.041829,0.061629,0.070318,0.053982,0.036395,0.145441,0.027577,0.373814,0.153205,0.527018,0.025755,0.137461,0.163216,0.234480,0.134060,0.368540,0.024077,0.138355,0.162432,0.062157,0.021129,0.083286
999,0.041510,0.029806,0.051712,0.042024,0.054527,0.026117,0.051210,0.040123,0.117757,0.007018,0.445475,0.184515,0.629990,0.027195,0.167394,0.194588,0.273371,0.161622,0.434992,0.025453,0.167128,0.192581,0.080938,0.026264,0.107202
1199,0.037643,0.018311,0.047752,0.027949,0.051249,0.034857,0.046488,0.022877,0.099145,0.006085,0.501656,0.213712,0.715369,0.033356,0.195791,0.229147,0.341762,0.190025,0.531787,0.031617,0.195678,0.227295,0.101518,0.031084,0.132602
1399,0.035159,0.020251,0.044495,0.024953,0.051265,0.051363,0.042749,0.020312,0.085772,0.005537,0.560951,0.242540,0.803491,0.034715,0.223940,0.258654,0.379773,0.216704,0.596477,0.032813,0.222056,0.254869,0.120957,0.036263,0.157220
1599,0.033969,0.025639,0.043301,0.034942,0.050334,0.043817,0.041032,0.029013,0.075637,0.004694,0.617228,0.273092,0.890320,0.036214,0.251859,0.288073,0.440560,0.244838,0.685398,0.034292,0.250204,0.284496,0.135734,0.041528,0.177262
1799,0.032453,0.020324,0.041174,0.024157,0.045901,0.010437,0.038719,0.020219,0.067792,0.005029,0.675425,0.306353,0.981778,0.037832,0.281170,0.319002,0.497552,0.274065,0.771616,0.035912,0.280817,0.316730,0.161772,0.046749,0.208521
1999,0.031271,0.020633,0.039563,0.025065,0.042863,0.015522,0.037016,0.021684,0.061358,0.003452,0.745480,0.342987,1.088467,0.039448,0.315269,0.354717,0.565706,0.306300,0.872005,0.037570,0.312886,0.350455,0.183945,0.051752,0.235697
2199,0.028963,0.005886,0.036967,0.011008,0.039465,0.005480,0.034304,0.007190,0.056212,0.004750,0.847077,0.372861,1.219939,0.046938,0.342539,0.389477,0.660763,0.332065,0.992828,0.046951,0.337956,0.384907,0.198946,0.056681,0.255627
2399,0.031716,0.062002,0.034670,0.009403,0.039997,0.045852,0.031940,0.005931,0.051918,0.004690,0.912719,0.404003,1.316722,0.048232,0.372373,0.420605,0.730633,0.360869,1.091502,0.048146,0.366885,0.415031,0.228805,0.062170,0.290976
2599,0.031932,0.034519,0.032855,0.011072,0.038599,0.021828,0.030061,0.007516,0.048255,0.004293,1.025016,0.437185,1.462200,0.049732,0.402677,0.452409,0.787900,0.391081,1.178981,0.049650,0.396976,0.446627,0.253950,0.067687,0.321637
2799,0.030485,0.011685,0.031342,0.011675,0.036637,0.011123,0.028442,0.007393,0.045164,0.004983,1.079912,0.464236,1.544149,0.051290,0.428411,0.479701,0.866411,0.416587,1.282998,0.051152,0.423642,0.474794,0.268451,0.072811,0.341262
2999,0.029251,0.011969,0.029864,0.009167,0.035026,0.012482,0.026941,0.005927,0.042479,0.004896,1.136187,0.495284,1.631471,0.052995,0.458514,0.511509,0.912665,0.445001,1.357666,0.052881,0.452663,0.505544,0.291534,0.078250,0.369784
3199,0.028180,0.012119,0.029040,0.016680,0.033705,0.013878,0.026053,0.012733,0.040113,0.004610,1.195796,0.526586,1.722382,0.062803,0.486935,0.549739,1.001765,0.472639,1.474404,0.063484,0.480884,0.544368,0.329152,0.083398,0.412550
