# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,24131.673659,24131.673659,24338.458903,24338.458903,22711.298400,22711.298400,23420.472630,23420.472630,32031.095185,32031.095185,0.125558,0.052759,0.178317,0.017183,0.053144,0.070327,0.099196,0.052587,0.151782,0.016579,0.052873,0.069451,0.034838,0.006889,0.041727
399,22433.669186,20735.664713,22741.608039,21144.757176,21707.596054,20703.893708,21838.264083,20256.055537,24823.833747,17616.572308,0.234239,0.100778,0.335017,0.021347,0.096208,0.117555,0.195102,0.092988,0.288090,0.023180,0.096700,0.119880,0.067500,0.012550,0.080050
599,22744.403278,23365.871463,22546.795350,22157.169972,22437.793573,23898.188611,21599.584640,21122.225754,19921.699538,10117.431121,0.312538,0.142903,0.455441,0.029221,0.135575,0.164796,0.258761,0.134510,0.393271,0.028619,0.139860,0.168480,0.099277,0.018197,0.117473
799,21807.944873,18998.569657,21263.885475,17415.155851,21890.417913,20248.290932,20427.717564,16912.116337,17092.491458,8604.867217,0.382813,0.181032,0.563845,0.030558,0.171941,0.202498,0.383454,0.171808,0.555262,0.029876,0.176144,0.206020,0.132722,0.023560,0.156283
999,19538.589563,10461.168322,20840.279017,19145.853182,21774.523538,21310.946040,20085.006309,18714.161288,15514.117588,9200.622109,0.500977,0.221741,0.722717,0.032413,0.212548,0.244961,0.456315,0.213384,0.669699,0.031335,0.213467,0.244803,0.167148,0.029043,0.196191
1199,17582.058738,7799.404617,18776.462625,8457.380666,20526.991169,14289.329325,17921.437680,7103.594532,14285.455478,8142.144927,0.653639,0.267785,0.921424,0.037721,0.255303,0.293024,0.543712,0.255335,0.799047,0.039810,0.260359,0.300169,0.202550,0.034831,0.237381
1399,16194.937740,7872.211748,17472.168495,9646.403718,18817.331749,8559.375229,16519.204010,8105.801995,13783.161717,10769.399153,0.754304,0.313047,1.067351,0.039224,0.297476,0.336700,0.670255,0.319780,0.990035,0.041210,0.302934,0.344145,0.240811,0.040763,0.281573
1599,15289.358073,8950.300402,16671.780420,11069.063894,17213.141249,5983.807746,15564.864412,8884.487227,13247.023101,9494.052786,0.931202,0.441988,1.373190,0.040976,0.354802,0.395778,0.795927,0.374152,1.170078,0.042858,0.351601,0.394459,0.274419,0.046494,0.320913
1799,14229.858627,5753.863062,16013.724368,10749.275951,15941.542941,5768.756477,14840.086747,9041.865420,12762.645448,8887.624223,1.011861,0.491905,1.503767,0.042797,0.399915,0.442712,0.916980,0.417816,1.334797,0.044973,0.395184,0.440157,0.292171,0.052228,0.344399
1999,13799.277446,9924.046821,15261.217824,8488.658928,15366.777695,10193.890482,14004.782022,6487.039496,12203.097034,7167.161307,1.115704,0.535577,1.651281,0.044831,0.449454,0.494285,0.990898,0.457933,1.448831,0.047411,0.436971,0.484382,0.318066,0.058139,0.376205
