# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
199,0.268989,0.268989,0.270386,0.270386,0.270908,0.270908,0.276818,0.276818,0.360230,0.360230,0.089185,0.047375,0.136560,0.025850,0.046924,0.072774,0.086032,0.046889,0.132921,0.016864,0.050191,0.067055,0.028542,0.006381,0.034922
399,0.264795,0.260600,0.266960,0.263535,0.266316,0.261724,0.271090,0.265362,0.313643,0.267057,0.164648,0.086386,0.251033,0.030768,0.082414,0.113182,0.134505,0.087422,0.221927,0.020452,0.086157,0.106609,0.047024,0.011982,0.059006
599,0.257673,0.243430,0.252196,0.222667,0.251963,0.223256,0.257281,0.229664,0.274551,0.196367,0.259701,0.122421,0.382122,0.039876,0.118210,0.158086,0.204051,0.123555,0.327606,0.044877,0.123087,0.167964,0.080098,0.018249,0.098346
799,0.259395,0.264563,0.244670,0.222090,0.244037,0.220262,0.249622,0.226643,0.248559,0.170584,0.333482,0.160039,0.493522,0.041238,0.151959,0.193198,0.268741,0.157398,0.426139,0.046170,0.158481,0.204651,0.113077,0.024095,0.137172
999,0.264935,0.287096,0.247984,0.261243,0.248388,0.265792,0.253215,0.267590,0.234987,0.180697,0.406397,0.196606,0.603002,0.042717,0.186464,0.229181,0.328441,0.190826,0.519267,0.047488,0.192163,0.239651,0.145877,0.029478,0.175355
1199,0.257365,0.219512,0.246937,0.241701,0.246693,0.238219,0.250193,0.235081,0.219866,0.144260,0.533758,0.241927,0.775684,0.051697,0.229726,0.281423,0.402997,0.240657,0.643654,0.055230,0.242321,0.297552,0.173802,0.035334,0.209136
1399,0.241554,0.146691,0.257807,0.323026,0.257056,0.319231,0.259128,0.312740,0.208570,0.140796,0.613524,0.280807,0.894331,0.053283,0.268171,0.321454,0.471533,0.276602,0.748135,0.056704,0.278996,0.335700,0.211466,0.041920,0.253387
1599,0.234970,0.188882,0.263821,0.305918,0.262327,0.299222,0.263976,0.297909,0.201416,0.151335,0.689066,0.348402,1.037468,0.055144,0.306096,0.361240,0.537852,0.313562,0.851413,0.058404,0.316742,0.375147,0.235378,0.048845,0.284224
1799,0.229766,0.188133,0.264633,0.271127,0.262680,0.265504,0.263589,0.260499,0.196171,0.154212,0.828631,0.431208,1.259839,0.057317,0.370267,0.427583,0.632231,0.371879,1.004110,0.060507,0.375721,0.436228,0.273172,0.056889,0.330061
1999,0.227253,0.204638,0.265495,0.273254,0.255580,0.191686,0.264991,0.277608,0.190312,0.137587,0.907611,0.477502,1.385113,0.058975,0.419612,0.478587,0.806941,0.415031,1.221973,0.062217,0.422434,0.484651,0.299771,0.062785,0.362556
2199,0.225779,0.211033,0.258604,0.189700,0.248455,0.177196,0.258142,0.189645,0.185292,0.135086,1.106788,0.540433,1.647221,0.073461,0.475219,0.548679,0.915169,0.468962,1.384131,0.077509,0.475513,0.553022,0.337087,0.069365,0.406452
